Year,Medal,Medalist,Entry,Style,Style_Crosswalk,Place
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/shuswap-cider-co/"">Shuswap Cider Co.</a>",Semi-Sweet Apple,Modern Cider - Dry,Modern Cider,1st Place
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",McIntosh,Modern Cider - Dry,Modern Cider,2nd Place
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Stoke Red,Modern Cider - Dry,Modern Cider,3rd Place
2024,🥇 GOLD,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Clyde's Dry,Modern Cider - Dry,Modern Cider,
2024,🥇 GOLD,"<a href=""https://ciderguide.com/glintcap/medalists/red-island-cider/"">Red Island Cider</a>",Father Walker's Dry Cider,Modern Cider - Dry,Modern Cider,
2024,🥇 GOLD,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",Clear Conscience,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",Fill Up This Bucket,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/anxo-cider/"">ANXO Cider</a>",District Dry,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/batch-brewing-company/"">Batch Brewing Company</a>",Northern Spy / Mac,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/blue-toad-hard-cider/"">Blue Toad Hard Cider</a>",Paddy Green,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/clarksburg-cider/"">Clarksburg Cider</a>",Granny Smith,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/docendo-discitur/"">Docendo Discitur</a>",Alma Cider Extra Brut 2021 Green Label,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/five-maidens-cider-company/"">Five Maidens Cider Company</a>",Dart,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/harpers-ferry-brewing/"">Harpers Ferry Brewing</a>",Tuscarora,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Calville Blanc d'Hiver,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Crimson Gold,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/"">Jefferson County Ciderworks</a>",Original Apple,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/market-garden-brewery/"">Market Garden Brewery</a>",Heart Cider Original,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/mount-diablo-cider-company/"">Mount Diablo Cider Company</a>",Sparkling McIntosh,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/mountain-west-cider-company/"">Mountain West Cider Company</a>",Ruby,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/offset-ciderworks/"">Offset Ciderworks</a>",Off Dry,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/ponderosa-cider-co./"">Ponderosa Cider Co.</a>",Southern Aspect,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/punx-cider-worx/"">Punx Cider Worx</a>",Punxsy Dry,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/pux-cider/"">Pux Cider</a>",Hard Cider 2024 Blend,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/ravens-moon-craft-cider/"">Raven's Moon Craft Cider</a>",Apple Cider,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",City Fruit 2022,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",City Fruit 2023,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/seminary-hill-orchard-cidery/"">Seminary Hill Orchard & Cidery</a>",Spycraft 22,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/shuswap-cider-co/"">Shuswap Cider Co.</a>",Dry Apple,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",King Crimson,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",Road House,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/thornapple-brewing-company/"">Thornapple Brewing Company</a>",Fruit Ridge,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/vermont-cider-company/"">Vermont Cider Company</a>",Pearsecco,Modern Cider - Dry,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/vins-arista/"">Vins Arista</a>",Dublin's Pub,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",BrightCider,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/allagash-brewing-company/"">Allagash Brewing Company</a>",Allagash Cider,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/anxo-cider/"">ANXO Cider</a>",Cidre Blanc,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/blakes-hard-cider-co/"">Blake's Hard Cider Co.</a>",Gold Rush,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/chain-yard-urban-cidery/"">Chain Yard Cider</a>",Foundation,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/colorado-cider-company/"">Colorado Cider Company</a>",Glider,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/farmhaus-cider-co/"">Farmhaus Cider Co.</a>",Daily Dry,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/five-maidens-cider-company/"">Five Maidens Cider Company</a>",Semi Dry Cider,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/glacial-till-vineyard-winery/"">Glacial Till Vineyard & Winery</a>",Dry,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/glacial-till-vineyard-winery/"">Glacial Till Vineyard & Winery</a>",Imperial,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Ashmead's Kernel,Modern Cider - Dry,Modern Cider,
