Year,Award,Producer,Product,Category/Subcategory,Country
2018,🏆 Supreme Champion,Loïc Raison,"Breton Cidre, Loic Raison Doux",Naturally Sparkling,France
2018,🏆 Trophy,Angry Orchard,The Muse,Speciality Cider,United States
2018,🏆 Trophy,BlakStoc,Wild Tree Hoppy Cider,Flavoured Cider,Austria
2018,🏆 Trophy,Celtic Marches,Cuckoo Penny 4% Rhubarb Cider,Flavoured Cider,England
2018,🏆 Trophy,Chalkdown Cider,Chalkdown Cider,Naturally Sparkling,England
2018,🏆 Trophy,Hogan's Cider,Hogan's Libertine Cider,West Country Style,England
2018,🏆 Trophy,Taunton Cider Company,Taunton Original Medium Cider,West Country Style,England
2018,🏆 Trophy,Tempted Cider,Tempted Irish Cider - Dry,New World Style,Northern Ireland
2019,🏆 Supreme Champion,Sxollie,Sxollie Pink Lady Cider,New World - Medium,England
2019,🏆 Trophy,Abavas,Abavas Apple Wine Apple Pie,Speciality,Latvia
2019,🏆 Trophy,Les Celliers Associés,L'Authentique French Cider Ginger Lemon,Flavoured - Cider with Herbs & Spices,France
2019,🏆 Trophy,Les Celliers Associés,Mont Saint Michel Pear,Perry - Medium,France
2019,🏆 Trophy,Sheppy's Cider,Sheppy's 2017 Vintage Reserve Cider,West Country - Dry,England
2019,🏆 Trophy,Winemaking Tasmania,Blushing Lady Sparkling Fruit Fusion,Flavoured - Cider with Fruits & Flowers,Australia
2019,🏆 Trophy,Zapiain,Bizi-Goxo 2015,Ice Cider,Spain
2020,🏆 Supreme Champion,Balfour Winery,Jake's Orchard Cider - Rosé,Rosé,England
2020,🏆 Trophy,ALDI Stores Australia,Storm European Apple Cider,New World Style - Sweet,Australia
2020,🏆 Trophy,Angry Orchard,Edu,Spanish Cider (Sidra Natural),United States
2020,🏆 Trophy,Cold Hand Winery,Malus Danica 2016,Ice Cider,Denmark
2020,🏆 Trophy,Cold Hand Winery,Malus X Feminam 2016,Speciality,Denmark
2020,🏆 Trophy,Écusson,Ecusson Doux Bio,Naturally Sparkling - Bottle Conditioned,France
2020,🏆 Trophy,Hogan's Cider,Hogan's Perry,Perry - Medium,England
2020,🏆 Trophy,Pips Cider,Pips Medium,West Country Style - Medium,England
2020,🏆 Trophy,Raw Cider,Raw Cider - Orange Quince Cider,Flavoured - Cider with Fruits & Flowers,Denmark
2020,🏆 Trophy,Waitrose,Waitrose Low Alcohol Cider,Low and No Alcohol,England
2021,🏆 Supreme Champion,Loxtonia Cider,Alexandra Blush MTC,Rosé,South Africa
2021,🏆 Trophy,Crafty Nectar Cider Co.,Crafty Nectar 0.5,Low and No Alcohol,England
2021,🏆 Trophy,Mūrbūdu,Aroniju Sidrs,Flavoured - Cider with Fruits & Flowers,Latvia
2021,🏆 Trophy,Thatchers Cider,Thatchers Katy,New World Style - Medium,England
2022,🏆 Supreme Champion,Hardangergutane,Vindpust,Acid Led Cider - Medium,Norway
2022,🏆 Trophy,1785 Cider,Barrel #4,Wood Aged Cider,Germany
2022,🏆 Trophy,Appleblood Cider,Purple Twist 2021,Rosé Cider,Italy
2022,🏆 Trophy,Cidentro Cider House,Cidentro Traditional Method Cider,Naturally Sparkling - Bottle Fermented,England
2022,🏆 Trophy,Groupe Geloso,Cidrerie Beaupré - Rosé,Rosé Cider,Canada
2022,🏆 Trophy,Nerø Frukt og Sider,NeRø Issider,Ice Cider,Norway
2022,🏆 Trophy,Sandford Orchards,Sandford Reserve,Tannin Led Cider - Medium,England
2023,🏆 Supreme Champion,Nerø Frukt og Sider,NeRø Issider,Ice Cider,Norway
2023,🏆 Trophy,Balfour Winery,Jake's Cider,Acid Led Cider - Medium,England
2023,🏆 Trophy,Groupe Geloso,Cidrerie Beaupré - Raspberry-Rhubarb,Flavoured Cider,Canada
2023,🏆 Trophy,Nerø Frukt og Sider,Lille Ville,Low and No Alcohol Cider,Norway
2023,🏆 Trophy,On Point Cider Company,Sur Pointe,Naturally Sparkling Cider,England
2023,🏆 Trophy,Sandford Orchards,The General,Tannin Led Cider,England
2024,🏆 Supreme Champion,Eiane Gard,Brist,Flavoured Cider,England
2024,🏆 Trophy,Sxollie,Golden Delicious,Acid Led Cider,Norway
2024,🏆 Trophy,Cotswold Cider Company,Crafty Nectar 0.5,Low and No Alcohol Cider,England
2024,🏆 Trophy,Obst- & Weingut Brüggenwirth,Apfelgold Cider Perry,Pear Cider & Perry,Germany
2024,🏆 Trophy,Biddenden Vineyards,Biddies Kentish Kiss,Rosé Cider,England
2024,🏆 Trophy,Cotswold Cider Company,Cotswold Prime Cider,Tannin Led Cider,England
