Year,Award,Medalist,Product,Class
2011,🏆 Best in Show,Henney's Cider,Henney's Dry Cider,Dry Cider
2011,🏆 Best Australian Cider,Matilda Bay Brewing Company,Dirty Granny,Medium Cider (using water and/or sugar)
2011,🏆 Best Australian Perry,The Hills Cider Company,Pear,Medium Perry
2011,🏆 Best Australian Perry,Napoleone Cider,Pear Cider Traditionelle,Bottle Conditioned / Methode Champenoise Perry
2012,🏆 Best in Show,Henney's Cider,Henney’s Sweet Cider,Sweet Cider
2012,🏆 Best Australian Cider,Little Creatures,Pipsqueak Best Cider,Medium Cider
2012,🏆 Best Australian Perry,St Ronan's Cider,Methode Traditionelle Pear Cider,Bottle Conditioned / Methode Champenoise Perry
2013,🏆 Best in Show,The Hills Cider Company,Pear,Medium Perry
2013,🏆 Best Australian Cider,Small Acres Cyder,The Cat’s Pyjamas,Bottle Conditioned / Methode Champenoise Cider
2013,🏆 Best Australian Perry,The Hills Cider Company,Pear,Medium Perry
2014,🏆 Best in Show,Thatchers Cider,Thatchers Gold,Traditional Medium Cider
2014,🏆 Best Cider,Thatchers Cider,Thatchers Gold,Traditional Medium Cider
2014,🏆 Best International Cider or Perry,Thatchers Cider,Thatchers Gold,Traditional Medium Cider
2014,🏆 Best Perry,Napoleone Cider,Methode Traditionelle Pear Cider,Bottle Conditioned / Methode Champenoise Perry
2014,🏆 Best Australian Cider or Perry,Napoleone Cider,Methode Traditionelle Pear Cider,Bottle Conditioned / Methode Champenoise Perry
2015,🏆 Best in Show,Willie Smith's,18 Varieties,Traditional Medium Cider
2015,🏆 Best Cider,Willie Smith's,18 Varieties,Traditional Medium Cider
2015,🏆 Best Australian Cider or Perry,Willie Smith's,18 Varieties,Traditional Medium Cider
2016,🏆 Best in Show,Willie Smith's,French Blend,Traditional Medium Cider
2016,🏆 Best Cider,Willie Smith's,French Blend,Traditional Medium Cider
2016,🏆 Best Perry,Small Acres Cyder,2013 Sparkling Perry,Traditional Method Traditional Perry
2016,🏆 Best Australian Cider or Perry,Willie Smith's,French Blend,Traditional Medium Cider
2016,🏆 Best International Cider or Perry,Aspall,Aspall Draught,New World Medium Cider
2017,🏆 Best in Show,Magners,Original Apple,New World Medium Cider
2017,🏆 Best Traditional Cider,St Ronan's Cider,Methode Traditionelle Heritage,Tradtional Method Traditional Cider
2017,🏆 Best New World Cider,Magners,Original Apple,New World Medium Cider
2017,🏆 Best Perry,Carmel Cider Co.,Pear,New World Method Traditional Perry
2017,🏆 Best Cider and Perry Blend,Lobo Cider,LOBO Apple & Pear,Apple and Pear Blends
2017,🏆 Best Intensified/Distilled Cider or Perry,Small Acres Cyder,2015 Pomona Ice,Ice Cider or Perry
2017,🏆 Best Australian Cider or Perry,St Ronan's Cider,Methode Traditionelle Heritage,Tradtional Method Traditional Cider
2017,🏆 Best International Cider or Perry,Magners,Original Apple,New World Medium Cider
2017,🏆 Most Successful Small Producer,Small Acres Cyder,,
2017,🏆 Most Successful Larger Producer,Westons Cider,,
2017,🏆 Champion of the Industry,Drew Henry,,
2018,🏆 Best in Show,Willie Smith's,Kingston Black Cider,Traditional Medium Sweet Cider
2018,🏆 Best Traditional Cider,Willie Smith's,Kingston Black Cider,Traditional Medium Sweet Cider
2018,🏆 Best New World Cider,Westons Cider,Caple Road,New World Medium Cider
2018,🏆 Best Perry,Fils de Pomme,L’Épatant,New World Medium Perry
2018,🏆 Best Intensified/Distilled Cider or Perry,Small Acres Cyder,2010 Pommeau,Pommeau
2018,🏆 Best Australian Cider or Perry,Willie Smith's,Kingston Black Cider,Traditional Medium Sweet Cider
2018,🏆 Best International Cider or Perry,Westons Cider,Caple Road,New World Medium Cider
2018,🏆 Most Successful Small Producer,Small Acres Cyder,,
2018,🏆 Most Successful Larger Producer,Willie Smith's,,
2018,🏆 Champion of the Industry,David Pickering,,
2019,🏆 Best in Show,Barossa Cider Co.,Squashed Apple Cider,New World Medium Sweet Cider
