Region,Country,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
Victoria,Australia,23,109,262,394
New South Wales,Australia,17,76,222,315
Tasmania,Australia,21,69,162,252
South Australia,Australia,23,80,145,248
Western Australia,Australia,12,47,105,164
Herefordshire,England,5,9,20,34
Queensland,Australia,1,6,24,31
Tasman,New Zealand,3,5,7,15
Hawke's Bay,New Zealand,3,3,6,12
Australian Capital Territory,Australia,1,5,6,12
Normandy,France,1,7,3,11
Tipperary,Ireland,1,3,4,8
Nelson,New Zealand,0,2,5,7
Île-de-France,France,1,1,4,6
Hesse,Germany,3,1,1,5
Veneto,Italy,2,1,2,5
West Coast,New Zealand,0,0,5,5
Pays de la Loire,France,0,2,1,3
Suffolk,England,0,2,1,3
Asturias,Spain,0,0,3,3
Somerset,England,1,1,0,2
Brittany,France,1,0,1,2
Auckland,New Zealand,0,1,1,2
West Midlands,England,0,1,1,2
Navarre,Spain,0,0,2,2
Rhondda Cynon Taf,Wales,0,0,2,2
Western Cape,South Africa,0,1,0,1
"Liège ",Belgium,0,0,1,1
New York,United States,0,0,1,1
Wellington,New Zealand,0,0,1,1
Total,,119,432,998,1549
