Medalist,🥇 Or,🥈 Argent,🏅 Total,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Famille Guesdon,9,6,15,Active,"<a href=""https://famille-guesdon.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100057212210806"">Facebook</a>","<a href=""https://www.instagram.com/lacavenormandeguesdon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13182761816105385497"">Google</a>",,"<a href=""https://untappd.com/w/guesdon-p-re-et-fils/343009"">Untappd</a>"
Le Pressoir d'Or,7,7,14,Active,"<a href=""http://www.pressoirdor.com/"">Website</a>",,"<a href=""https://www.instagram.com/lepressoirdor/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11174929092699381803"">Google</a>",,"<a href=""https://untappd.com/w/le-pressoir-d-or/210218"">Untappd</a>"
Domaine des Hauts-Vents,6,7,13,Active,"<a href=""http://hautsvents.com/"">Website</a>","<a href=""https://www.facebook.com/CidreriedomaineDesHautsVents"">Facebook</a>","<a href=""https://www.instagram.com/domainedeshautsvents/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3890633221204655265"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g661275-d6654230"">TripAdvisor</a>","<a href=""https://untappd.com/w/domaine-des-hauts-vents/70064"">Untappd</a>"
Ferme Cidricole Desvoye,7,5,12,Active,"<a href=""https://www.cidre-calvados-desvoye.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100015340218972"">Facebook</a>","<a href=""https://www.instagram.com/calvados_desvoye/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9466556986578009265"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g14010617-d21111014"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-desvoye/264267"">Untappd</a>"
Les Vergers de Ducy,6,6,12,Active,"<a href=""https://lesvergersdeducy.fr/"">Website</a>","<a href=""https://www.facebook.com/LesVergersdeDucy/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=5658619103463764772"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g5105596-d5012299"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-ducy/68480"">Untappd</a>"
Pacory,5,7,12,Active,"<a href=""https://www.pacory.eu/"">Website</a>","<a href=""https://www.facebook.com/PacoryFermedesGrimaux"">Facebook</a>","<a href=""https://www.instagram.com/pacoryfermedesgrimaux"">Instagram</a>","<a href=""https://maps.google.com/?cid=15821520734729613945"">Google</a>",,"<a href=""https://untappd.com/brewery/32360"">Untappd</a>"
Ferme des Noës,4,8,12,Active,"<a href=""https://www.fermedesnoes.com/"">Website</a>",,"<a href=""https://www.instagram.com/fermedesnoes/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16067236232754040277"">Google</a>",,"<a href=""https://untappd.com/w/ferme-des-no-s/72679"">Untappd</a>"
Ferme des Martellières,2,10,12,Active,,"<a href=""https://www.facebook.com/LesMartellieres.ProduitsCidricoles"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13628777607608573968"">Google</a>",,"<a href=""https://untappd.com/w/les-martellieres/291057"">Untappd</a>"
Ferme du Manoir du Val,2,10,12,Active,"<a href=""https://www.manoirduval.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=848420197404289170"">Google</a>",,
Cidre Viard-Bayeux,5,6,11,Active,"<a href=""https://cidrebayeux.com/"">Website</a>","<a href=""https://www.facebook.com/CidresBayeux"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_bayeux/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13233255599279949282"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g187181-d3454062"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-viard/26008"">Untappd</a>"
Ferme de la Sapinière,4,7,11,Active,"<a href=""https://www.producteur-cidre.com/"">Website</a>","<a href=""https://www.facebook.com/fermedelasapiniere/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13033032790677741913"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1462420-d4961506"">TripAdvisor</a>","<a href=""https://untappd.com/w/ferme-de-la-sapini-re/124296"">Untappd</a>"
Domaine Duclos Fougeray,4,6,10,Active,"<a href=""https://www.duclosfougeray.com/"">Website</a>","<a href=""https://www.facebook.com/domaine.duclosfougeray"">Facebook</a>","<a href=""https://www.instagram.com/domaine_duclos_fougeray/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12398185041013701779"">Google</a>",,"<a href=""https://untappd.com/brewery/103532"">Untappd</a>"
