Style,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",50,155,757,716,1678
"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",45,131,602,384,1162
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",46,47,301,235,629
"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>",22,9,54,44,129
"<a href=""https://ciderguide.com/glintcap/styles/rose-cider/"">Rosé Cider</a>",15,9,37,21,82
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",22,4,78,74,178
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",23,8,33,30,94
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",22,119,733,576,1450
"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",22,15,149,163,349
"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",21,39,268,197,525
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",23,24,203,199,449
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",18,20,114,100,252
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",24,104,537,513,1178
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",21,9,92,108,230
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",28,27,92,63,210
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",26,21,76,61,184
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",24,8,40,28,100
Total,452,749,4166,3512,8879
