Year,Style,Medalist,Entry,Medal,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2020,AOP Cidre Cotentin,Cidre Lemasson,Cuvée Jazz sous les Pommiers 2018,🥇 Or,Active,"<a href=""https://www.cidre-lemasson.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrelemasson"">Facebook</a>","<a href=""https://www.instagram.com/cidrelemasson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7632467116285948880"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g12634286-d6538652"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidre-lemasson/247290"">Untappd</a>"
2020,AOP Cidre Cotentin,Cidre Lemasson,Extra-brut 2019,🥇 Or,Active,"<a href=""https://www.cidre-lemasson.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrelemasson"">Facebook</a>","<a href=""https://www.instagram.com/cidrelemasson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7632467116285948880"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g12634286-d6538652"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidre-lemasson/247290"">Untappd</a>"
2020,AOP Cidre Cotentin,Théo Capelle,Théo Capelle Brut 2019,🥇 Or,Active,"<a href=""https://www.theo-capelle.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100054206274447"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3221607950662529223"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g187183-d3406164"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-tha-c-o-capelle/124517"">Untappd</a>"
2020,AOP Cidre Cotentin,Cidrerie Claids,Claids Brut 2018,🥈 Argent,Active,"<a href=""https://www.cidrerieclaids.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrerieclaids/"">Facebook</a>","<a href=""https://www.instagram.com/cidrerieclaids/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16896075272570280949"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-claids/541066"">Untappd</a>"
2020,AOP Cidre Cotentin,Cidrerie Claids,Claids Brut 2019,🥈 Argent,Active,"<a href=""https://www.cidrerieclaids.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrerieclaids/"">Facebook</a>","<a href=""https://www.instagram.com/cidrerieclaids/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16896075272570280949"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-claids/541066"">Untappd</a>"
2020,AOP Cidre Cotentin,Ferme de la Commanderie,Ferme de la Commanderie Brut 2019,🥈 Argent,Active,"<a href=""http://www.ferme-de-la-commanderie.fr/"">Website</a>","<a href=""https://www.facebook.com/CidrerieLaCommanderie"">Facebook</a>","<a href=""https://www.instagram.com/cidreriefermedelacommanderie"">Instagram</a>","<a href=""https://maps.google.com/?cid=2113479186577428756"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2407705-d10109503"">TripAdvisor</a>","<a href=""https://untappd.com/w/ferme-de-la-commanderie/233207"">Untappd</a>"
2020,AOP Cidre Cotentin,Les Vergers de la Passion,Les Vergers de la Passion - Petit Louis 2018,🥈 Argent,Active,"<a href=""https://les-vergers-de-la-passion-cidrerie.fr/"">Website</a>","<a href=""https://www.facebook.com/LesVergersDeLaPassion.FermeCidricole/"">Facebook</a>","<a href=""https://www.instagram.com/lesvergersdelapassion/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9889208295960516000"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g13423894-d13413411"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-la-passion/468828"">Untappd</a>"
2020,AOP Cidre Cotentin,Les Vergers de la Passion,Les Vergers de la Passion Brut 2018,🥈 Argent,Active,"<a href=""https://les-vergers-de-la-passion-cidrerie.fr/"">Website</a>","<a href=""https://www.facebook.com/LesVergersDeLaPassion.FermeCidricole/"">Facebook</a>","<a href=""https://www.instagram.com/lesvergersdelapassion/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9889208295960516000"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g13423894-d13413411"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-la-passion/468828"">Untappd</a>"
2020,AOP Cidre Cotentin,Maison Hérout,Hérout Cuvée tradition 2018,🥈 Argent,Active,"<a href=""https://www.maisonherout.com/"">Website</a>","<a href=""https://www.facebook.com/cidres/"">Facebook</a>","<a href=""https://www.instagram.com/maisonherout/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1426598113576371976"">Google</a>",,"<a href=""https://untappd.com/w/m-a-herout/164919"">Untappd</a>"
2020,AOP Cidre Pays d'Auge,Domaine de la Galotière,La Galotière 2019,🥇 Or,Active,"<a href=""https://www.lagalotiere.fr/"">Website</a>","<a href=""https://www.facebook.com/lagalotiere"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3334578271943351430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g608796-d12550194"">TripAdvisor</a>","<a href=""https://untappd.com/w/domaine-de-la-galotiere/38855"">Untappd</a>"
