Year,Class,Producer,County,Place,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2023,Dry Cider,Sisson & Smith,Nottinghamshire,🥇 First,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
2023,Dry Cider,Henhope Cider,Herefordshire,🥈 Second,Active,,"<a href=""https://www.facebook.com/HenhopeCider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/henhope/525004"">Untappd</a>"
2023,Dry Cider,Naked Orchards,Worcestershire,🥉 Third,Inactive,,,,,,"<a href=""https://untappd.com/w/naked-orchard-cidery/437439"">Untappd</a>"
2023,Medium Cider,Palmers Upland Cyder,Newport,🥇 First,Active,"<a href=""https://www.palmersuplandcyder.co.uk/"">Website</a>","<a href=""https://www.facebook.com/palmersuplandcyder/"">Facebook</a>","<a href=""https://www.instagram.com/palmers_upland_cyder/"">Instagram</a>",,,"<a href=""https://untappd.com/w/palmers-upland-cyder/66238"">Untappd</a>"
2023,Medium Cider,McCrindle's Cider,Gloucestershire,🥈 Second,Active,"<a href=""http://mccrindlescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100054383207510"">Facebook</a>",,,,"<a href=""https://untappd.com/w/mccrindles/18884"">Untappd</a>"
2023,Medium Cider,Henhope Cider,Herefordshire,🥉 Third,Active,,"<a href=""https://www.facebook.com/HenhopeCider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/henhope/525004"">Untappd</a>"
2023,Sweet Cider,Henhope Cider,Herefordshire,🥇 First,Active,,"<a href=""https://www.facebook.com/HenhopeCider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/henhope/525004"">Untappd</a>"
2023,Sweet Cider,Rosie's Triple D Cider,Denbighshire,🥈 Second,Active,"<a href=""https://www.rosiescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/rosiescider/"">Facebook</a>","<a href=""https://www.instagram.com/rosies_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12453816872387933094"">Google</a>",,"<a href=""https://untappd.com/w/rosies-triple-d-cider/72489"">Untappd</a>"
2023,Sweet Cider,Sisson & Smith,Nottinghamshire,🥉 Third,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
2023,Dry Perry,Rosie's Triple D Cider,Denbighshire,🥇 First,Active,"<a href=""https://www.rosiescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/rosiescider/"">Facebook</a>","<a href=""https://www.instagram.com/rosies_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12453816872387933094"">Google</a>",,"<a href=""https://untappd.com/w/rosies-triple-d-cider/72489"">Untappd</a>"
