Year,Medalist,Product,Category,Country
2018,Roter Adam,Roter Adam Selection Kaiserstuhl,Still,Germany
2018,Apfelundwein,2014 Selektion Ontario-Apfel Flaschengärung,Sparkling,Germany
2018,Haußler Hinterespig,Apfel-Quitte-Secco,Mixed & Flavoured,Germany
2018,Pomolo Obstweine,Apfel-Mispel-Secco,Mixed & Flavoured,Germany
2018,Mosterei Seiz,Perano Birnendessertwein,Ice Cider,Germany
2019,Domaine Lesuffleur,La Folletière 2016,Still,France
2019,Apfelhotel Torgglerhof,Anderdog Apfelcider,Sparkling,Italy
2019,Hogan's Cider,Hogan's Libertine Cider,Mixed & Flavoured,England
2019,Gutshof Kraatz,2017 Birnensecco,Sparkling Mixed & Flavoured,Germany
2019,Sidra Cortina,Sidra de Hielo,Ice Cider,Spain
2020,Weidmann & Groh,2019 Boskop,Still,Germany
2020,Apal Sideri,Sølvsider,Sparkling,Norway
2020,Hogan's Cider,Hogan's Libertine Cider,Mixed & Flavoured,England
2020,Prosequ,Q18,Sparkling Mixed & Flavoured,Austria
2020,Egge Gård,Iseple,Ice Cider,Norway
2020,Horn Cider,2014 Kvasir,Ice Cider,Denmark
2021,Buschenschank Lippitz,Jonagold,Still,Austria
2021,Egge Gård,Liersider,Sparkling,Norway
2021,Seppelbauer,Gourmetmost Brous,Mixed & Flavoured,Austria
2021,Seppelbauer,Baron Cider Birne,Sparkling Mixed & Flavoured,Austria
2021,Von Wiesen,Quittenschaumwein Brut 2019,Sparkling Mixed & Flavoured,Germany
2021,Pomolo Obstweine,Apfel-Quitte-Secco Alkoholfrei,Non-Alcoholic Cider,Germany
2021,Krenzers Rhön,Apfelsherry Whiskyfass Edelsüß,Ice Cider,Germany
2021,Seppelbauer,San Bernardo,Ice Cider,Austria
2021,Maley,Whymper 1865,Brandy,Italy
2022,Kühbrein Most,Kühbrein - Champagner Renette,Still,Austria
2022,Maley,Cidre du Saint Bernard,Still,Italy
2022,Genussmosthof Veitlbauer,Secco Rosé,Sparkling,Austria
2022,JEs Cider,Jes Cider,Sparkling,Germany
2022,Kelterei Herberth,Apfel-Klassiker Apfelschaumwein Herb,Sparkling,Germany
2022,Abavas,Abavas Rhubarb Semi-Sweet Wine,Perry & Flavoured Cider - Still,Latvia
2022,Abavas,Abavas Meadows Cider,Perry & Flavoured Cider - Sparkling,Latvia
2022,Nerø Frukt og Sider,NeRo Ice Cider,Ice Cider,Norway
2022,Stahringer Streuobstmosterei,Birnoh,Ice Cider,Germany
2022,Der Stotz Hof,Handcrafted Cider Alkoholfrei,Non-Alcoholic Cider,Germany
2022,Hardanger Saft og Siderfabrikk,Hardanger Eplebrennevin,Brandy,Norway
2023,Kühbrein Most,KühbreinMost Maschanzker,Still,Austria
2023,Natur und Mohr,Obstschäumle Weinbirnen-Secco,Sparkling,Germany
2023,Sidra Somarroza,Biter Bio Somarroza,Mixed & Flavoured,Spain
2023,Obstparadies Staufen,Paradies-Prickler Apfel-Mostbirne-Eberesche,Non-Alcoholic Cider,Germany
2023,Cidrerie Milton,Le Glacé 2015,Dessert & Fortified,Canada
2023,Stahringer Streuobstmosterei,Birnoh,Spirit,Germany
2024,Weidmann & Groh,Speierling,Still,Germany
2024,Pomologik,Virvelvind / Munklägret,Sparkling,Sweden
2024,TraunSecco,Bio Herzbluat 2022,Mixed & Flavoured,Austria
2024,Krenzers Rhön,Siggi,Non-Alcoholic Cider,Germany
2024,Pomologik,Ingrid Marie XO,Spirit,Sweden
