Country,🏆 Best of Category,🥇 Gold,🥈 Silver,🥉 Honor,🏅 Total
Germany,19,85,109,89,302
Norway,5,31,65,27,128
Spain,2,33,31,51,117
Austria,9,26,24,19,78
Italy,3,8,17,25,53
France,1,4,18,14,37
Denmark,1,11,10,8,30
Latvia,2,6,11,9,28
Sweden,2,7,11,6,26
Switzerland,0,7,6,9,22
Canada,1,5,5,8,19
England,2,2,6,8,18
United States,0,1,9,8,18
Luxembourg,0,3,7,7,17
Ireland,0,4,3,7,14
Portugal,0,3,4,5,12
Japan,0,1,0,10,11
Czech Republic,0,1,1,6,8
Estonia,0,3,2,2,7
Finland,0,0,3,3,6
Netherlands,0,2,2,1,5
Ukraine,0,1,3,1,5
Czechia,0,2,0,0,2
Armenia,0,0,0,2,2
Belgium,0,0,0,1,1
Chile,0,0,0,1,1
Poland,0,0,0,1,1
Slovenia,0,0,0,1,1
Total,47,246,347,329,969
