Year,Medalist,Product,Category,Region
2019,Mr. Plūme,Sausais,Dry Still Cider,Latvia
2019,Finca La Rionda,Valnera,Semi-Dry Still Cider,Asturias
2019,Mr. Plūme,Saudais,Sweet Still Cider,Latvia
2019,Sidra Riestra,Guzmán Riestra Brut,Dry Sparkling Cider,Asturias
2019,Tori Siidritalu,Demi Sec,Semi-Dry Sparkling Cider,Estonia
2019,Maley,Saint Bernard,Sweet Sparkling Cider,Italy
2019,Cidrerie Berri,Cidre Pétillant,Dry Carbonated Cider,Basque Country
2019,Cidre Mauret,Demi Sec Sparkling Cider,Semi-Dry Carbonated Cider,France
2019,Sidra Cortina,Sidra de Hielo Cortina,Ice Cider,Asturias
2019,Sidra Panizales,Caldea,Fire Cider,Asturias
2019,Maley,Lecristallier,Cider Liqueur,Italy
2019,Sidra Viuda de Angelón,Angelón Llimón,Fruit Cider,Asturias
2019,Cidre Mauret,Elderflower,Flavored Cider,France
2019,Sidra Panizales,Viesk,Aperitif Cider,Asturias
2019,Sidra Viuda de Angelón,Pomar Rosée,Rosé Cider,Asturias
2019,Urban Farm Fermentory,Seaweed Cidah,Most Original Cider,United States
2019,Cydr Chyliczki,Perry 2018,Perry,Poland
2019,Maley,Whymper 1865,Cider Spirits,Italy
2020,Mr. Plūme,Sausais,Dry Still Cider,Latvia
2020,Exner Cider,Exner,Semi-Dry Still Cider,Asturias
2020,Sidra Panizales,Sía – Sidra de Postre,Sweet Still Cider,Asturias
2020,Sidro MelaGodo,Extra Dry,Dry Sparkling Cider,Italy
2020,Cider Sekt,Cidertalk Semi-Sweet,Semi-Dry Sparkling Cider,Czechia
2020,Cider Sekt,Cidertalk Bitter-Sweet,Sweet Sparkling Cider,Czechia
2020,Cidre Mauret,Le Rafraîchissant,Dry Carbonated Cider,France
2020,Cidre Mauret,Extra Bio 6.6%,Semi-Dry Carbonated Cider,France
2020,Sidra Posma,Sweet Cider 1/3,Sweet Carbonated Cider,Canary Islands
2020,Cidre Mauret,Elderflower 4.9%,Flavored Cider,France
2020,Pedro El Duque,Vermut,Most Original Cider,Asturias
2020,Sidra Panizales,Viesk,Aperitif Cider,Asturias
2020,Sidra Panizales,Xelu,Ice Cider,Asturias
2020,Sidra Panizales,Caldea,Fire Cider,Asturias
2020,Sidra Viuda de Angelón,Pomar Rossee,Rosé Cider,Asturias
2020,Jörg Geiger,Cuvee aus Weinbirnen,Perry,Germany
2020,Jörg Geiger,Licor de Manzana,Cider Liqueur,Germany
2020,Casería San Juan del Obispo,L'Alquitara,Cider Spirits,Asturias
2021,Sidra Panizales,ATI,Dry Still Cider,Asturias
2021,Mr. Plūme,Pussausais,Semi-Dry Still Cider,Latvia
2021,Jörg Geiger,Craft Cider Holzapfel,Sweet Still Cider,Germany
2021,Seidear,Seidear,Brut Sparkling Cider,Scotland
