Year,Medalist,Entry,Class,Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/shuswap-cider-co/"">Shuswap Cider Co.</a>",Semi-Sweet Apple,Modern Cider - Dry,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",McIntosh,Modern Cider - Dry,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Stoke Red,Modern Cider - Dry,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",Smackintosh,Modern Cider - Sweet,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Honeycrisp,Modern Cider - Sweet,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/townline-ciderworks/"">Townline Ciderworks</a>",Sweet Elise,Modern Cider - Sweet,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/weidmann-groh/"">Weidmann & Groh</a>",Speierling,Heritage Cider - Dry,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchard & Cidery</a>",La Raison,Heritage Cider - Dry,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/michigan-wine-company/"">Michigan Wine Company</a>",Northern Spy Cider,Heritage Cider - Dry,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",The Russets,Heritage Cider - Sweet,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Gravenstein,Heritage Cider - Sweet,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Golden Russet,Heritage Cider - Sweet,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Kingston Black SV,Traditional Cider - Dry,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/the-cider-farm/"">The Cider Farm</a>",Dabinett,Traditional Cider - Dry,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Yarlington Mill,Traditional Cider - Dry,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Marechal,Traditional Cider - Sweet,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",French Cider Apples,Traditional Cider - Sweet,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Yarlington Mill,Traditional Cider - Sweet,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/zapiain/"">Zapiain</a>",Zapiain Euskal Sagardoa Premium,Natural Cider,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/zapiain/"">Zapiain</a>",Joanes de Zapiain,Natural Cider,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-trabanco/"">Sidra Trabanco</a>",Sidra Trabanco Sobre La Madre,Natural Cider,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/suttons-bay-ciders/"">Suttons Bay Ciders</a>",Redfield,Rosé Cider,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Mountain Rose,Rosé Cider,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/alma-cider/"">Alma Cider</a>",Alma Rosé,Rosé Cider,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Winter Pear,Modern Perry,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/kuhnhenn-brewing-co/"">Kuhnhenn Brewing Co.</a>",Perry,Modern Perry,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/michigan-wine-company/"">Michigan Wine Company</a>",Perry,Modern Perry,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchard & Cidery</a>",Archive Perry,Traditional Perry,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/nashi-orchards/"">Nashi Orchards</a>",Continental Perry,Traditional Perry,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/alma-cider/"">Alma Cider</a>",Alma Perry,Traditional Perry,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/cider-hill-cellars/"">Cider Hill Cellars</a>",Raspberry Harvest,Fruit Cider,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Porters & Perry,Fruit Cider,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/floribunda/"">Floribunda</a>",Quitten Cider Alla Cotogna,Fruit Cider,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/chain-yard-urban-cidery/"">Chain Yard Cider</a>",Hopped Up,Hopped Cider,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/duxbury-cider-company/"">Duxbury Cider Company</a>",Tilted Barn,Hopped Cider,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/gabbie's-premium-cider/"">Gabbie's Premium Cider</a>",Citrus Hopped Cider,Hopped Cider,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/glacial-till-vineyard-winery/"">Glacial Till Vineyard & Winery</a>",Spruce Springsteen,Botanical Cider,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/two-blokes-cider/"">Two Blokes Cider</a>",Sappho,Botanical Cider,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/"">Jefferson County Ciderworks</a>",Winter Botanical,Botanical Cider,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/two-blokes-cider/"">Two Blokes Cider</a>",Scrumpy,Wood Aged Cider,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/townline-ciderworks/"">Townline Ciderworks</a>",Big John,Wood Aged Cider,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/kristof-farms/"">Kristof Farms</a>",Kristof Farms Reserve Cider,Wood Aged Cider,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchard & Cidery</a>",Inversion Reserve,Wood Aged Specialty Cider,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/sapsucker-farms-yellow-belly-cidery/"">Sapsucker Farms Yellow Belly Cidery</a>",Yellow Belly Maple Bourbon Cider,Wood Aged Specialty Cider,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchard & Cidery</a>",Abstract,Wood Aged Specialty Cider,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/heirloom-hill-cider-company/"">Heirloom Hill Cider Company</a>",Sparkling Honeycrisp Rose,Specialty Cider and Perry,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Sparkling Rose,Specialty Cider and Perry,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/thornbury-craft-co/"">Thornbury Craft Co.</a>",Thornbury Wild Blueberry Elderflower Apple Cider,Specialty Cider and Perry,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/annapolis-cider-company/"">Annapolis Cider Company</a>",Sbagliato Spritz,Unlimited Cider and Perry,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/annapolis-cider-company/"">Annapolis Cider Company</a>",Cranberry Mimosa,Unlimited Cider and Perry,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/thornbury-craft-co/"">Thornbury Craft Co.</a>",Thornbury Wild Strawberry Lemonade Cider,Unlimited Cider and Perry,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-el-gaitero/"">Sidra El Gaitero</a>",Sidra De Hielo 1898,Ice Cider,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/zapiain/"">Zapiain</a>",Bizi-Goxo,Ice Cider,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-verger-bilodeau/"">Cidrerie Verger Bilodeau</a>",Nectar De Glace,Ice Cider,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/1911-established/"">1911 Established</a>",Pommeau,Fortified Cider,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",13th Anniversary,Fortified Cider,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",American Oak Pommeau,Fortified Cider,3rd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/atlanta-hard-cider-co/"">Atlanta Hard Cider Co.</a>",American Dry Gin,Spirits,1st Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/thornapple-brewing-company/"">Thornapple Brewing Company</a>",Apple Brandy,Spirits,2nd Place
2024,"<a href=""https://ciderguide.com/glintcap/medalists/west-end-cider-house/"">West End Cider House</a>",Apple Brandy,Spirits,3rd Place
