Region,🏆 Premium,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
Asturias,31,59,47,43,180
Germany,15,20,29,7,71
Basque Country,7,12,33,19,71
Poland,2,12,24,23,61
Czechia,5,9,29,10,53
France,6,14,19,12,51
Canary Islands,4,8,23,12,47
Latvia,7,7,19,13,46
Italy,7,8,21,7,43
Portugal,1,---,10,13,24
Ireland,2,2,12,2,18
United States,1,2,7,6,16
Catalonia,2,1,6,6,15
Netherlands,---,---,7,8,15
England,---,1,6,5,12
Estonia,1,3,6,1,11
León,---,---,4,5,9
Madeira,---,---,3,6,9
Scotland,1,3,3,---,7
Norway,1,2,1,3,7
Finland,---,1,5,1,7
Chile,---,---,3,4,7
Luxembourg,---,1,4,1,6
Austria,---,---,4,2,6
Denmark,---,2,2,1,5
Japan,2,---,1,1,4
Sweden,---,3,---,---,3
Galicia,---,1,1,1,3
Slovakia,---,1,1,1,3
Peru,---,1,1,---,2
Lithuania,---,1,---,1,2
Ukraine,---,---,1,1,2
Cantabria,---,1,---,---,1
Belgium,---,---,---,1,1
Total,95,175,332,216,818
