Year,Category,Medalist,Product,Award,Status,Region,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2013,New Expression Cider,Sidra El Gobernador,Españar,🥇 Gold,Active,Asturias,"<a href=""https://martinezsopenahermanos.com/"">Website</a>",,"<a href=""https://www.instagram.com/sidraelgobernador/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16311632506815681967"">Google</a>",,"<a href=""https://untappd.com/w/sidra-el-gobernador/55772"">Untappd</a>"
2013,Semi-Sweet Sparkling Cider,Sidra El Gaitero,El Gaitero Extra,🥇 Gold,Active,Asturias,"<a href=""https://www.sidraelgaitero.com/"">Website</a>","<a href=""https://www.facebook.com/grupoelgaitero"">Facebook</a>","<a href=""https://www.instagram.com/grupoelgaitero/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15753532318992345137"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g608997-d3239389"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4266"">Untappd</a>"
2013,Brut Cider,Sidra Viuda de Angelón,Brut,🥇 Gold,Active,Asturias,"<a href=""http://www.sidraviudaangelonpomar.es/"">Website</a>","<a href=""https://www.facebook.com/sidrapomar.viudaangelon/"">Facebook</a>","<a href=""https://www.instagram.com/Sidraviudaangelon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13173562328637195239"">Google</a>",,"<a href=""https://untappd.com/w/viuda-de-angela3n/142823"">Untappd</a>"
2013,International Cider,Landsteiner Mühle,2012 Roter Trieter mit Boskoop,🥇 Gold,Inactive,Germany,,,,,,
2013,Most Original Cider,Kystin,Cidre Cuvée Chataigne,🥇 Gold,Active,France,"<a href=""https://www.kystin.net/"">Website</a>","<a href=""https://www.facebook.com/kystincider"">Facebook</a>",,,,"<a href=""https://untappd.com/brewery/90870"">Untappd</a>"
2013,Perry,Sidra Viuda de Angelón,Sidra de Pera,🥇 Gold,Active,Asturias,"<a href=""http://www.sidraviudaangelonpomar.es/"">Website</a>","<a href=""https://www.facebook.com/sidrapomar.viudaangelon/"">Facebook</a>","<a href=""https://www.instagram.com/Sidraviudaangelon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13173562328637195239"">Google</a>",,"<a href=""https://untappd.com/w/viuda-de-angela3n/142823"">Untappd</a>"
2013,Ice Cider,Sidra Panizales,Sidra de Hielo Panizales,🥇 Gold,Active,Asturias,"<a href=""https://sidrapanizales.com/"">Website</a>","<a href=""https://www.facebook.com/panizales.sidra"">Facebook</a>","<a href=""https://www.instagram.com/sidrapanizales/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16258480851124885832"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g775263-d7621234"">TripAdvisor</a>","<a href=""https://untappd.com/w/llagar-panizales/152401"">Untappd</a>"
2013,Cider Spirits,Casería San Juan del Obispo,Salvador del Obispo Aguardiente Envejecido en Roble,🥇 Gold,Active,Asturias,"<a href=""https://www.caseriasanjuandelobispo.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=13956526212503892929"">Google</a>",,"<a href=""https://untappd.com/w/caseria-san-juan-del-obispo/285141"">Untappd</a>"
2014,International Cider,Kystin,Kalysïe,🥇 Gold,Active,France,"<a href=""https://www.kystin.net/"">Website</a>","<a href=""https://www.facebook.com/kystincider"">Facebook</a>",,,,"<a href=""https://untappd.com/brewery/90870"">Untappd</a>"
2014,New Expression Cider,Sidra El Gaitero,Pomarina,🥇 Gold,Active,Asturias,"<a href=""https://www.sidraelgaitero.com/"">Website</a>","<a href=""https://www.facebook.com/grupoelgaitero"">Facebook</a>","<a href=""https://www.instagram.com/grupoelgaitero/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15753532318992345137"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g608997-d3239389"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4266"">Untappd</a>"
