Year,Class,Medalist,Product,Award,Score,Status,Region,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2011,Dry Cider,Henney's Cider,Henney's Dry Cider,🥇 Gold,,Active,Herefordshire,England,"<a href=""http://www.henneys.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HenneysCider"">Facebook</a>",,,,,"<a href=""https://untappd.com/brewery/10577"">Untappd</a>"
2011,Dry Cider,Henney's Cider,Henney's Vintage Cider,🥈 Silver,,Active,Herefordshire,England,"<a href=""http://www.henneys.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HenneysCider"">Facebook</a>",,,,,"<a href=""https://untappd.com/brewery/10577"">Untappd</a>"
2011,Dry Cider,Small Acres Cyder,Somerset Still 2010,🥉 Bronze,,Active,New South Wales,Australia,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
2011,Medium Cider,Gwynt y Ddraig Cider,Farmhouse Cloudy Scrumpy,🥉 Bronze,,Active,Rhondda Cynon Taf,Wales,"<a href=""https://gwyntcidershop.com/"">Website</a>","<a href=""https://www.facebook.com/gwyntcider/"">Facebook</a>","<a href=""https://www.instagram.com/gwyntyddraigcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=194836955180238214"">Google</a>",,,"<a href=""https://untappd.com/brewery/6770"">Untappd</a>"
2011,Medium Cider,Small Acres Cyder,Norfolk Still 2010,🥉 Bronze,,Active,New South Wales,Australia,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
2011,Sweet Cider,Henney's Cider,Henney’s Sweet Cider,🥈 Silver,,Active,Herefordshire,England,"<a href=""http://www.henneys.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HenneysCider"">Facebook</a>",,,,,"<a href=""https://untappd.com/brewery/10577"">Untappd</a>"
2011,Sweet Cider,Magners,Magners Original Irish Cider,🥉 Bronze,,Active,Tipperary,Ireland,"<a href=""https://magners.co.uk/"">Website</a>","<a href=""https://www.facebook.com/magnerscider"">Facebook</a>","<a href=""https://www.instagram.com/magnersuk"">Instagram</a>","<a href=""https://maps.google.com/?cid=13030775149028298606"">Google</a>",,,"<a href=""https://untappd.com/MagnersCider"">Untappd</a>"
2011,Sweet Cider,Small Acres Cyder,Appscato 2010,🥉 Bronze,,Active,New South Wales,Australia,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
2011,Sweet Cider,Gwynt y Ddraig Cider,Orchard Gold,🥉 Bronze,,Active,Rhondda Cynon Taf,Wales,"<a href=""https://gwyntcidershop.com/"">Website</a>","<a href=""https://www.facebook.com/gwyntcider/"">Facebook</a>","<a href=""https://www.instagram.com/gwyntyddraigcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=194836955180238214"">Google</a>",,,"<a href=""https://untappd.com/brewery/6770"">Untappd</a>"
2011,Bottle Conditioned / Methode Champenoise Cider,Domaine Dupont,Famille E Dupont Bouche Fermier,🥈 Silver,,Active,Normandy,France,"<a href=""https://www.calvados-dupont.com/"">Website</a>","<a href=""https://www.facebook.com/calvados.dupont/"">Facebook</a>","<a href=""https://www.instagram.com/domaine_dupont/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4283975466429458280"">Google</a>","<a href=""https://www.yelp.com/biz/domaine-familial-louis-dupont-victot-pontfol"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g3419860-d2344452"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4744"">Untappd</a>"
