Year,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",60,42,401,310,813
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",60,110,583,301,1054
"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",60,107,556,317,1040
"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",60,107,611,374,1152
"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",60,103,473,439,1075
"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",57,53,417,418,945
"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",54,35,289,353,731
"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",12,50,255,303,620
"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",5,19,154,235,413
"<a href=""https://ciderguide.com/glintcap/years/2014-results/"">2014</a>",4,34,122,147,307
"<a href=""https://ciderguide.com/glintcap/years/2013-results/"">2013</a>",3,20,89,128,240
"<a href=""https://ciderguide.com/glintcap/years/2012-results/"">2012</a>",4,11,62,60,137
"<a href=""https://ciderguide.com/glintcap/years/2011-results/"">2011</a>",4,29,56,53,142
"<a href=""https://ciderguide.com/glintcap/years/2009-results/"">2009</a>",2,9,42,14,67
"<a href=""https://ciderguide.com/glintcap/years/2008-results/"">2008</a>",2,3,19,26,50
"<a href=""https://ciderguide.com/glintcap/years/2007-results/"">2007</a>",1,4,16,15,36
"<a href=""https://ciderguide.com/glintcap/years/2006-results/"">2006</a>",3,7,15,12,37
"<a href=""https://ciderguide.com/glintcap/years/2005-results/"">2005</a>",1,6,6,7,20
Total,452,749,4166,3512,8879
