Year,Style,Medal,Producer,Region,Product,Points,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2017,Natural Basque Cider,🥇 Gold,Zapiain,Basque Country,Zapiain sagardoa (Lote 1),45,Active,"<a href=""https://zapiain.eus/"">Website</a>","<a href=""https://www.facebook.com/zapiainsagardoa"">Facebook</a>","<a href=""https://www.instagram.com/zapiainsagardoa/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16982677267877188990"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229"">TripAdvisor</a>","<a href=""https://untappd.com/ZapiainSagardoa"">Untappd</a>"
2017,Natural Basque Cider,🥇 Gold,Sarasola Sagardotegia,Basque Country,Sarasola sagardoa,45,Active,"<a href=""https://sidreriasarasola.com/"">Website</a>","<a href=""https://www.facebook.com/sidreriasarasolaasteasu/"">Facebook</a>","<a href=""https://www.instagram.com/sarasola_asteasu/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4818366078847267027"">Google</a>",,,"<a href=""https://untappd.com/w/sidreria-sarasola/98718"">Untappd</a>"
2017,Natural Basque Cider,🥈 Silver,Begiristain Sagardotegia,Basque Country,Begiristain sagardoa (Lote 1),44,Active,"<a href=""https://www.begiristainsagardotegia.com/\"">Website</a>",,"<a href=""https://www.instagram.com/begiristainsagardotegia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=726838247126869058"">Google</a>",,,"<a href=""https://untappd.com/w/begiristain-sagardotegia/286519"">Untappd</a>"
2017,Natural Basque Cider,🥈 Silver,Aburuza,Basque Country,Aburuza sagardoa (Lote 1),43,Active,"<a href=""https://www.sidrasaburuza.net/"">Website</a>","<a href=""https://www.facebook.com/sidrasaburuza/"">Facebook</a>","<a href=""https://www.instagram.com/aburuza_sagardotegia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11790998531102067428"">Google</a>","<a href=""https://www.yelp.com/biz/sidreria-aburuza-caserio-olatza-aduna"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g2578771-d7715076"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-aburuza/194775"">Untappd</a>"
2017,Natural Basque Cider,🥈 Silver,Izeta,Basque Country,Izeta sagardoa,40,Active,"<a href=""https://www.izeta.es/"">Website</a>","<a href=""https://www.facebook.com/IzetaSagardotegia"">Facebook</a>","<a href=""https://www.instagram.com/izetasagardotegia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5193661031886461877"">Google</a>","<a href=""https://www.yelp.com/map/izeta-sidreria-aia"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g897148-d4022936"">TripAdvisor</a>","<a href=""https://untappd.com/w/izeta-goikoa/226558"">Untappd</a>"
2017,Natural Basque Cider,🥈 Silver,Zelaia,Basque Country,Zelaia sagardoa (Lote 1),40,Active,"<a href=""https://zelaia.eus/"">Website</a>","<a href=""https://www.facebook.com/sidreriazelaia/"">Facebook</a>","<a href=""https://www.instagram.com/sidreriazelaia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3059185310841362913"">Google</a>","<a href=""https://www.yelp.com/biz/zelaia-hernani-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064188-d3572893"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-zelaia-sagardotegia/17632"">Untappd</a>"
2017,Natural Basque Cider,🥈 Silver,Zapiain,Basque Country,Zapiain sagardoa (Lote 2),40,Active,"<a href=""https://zapiain.eus/"">Website</a>","<a href=""https://www.facebook.com/zapiainsagardoa"">Facebook</a>","<a href=""https://www.instagram.com/zapiainsagardoa/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16982677267877188990"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229"">TripAdvisor</a>","<a href=""https://untappd.com/ZapiainSagardoa"">Untappd</a>"
2017,Natural Basque Cider,🥈 Silver,Araeta,Basque Country,Sidra Manzana Araeta,39,Active,"<a href=""https://araeta.com/"">Website</a>","<a href=""https://www.facebook.com/pages/Araeta-Restaurante/294806956757"">Facebook</a>","<a href=""https://www.instagram.com/sidreria_araeta/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16679682521656072832"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g187457-d2482068"">TripAdvisor</a>","<a href=""https://untappd.com/w/araeta-sagardotegia/372000"">Untappd</a>"
2017,Natural Basque Cider,🥈 Silver,R. Zabala,Basque Country,Zabala R80,39,Active,"<a href=""https://www.rzabala.com/"">Website</a>","<a href=""https://www.facebook.com/zabalasagardotegia"">Facebook</a>","<a href=""https://www.instagram.com/zabalasagardotegia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5479255229461192336"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g2578771-d9821714"">TripAdvisor</a>","<a href=""https://untappd.com/w/r-zabala/186717"">Untappd</a>"
2017,Natural Basque Cider,🥈 Silver,Zelaia,Basque Country,Zelaia sagardoa (Lote 2),38,Active,"<a href=""https://zelaia.eus/"">Website</a>","<a href=""https://www.facebook.com/sidreriazelaia/"">Facebook</a>","<a href=""https://www.instagram.com/sidreriazelaia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3059185310841362913"">Google</a>","<a href=""https://www.yelp.com/biz/zelaia-hernani-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064188-d3572893"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-zelaia-sagardotegia/17632"">Untappd</a>"
2017,Natural Basque Cider,🥈 Silver,Isastegi,Basque Country,Isastegi sagardoa (Lote 1),38,Active,"<a href=""https://www.isastegi.com/"">Website</a>","<a href=""https://www.facebook.com/isastegi.sagardotegia"">Facebook</a>","<a href=""https://www.instagram.com/isastegi/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3927960308349571227"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064362-d5772954"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/6054"">Untappd</a>"
2017,Natural Basque Cider,🥉 Bronze,Gurutzeta,Basque Country,Gurutzeta sagardoa,37,Active,"<a href=""https://www.gurutzeta.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063653015548"">Facebook</a>","<a href=""https://www.instagram.com/gurutzeta_sagar/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3267815348998464054"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3915865"">TripAdvisor</a>","<a href=""https://untappd.com/w/gurutzeta-sagardotegia/249476"">Untappd</a>"
2017,Natural Basque Cider,🥉 Bronze,Gaztañaga,Basque Country,Gaztañaga sagardoa,36,Active,"<a href=""http://sidreriagaztanaga.com/"">Website</a>","<a href=""https://www.facebook.com/sidreriagaztanaga/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=7381182771810577212"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g4084952-d4080010"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-gaztanaga/232470"">Untappd</a>"
2017,Natural Basque Cider,🥉 Bronze,Bereziartua,Basque Country,Bereziartua sagardoa,36,Active,"<a href=""http://www.bereziartuasagardoa.com/"">Website</a>","<a href=""https://www.facebook.com/Bereziartua"">Facebook</a>","<a href=""https://www.instagram.com/SBereziartua/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4287840169739792051"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d6740859"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/7553"">Untappd</a>"
2017,Natural Basque Cider,🥉 Bronze,Gartziategi,Basque Country,Gartziategi sagardoa (Lote 1),36,Active,"<a href=""https://gartziategi.com/"">Website</a>","<a href=""https://www.facebook.com/gartziategi"">Facebook</a>","<a href=""https://www.instagram.com/gartziategi/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4734247712861040251"">Google</a>","<a href=""https://www.yelp.com/biz/gartziategi-donostia-san-sebastian"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g187457-d4258881"">TripAdvisor</a>","<a href=""https://untappd.com/w/gartziategi-braserria/123054"">Untappd</a>"
2017,Natural Basque Cider,🥉 Bronze,Alorrenea,Basque Country,Alorrenea sagardoa,35,Active,"<a href=""https://alorrenea.com/"">Website</a>","<a href=""https://www.facebook.com/Alorrenea/"">Facebook</a>","<a href=""https://www.instagram.com/alorrenea/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7369065934381285009"">Google</a>","<a href=""https://www.yelp.com/biz/alorrenea-astigarraga"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3809108"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-alorrena/64396"">Untappd</a>"
2017,Natural Basque Cider,🥉 Bronze,Sidrería Irigoien Herrero,Basque Country,Irigoien Herrero sagardoa,35,Active,"<a href=""https://www.sidreriairigoien.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=7008206708852121852"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d5489212"">TripAdvisor</a>","<a href=""https://untappd.com/w/sideria-irigoien-herrero/202851"">Untappd</a>"
2017,Natural Basque Cider,🥉 Bronze,Petritegi,Basque Country,Petritegi sagardoa,35,Active,"<a href=""https://www.petritegi.com/"">Website</a>","<a href=""https://www.facebook.com/Petritegi/"">Facebook</a>","<a href=""https://www.instagram.com/petritegi"">Instagram</a>","<a href=""https://maps.google.com/?cid=16425101977693923721"">Google</a>","<a href=""https://www.yelp.com/biz/petritegi-astigarraga"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/51639"">Untappd</a>"
2017,Natural Basque Cider,🥉 Bronze,Gartziategi,Basque Country,Gartziategi sagardoa (Lote 2),35,Active,"<a href=""https://gartziategi.com/"">Website</a>","<a href=""https://www.facebook.com/gartziategi"">Facebook</a>","<a href=""https://www.instagram.com/gartziategi/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4734247712861040251"">Google</a>","<a href=""https://www.yelp.com/biz/gartziategi-donostia-san-sebastian"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g187457-d4258881"">TripAdvisor</a>","<a href=""https://untappd.com/w/gartziategi-braserria/123054"">Untappd</a>"
2017,Natural Basque Cider,🥉 Bronze,Rufino,Basque Country,Rufino sagardoa,35,Active,"<a href=""https://www.rufinosagardotegia.com/"">Website</a>","<a href=""https://www.facebook.com/RufinoSagardotegia/"">Facebook</a>","<a href=""https://www.instagram.com/rufinosagardotegia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15885220870479223557"">Google</a>",,,"<a href=""https://untappd.com/w/rufino/379778"">Untappd</a>"
2017,Natural Basque Cider,🥉 Bronze,Isastegi,Basque Country,Isastegi sagardoa (Lote 2),34,Active,"<a href=""https://www.isastegi.com/"">Website</a>","<a href=""https://www.facebook.com/isastegi.sagardotegia"">Facebook</a>","<a href=""https://www.instagram.com/isastegi/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3927960308349571227"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064362-d5772954"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/6054"">Untappd</a>"
2017,Natural Basque Cider,🥉 Bronze,Altzueta,Basque Country,Altzueta sagardoa (Lote 1),32,Active,"<a href=""https://www.altzuetasagardotegia.com/"">Website</a>","<a href=""https://www.facebook.com/altzuetasagardotegia/"">Facebook</a>","<a href=""https://www.instagram.com/altzueta/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15234921241388447200"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064188-d7251429"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-altzueta/71623"">Untappd</a>"
2017,Natural Basque Cider,🥉 Bronze,Altzueta,Basque Country,Altzueta sagardoa (Lote 2),31,Active,"<a href=""https://www.altzuetasagardotegia.com/"">Website</a>","<a href=""https://www.facebook.com/altzuetasagardotegia/"">Facebook</a>","<a href=""https://www.instagram.com/altzueta/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15234921241388447200"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064188-d7251429"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-altzueta/71623"">Untappd</a>"
2017,Natural Basque Cider,🥉 Bronze,Begiristain Sagardotegia,Basque Country,Begiristain sagardoa (Lote 2),30,Active,"<a href=""https://www.begiristainsagardotegia.com/\"">Website</a>",,"<a href=""https://www.instagram.com/begiristainsagardotegia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=726838247126869058"">Google</a>",,,"<a href=""https://untappd.com/w/begiristain-sagardotegia/286519"">Untappd</a>"
2017,Natural Basque Cider,🥉 Bronze,Oiharte,Basque Country,Oiharte sagardoa,30,Active,"<a href=""https://oiharte.com/"">Website</a>","<a href=""https://www.facebook.com/CasaRuralSidreriaOiharte"">Facebook</a>","<a href=""https://www.instagram.com/oiharte/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7283611563965022999"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1235389-d2470675"">TripAdvisor</a>","<a href=""https://untappd.com/w/oiharte-sagardotegia/351344"">Untappd</a>"
2017,Traditional French Cider,🥇 Gold,Angry Orchard,United States,The Muse,46,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2017,Traditional French Cider,🥇 Gold,Domaine Lesuffleur,France,La Folletière 2014,45,Active,,,"<a href=""https://www.instagram.com/domainelesuffleur/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/domaine-lesuffleur/411142"">Untappd</a>"
