Year,Award,Producer,Style,Product,Region,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2017,🏆 Best of Show,Weidmann & Groh,Apfelwein,Boskop,Germany,Active,"<a href=""https://weidmann-groh.de/"">Website</a>","<a href=""https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=6569120976887073603"">Google</a>",,,"<a href=""https://untappd.com/w/weidmann-groh/73065"">Untappd</a>"
2017,🏆 Best in Class,Zapiain,Natural Basque Cider,Zapiain Sagardoa,Basque Country,Active,"<a href=""https://zapiain.eus/"">Website</a>","<a href=""https://www.facebook.com/zapiainsagardoa"">Facebook</a>","<a href=""https://www.instagram.com/zapiainsagardoa/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16982677267877188990"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229"">TripAdvisor</a>","<a href=""https://untappd.com/ZapiainSagardoa"">Untappd</a>"
2017,🏆 Best in Class,Sidra Riestra,Natural Asturian Cider,Sidra Natural Riestra,Asturias,Active,"<a href=""http://www.sidrariestra.com/"">Website</a>","<a href=""https://www.facebook.com/SidraRiestra"">Facebook</a>","<a href=""https://www.instagram.com/sidrariestra/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2253085342105400787"">Google</a>",,,"<a href=""https://untappd.com/w/riestra/70601"">Untappd</a>"
2017,🏆 Best in Class,Domaine Lesuffleur,Traditional French Cider,La Folletière 2014,France,Active,,,"<a href=""https://www.instagram.com/domainelesuffleur/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/domaine-lesuffleur/411142"">Untappd</a>"
2017,🏆 Best in Class,Willie Smith's,Traditional English Cider,Somerset Redstreak,Australia,Active,"<a href=""https://www.williesmiths.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198"">Facebook</a>","<a href=""https://www.instagram.com/williesmithscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16057012530083496420"">Google</a>","<a href=""https://www.yelp.com/biz/willie-smith-s-apple-shed-grove"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074"">TripAdvisor</a>","<a href=""https://untappd.com/WilliamSmithandSons"">Untappd</a>"
2017,🏆 Best in Class,Angry Orchard,Modern Cider,Understood In Motion 01,United States,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2017,🏆 Best in Class,Araújo Monte,Premium Sparkling Cider,Cider Sparkling Corrupia,Portugal,Inactive,,,,,,,"<a href=""https://untappd.com/w/ara-jo-monte/379915"">Untappd</a>"
2017,🏆 Best in Class,Floribunda,Flavored Cider and Perry,Quitten Cider alla Cotogna,Italy,Active,"<a href=""https://www.floribunda.it/"">Website</a>",,"<a href=""https://www.instagram.com/floribundacider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14548393953505771229"">Google</a>",,,"<a href=""https://untappd.com/w/floribunda/333615"">Untappd</a>"
2017,🏆 Best in Class,Brännland Cider,Ice Cider,Brännland Iscider Barrique 2015,Sweden,Active,"<a href=""https://www.brannlandcider.se/"">Website</a>","<a href=""https://www.facebook.com/brannlandcider/"">Facebook</a>","<a href=""https://www.instagram.com/brannlandcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2299367906990041003"">Google</a>",,,"<a href=""https://untappd.com/brewery/83843"">Untappd</a>"
2017,🏆 Best in Class,Sidra Panizales,Modern Cider,Sidra Aperitivo Viesk,Asturias,Active,"<a href=""https://sidrapanizales.com/"">Website</a>","<a href=""https://www.facebook.com/panizales.sidra"">Facebook</a>","<a href=""https://www.instagram.com/sidrapanizales/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16258480851124885832"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g775263-d7621234"">TripAdvisor</a>","<a href=""https://untappd.com/w/llagar-panizales/152401"">Untappd</a>"
2019,🏆 Best of Show,Vander Mill,Flavored Cider and Perry,"Maiti Fresh ",United States,Active,"<a href=""http://vandermill.com/"">Website</a>","<a href=""https://www.facebook.com/VanderMillGR"">Facebook</a>","<a href=""https://www.instagram.com/vandermill/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6214407049389872858"">Google</a>","<a href=""https://www.yelp.com/biz/vander-mill-grand-rapids-grand-rapids-5"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g42256-d10325970"">TripAdvisor</a>","<a href=""https://untappd.com/w/vander-mill/8388"">Untappd</a>"
2019,🏆 Best in Class,Zapiain,Natural Basque Cider,Zapiain Sagardoa,Basque Country,Active,"<a href=""https://zapiain.eus/"">Website</a>","<a href=""https://www.facebook.com/zapiainsagardoa"">Facebook</a>","<a href=""https://www.instagram.com/zapiainsagardoa/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16982677267877188990"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229"">TripAdvisor</a>","<a href=""https://untappd.com/ZapiainSagardoa"">Untappd</a>"
2019,🏆 Best in Class,Sidra Piñera,Natural Asturian Cider,"Sidra Piñera ",Asturias,Active,"<a href=""https://www.sidrapinera.es/"">Website</a>","<a href=""https://www.facebook.com/sidrapinera/"">Facebook</a>","<a href=""https://www.instagram.com/sidrapinera/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3226166040134745626"">Google</a>",,,
