Year,Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",7,5,18,10,40
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",1,1,10,14,26
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",1,2,13,7,23
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",7,0,6,6,19
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/thornbury-craft-co/"">Thornbury Craft Co.</a>",2,1,13,3,19
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/annapolis-cider-company/"">Annapolis Cider Company</a>",2,1,11,5,19
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",1,1,10,7,19
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/glacial-till-vineyard-winery/"">Glacial Till Vineyard & Winery</a>",1,0,10,4,15
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/blakes-hard-cider-co/"">Blake's Hard Cider Co.</a>",0,1,7,7,15
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",1,1,10,2,14
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchard & Cidery</a>",4,1,4,4,13
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/vermont-cider-company/"">Vermont Cider Company</a>",0,0,9,3,12
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/atlanta-hard-cider-co/"">Atlanta Hard Cider Co.</a>",1,0,6,4,11
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/angry-orchard/"">Angry Orchard</a>",0,0,6,5,11
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/incline-cider-company/"">Incline Cider Company</a>",0,0,5,6,11
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/loch-mor-cider-co/"">Loch Mór Cider Co.</a>",0,2,5,3,10
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/mountain-west-cider-company/"">Mountain West Cider Company</a>",0,0,7,3,10
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/ravens-moon-craft-cider/"">Raven's Moon Craft Cider</a>",0,0,5,5,10
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/two-blokes-cider/"">Two Blokes Cider</a>",2,0,1,6,9
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/puget-sound-cider-company/"">Puget Sound Cider Company</a>",0,2,3,4,9
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/minneapolis-cider-company/"">Minneapolis Cider Company</a>",0,1,5,3,9
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/harpers-ferry-brewing/"">Harpers Ferry Brewing</a>",0,0,5,4,9
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/five-maidens-cider-company/"">Five Maidens Cider Company</a>",0,0,3,6,9
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/"">Jefferson County Ciderworks</a>",1,1,5,1,8
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/presque-isle-farm-cider/"">Presque Isle Farm Cider</a>",0,1,3,4,8
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/vander-mill/"">Vander Mill</a>",0,0,5,3,8
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/cider-hill-cellars/"">Cider Hill Cellars</a>",1,0,4,2,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/st-vrain-cidery/"">St. Vrain Cidery</a>",0,2,2,3,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/ernest-cider/"">Ernest Cider</a>",0,1,4,2,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/island-orchard-cider/"">Island Orchard Cider</a>",0,1,3,3,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/embark-craft-ciderworks/"">Embark Craft Ciderworks</a>",0,0,5,2,7
