Country,🏆 Trophy,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
England,4,---,12,27,43
France,---,---,3,13,16
Poland,---,---,2,4,6
Japan,---,---,2,3,5
Germany,1,---,1,3,5
Spain,---,---,2,2,4
Norway,1,---,1,2,4
India,---,1,1,1,3
Netherlands,---,---,2,1,3
Portugal,---,---,1,2,3
Argentina,---,---,2,---,2
Canada,---,---,1,1,2
Lebanon,---,---,1,1,2
Australia,---,---,---,2,2
Belgium,---,---,1,---,1
Estonia,---,---,1,---,1
Croatia,---,---,---,1,1
Italy,---,---,---,1,1
Kazakhstan,---,---,---,1,1
Latvia,---,---,---,1,1
South Africa,---,---,---,1,1
Total,6,1,33,67,107
