Year,Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Snow Capped Cider,7,5,18,10,40
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Seattle Cider Company,1,1,10,14,26
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Bauman's Cider,1,2,13,7,23
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Haykin Family Cider,7,0,6,6,19
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Thornbury Craft Co.,2,1,13,3,19
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Annapolis Cider Company,2,1,11,5,19
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",2 Towns Ciderhouse,1,1,10,7,19
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Glacial Till Vineyard & Winery,1,0,10,4,15
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Blake's Hard Cider Co.,0,1,7,7,15
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Tandem Ciders,1,1,10,2,14
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Empyrical Orchard & Cidery,4,1,4,4,13
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Vermont Cider Company,0,0,9,3,12
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Atlanta Hard Cider Co.,1,0,6,4,11
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Angry Orchard,0,0,6,5,11
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Incline Cider Company,0,0,5,6,11
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Loch Mór Cider Co.,0,2,5,3,10
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Mountain West Cider Company,0,0,7,3,10
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Raven's Moon Craft Cider,0,0,5,5,10
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Two Blokes Cider,2,0,1,6,9
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Puget Sound Cider Company,0,2,3,4,9
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Minneapolis Cider Company,0,1,5,3,9
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Harpers Ferry Brewing,0,0,5,4,9
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Five Maidens Cider Company,0,0,3,6,9
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Jefferson County Ciderworks,1,1,5,1,8
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Presque Isle Farm Cider,0,1,3,4,8
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Vander Mill,0,0,5,3,8
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Cider Hill Cellars,1,0,4,2,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",St. Vrain Cidery,0,2,2,3,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Ernest Cider,0,1,4,2,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Island Orchard Cider,0,1,3,3,7
