Province/Territory,Cider,Wine,Beer,Other,Total
"<a href=""https://ciderguide.com/cider-maps/canada/quebec-cider-map-directory/"">Quebec</a>",76,14,1,1,92
"<a href=""https://ciderguide.com/cider-maps/canada/ontario-cider-map-directory/"">Ontario</a>",59,17,3,6,85
"<a href=""https://ciderguide.com/cider-maps/canada/british-columbia-cider-map-directory/"">British Columbia</a>",51,1,5,2,59
"<a href=""https://ciderguide.com/cider-maps/canada/nova-scotia-cider-map-directory/"">Nova Scotia</a>",13,2,2,---,17
"<a href=""https://ciderguide.com/cider-maps/canada/new-brunswick-cider-map-directory/"">New Brunswick</a>",7,---,---,1,8
"<a href=""https://ciderguide.com/cider-maps/canada/alberta-cider-map-directory/"">Alberta</a>",6,---,2,---,8
"<a href=""https://ciderguide.com/cider-maps/canada/prince-edward-island-cider-map-directory/"">Prince Edward Island</a>",3,---,1,---,4
"<a href=""https://ciderguide.com/cider-maps/canada/manitoba-cider-map-directory/"">Manitoba</a>",2,---,---,---,2
"<a href=""https://ciderguide.com/cider-maps/canada/newfoundland-labrador-cider-map-directory/"">Newfoundland and Labrador</a>",1,---,---,---,1
"<a href=""https://ciderguide.com/cider-maps/canada/saskatchewan-cider-map-directory/"">Saskatchewan</a>",1,---,---,---,1
"<a href=""https://ciderguide.com/cider-maps/canada/yukon-cider-map-directory/"">Yukon</a>",1,---,---,---,1
Total,220,34,14,10,278
