Year,Month,Event,Location,Date,Website,Facebook,Instagram,Google,Continent
2025,February,Chicago Cider Week,"Chicago, Illinois",February 3-8,"<a href=""https://www.chicagociderweek.org/"">Website</a>","<a href=""https://www.facebook.com/chicagociderweek/"">Facebook</a>","<a href=""https://www.instagram.com/ciderweekchi"">Instagram</a>",,North America
2025,February,CiderCon,"Chicago, Illinois",February 5-7,"<a href=""https://ciderassociation.org/cidercon2025/"">Website</a>",,,,North America
2025,February,Cider Summit Chicago,"Chicago, Illinois",February 8,"<a href=""https://www.cidersummitnw.com/"">Website</a>","<a href=""https://www.facebook.com/cidersummit/"">Facebook</a>","<a href=""https://www.instagram.com/cidersummit/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2278118340755429553"">Google</a>",North America
2025,March,Australian Cider Day,Australia,March 8,"<a href=""https://www.cideraustralia.org.au/australianciderday/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069075242023"">Facebook</a>",,,Oceania
2025,March,Northwest Cider Symposium,"Tacoma, Washington",March 17-18,"<a href=""https://www.nwcider.com/symposium-2025/"">Website</a>",,,,North America
2025,March,CraftCon,"Hereford, Herefordshire",March 27-28,"<a href=""https://craftcon.co.uk/"">Website</a>","<a href=""https://www.facebook.com/3CCPA/"">Facebook</a>","<a href=""https://www.instagram.com/3ccpa/"">Instagram</a>","<a href=""https://www.google.com/maps?cid=653636336622171855"">Google</a>",Europe
2025,March,Cidershow,"Prague, Czechia",TBA,"<a href=""https://winepunk.cz/2024/02/21/cidershow-2024/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=11564378108586081647"">Google</a>",Europe
2025,April,Fiesta de la Manzana y la Sidra,"Valdivia, Chile",April 11-13,"<a href=""https://fiestadelasidra.cl/"">Website</a>",,"<a href=""https://www.instagram.com/fiestadelasidra/"">Instagram</a>","<a href=""https://www.google.com/maps?cid=5150947048137707893"">Google</a>",South America
2025,April,CiderWorld,"Frankfurt, Germany",April 24-26,"<a href=""https://cider-world.de/"">Website</a>","<a href=""https://www.facebook.com/CiderWorld"">Facebook</a>","<a href=""https://www.instagram.com/ciderworld/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13987143300674252792"">Google</a>",Europe
2025,April,Tag des Mostes,"Mostviertel, Austria",April 27,"<a href=""https://www.mostviertel.at/tag-des-mostes"">Website</a>",,,,Europe
2025,April,ME'LA BEVO,"Pavia, Lombardy",TBA,,,"<a href=""https://www.instagram.com/mela_bevo_radioaut/"">Instagram</a>","<a href=""https://www.google.com/maps?cid=14208773583246757336"">Google</a>",Europe
2025,April,British Cider Week,United Kingdom,TBA,"<a href=""https://britishciderweek.org.uk/"">Website</a>",,"<a href=""https://www.instagram.com/britishciderweek/"">Instagram</a>",,Europe
2025,April,Portland Spring Cider Fest,"Portland, Oregon",TBA,"<a href=""https://www.eventbrite.com/e/portland-spring-cider-fest-tickets-871489066257"">Website</a>",,,"<a href=""https://www.google.com/maps?cid=7944082580828237557"">Google</a>",North America
2025,April,Hood River Cider Fest,"Hood River, Oregon",TBA,"<a href=""https://www.hoodriverciderfest.com/"">Website</a>","<a href=""https://www.facebook.com/HoodRiverCiderFest"">Facebook</a>","<a href=""https://www.instagram.com/hrciderfest"">Instagram</a>","<a href=""https://maps.google.com/?cid=9503725815166420253"">Google</a>",North America
2025,April,Semana de la Floración del Manzano,Asturias,TBA,"<a href=""https://www.lacomarcadelasidra.com/floracion-del-manzano-asturias-2024/"">Website</a>",,,,Europe
2025,May,The Big Apple Blossomtime,"Much Marcle, Herefordshire",May 4-5,"<a href=""https://www.bigapple.org.uk/blossomtime/"">Website</a>","<a href=""https://www.facebook.com/bigappleherefordshire/"">Facebook</a>","<a href=""https://www.instagram.com/big_apple_herefordshire/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4235866248742612605"">Google</a>",Europe
2025,May,Batlow CiderFest,"Batlow, New South Wales",May 17,"<a href=""https://www.batlowciderfest.com.au/"">Website</a>","<a href=""https://www.facebook.com/CiderfestBatlow/"">Facebook</a>","<a href=""https://www.instagram.com/batlow_ciderfest/"">Instagram</a>",,Oceania
2025,May,Cambridge Beer Festival,"Cambridge, Cambridgeshire",May 19-24,"<a href=""https://www.cambridgebeerfestival.com/"">Website</a>","<a href=""https://www.facebook.com/CambridgeBeerFestival"">Facebook</a>","<a href=""https://www.instagram.com/cambeerfest/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8301350765610301315"">Google</a>",Europe
2025,May,Cursus Cider & Music Festival,"Minchington, Dorset",May 23-25,"<a href=""https://www.fuelledbycider.com/cursus"">Website</a>","<a href=""https://www.facebook.com/fuelledbycider/"">Facebook</a>","<a href=""https://www.instagram.com/fuelledbycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3328610603594706040"">Google</a>",Europe
2025,May,Oslo Cider and Fruit Wine Festival,"Oslo, Norway",May 24-25,"<a href=""https://www.hanen.no/tema/prosjekter-og-priser/oslo-sider-og-fruktvinfestival"">Website</a>",,,"<a href=""https://www.google.com/maps?cid=8567955431338425961"">Google</a>",Europe
2025,May,Royal Bath & West Show,"Shepton Mallet, Somerset",May 29-31,"<a href=""https://www.bathandwest.com/royal-bath-and-west-show"">Website</a>","<a href=""https://www.facebook.com/bathandwestshowground"">Facebook</a>","<a href=""https://www.instagram.com/royalbathandwest/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17476295610168358638"">Google</a>",Europe
2025,May,Japan Cider Cup,"Tokyo, Japan",May 31,"<a href=""https://www.japancidercup.com/"">Website</a>","<a href=""https://www.facebook.com/japancidercup"">Facebook</a>","<a href=""https://www.instagram.com/japancidercup/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17976906375208055809"">Google</a>",Asia
2025,May,La Semaine du Cidre,Québec,TBA,"<a href=""https://cidreduquebec.com/semaineducidre/"">Website</a>",,,,North America
