Category,Award,Medalist,Country,Entry,Points,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Acid Dominant,🏆 WINNER,Rudenstams Bär & Frukt,Sweden,Rudu Cider (22-17),92.7,https://rudenstam.se/,https://www.facebook.com/rudenstamsgardsbutik,https://www.instagram.com/rudenstams/,https://maps.google.com/?cid=9422723088440708292,https://www.tripadvisor.com/Attraction_Review-g226899-d4590738,https://untappd.com/w/rudenstams-bar-frukt/105066
Acid Dominant,🥇 GOLD,Kühbrein Most,Austria,KuhbreinMost Champagner Renette,91.9,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089
Acid Dominant,🥇 GOLD,Lofthus Ekspedisjon,Norway,Gaum,91.6,https://lofthusekspedisjon.no/,https://www.facebook.com/ekspedisjonlofthus/,https://www.instagram.com/lofthus_ekspedisjon/,https://maps.google.com/?cid=10108744972037075215,https://www.tripadvisor.com/Restaurant_Review-g1188596-d23540819,https://untappd.com/EkspedisjonenBryggeri
Acid Dominant,🥇 GOLD,Amble Gård,Norway,Aroma,90.9,https://amblegaard.no/,https://www.facebook.com/amblegaard/,https://www.instagram.com/amblegaard/,https://maps.google.com/?cid=6355481952602453534,,https://untappd.com/w/amble-gard/553298
Acid Dominant,🥇 GOLD,Fjordfolk Mikrobryggeri,Norway,Tallship Eple,90.4,https://www.fjordfolkbrygg.no/,https://www.facebook.com/fjordfolkbrygg/,https://www.instagram.com/tallship_cider/,https://maps.google.com/?cid=13187877260143472555,,https://untappd.com/Fjordfolk
Acid Dominant,🥇 GOLD,Skjolden Sideri,Norway,"Edens Hage, Aroma & Gravenstein",90,https://www.skjoldensideri.no/,,https://www.instagram.com/skjoldensideri/,https://maps.google.com/?cid=8996713303995231318,,
Acid Dominant,🥇 GOLD,Sandalen Gård,Norway,Experiment X1,89.9,https://sandalengard.no/,https://www.facebook.com/sandalengard,https://www.instagram.com/sandalengard/,https://maps.google.com/?cid=16897274204164201537,,https://untappd.com/SandalenGrd
Acid Dominant,🥇 GOLD,Bauman's Cider,United States,Mountain Rose SV,89.9,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
Acid Dominant,🥇 GOLD,Herbsts,Latvia,Dullais Dauka,89.8,https://herbsts.lv/,https://www.facebook.com/herbsts.sidrs/,https://www.instagram.com/herbsts.sidrs/,,,https://untappd.com/HERBSTS
Acid Dominant,🥈 SILVER,Harding Økologiske Sideri,Norway,Sprudlande Harding,88.8,https://www.hardingsideri.no/,https://www.facebook.com/HardingSideri,https://www.instagram.com/hardingsideri/,https://maps.google.com/?cid=12919577292319496906,,https://untappd.com/HardingSideri
Acid Dominant,🥈 SILVER,Rudenstams Bär & Frukt,Sweden,Rudu Cider (22-16),87.5,https://rudenstam.se/,https://www.facebook.com/rudenstamsgardsbutik,https://www.instagram.com/rudenstams/,https://maps.google.com/?cid=9422723088440708292,https://www.tripadvisor.com/Attraction_Review-g226899-d4590738,https://untappd.com/w/rudenstams-bar-frukt/105066
Acid Dominant,🥈 SILVER,Ulvik Frukt & Cideri,Norway,Stille Stunder,87.5,http://www.hakastadsider.no/,https://www.facebook.com/pages/Ulvik-Frukt-Cideri/191311970916027,,https://maps.google.com/?cid=8381380851022975775,,https://untappd.com/brewery/60198
Acid Dominant,🥈 SILVER,Lepola Drinks,Finland,Lepola Medium Dry Apple Cider,87.4,https://lepoladrinks.fi/,https://www.facebook.com/lepoladrinks/,https://www.instagram.com/lepola_drinks/,https://maps.google.com/?cid=10912023971262858580,,https://untappd.com/w/lepola/401095
Acid Dominant,🥈 SILVER,Hardangerbonden,Norway,Bonden,87.1,https://www.hardangerbonden.no/,https://www.facebook.com/Hardangerbonden/,https://www.instagram.com/hardangerbonden/,https://maps.google.com/?cid=13224629755021668502,,https://untappd.com/w/hardangerbonden/496030
Acid Dominant,🥈 SILVER,Kühbrein Most,Austria,KühbreinMost Ilzer Rosenapfel,87,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089
Acid Dominant,🥈 SILVER,Nude Cider,Finland,Nude Cider Strong,86.3,https://www.nudecider.fi/,,https://www.instagram.com/nude_cider/,https://maps.google.com/?cid=590124294754000819,,https://untappd.com/3spirit
Acid Dominant,🥈 SILVER,Cidérka,Czechia,Sojka,86.1,https://www.ciderka.cz/,https://www.facebook.com/ciderka.cz,https://www.instagram.com/ciderka.cz/,https://maps.google.com/?cid=4045068491840478725,,https://untappd.com/w/ciderka/463341
Acid Dominant,🥈 SILVER,Odelsgut,Norway,"Odelsgut ""O""",85.5,https://www.odelsgut.no/,https://www.facebook.com/odelsgut,https://www.instagram.com/odelsgut.no/,https://maps.google.com/?cid=17030345032725079712,https://www.tripadvisor.com/Attraction_Review-g226929-d25132141,https://untappd.com/w/odelsgut/542853
Acid Dominant,🥈 SILVER,Kvestad Sideri,Norway,Anno,85.3,https://www.kvestadsideri.no/,https://www.facebook.com/kvestadsideri/,https://www.instagram.com/kvestadsideri/,https://maps.google.com/?cid=16077910184660188927,,https://untappd.com/w/kvestad-sideri/457055
Acid Dominant,🥈 SILVER,Abuls,Latvia,Savvaļā,85.3,https://www.abuls.lv/,https://www.facebook.com/sidrsAbuls/,https://www.instagram.com/abuls_sidrs/,https://maps.google.com/?cid=12371654123090416644,,https://untappd.com/Abuls
Acid Dominant,🥈 SILVER,Skarbø Gard,Norway,Skarbø Sider Gravenstein,84.5,https://skarbogard.no/,https://www.facebook.com/skarbogard/,https://www.instagram.com/skarbogard/,https://maps.google.com/?cid=8459681002301363731,,https://untappd.com/w/skarbo-gard/467871
Acid Dominant,🥈 SILVER,Kodas,Estonia,Kodas Folkcider (Folgisiider),84.5,https://kodas.ee/,https://www.facebook.com/kodasbrand,https://www.instagram.com/kodasbrand/,https://maps.google.com/?cid=7164908846459777447,https://www.tripadvisor.com/Attraction_Review-g3296672-d25409720,https://untappd.com/Siidrikoda
Acid Dominant,🥈 SILVER,103 Cider,Sweden,Angold,84.3,https://www.hjulsjo103.se/,https://www.facebook.com/hjulsjo103,https://www.instagram.com/103cider/,https://maps.google.com/?cid=11484495605929490180,,https://untappd.com/w/hjulsjo-103/535334
Acid Dominant,🥈 SILVER,Paladeus,Italy,Paladeus 1979,83.9,http://www.paladeus.it/,https://www.facebook.com/profile.php?id=100067062071715,https://www.instagram.com/paladeus_cider/,https://maps.google.com/?cid=8605615739361573597,,https://untappd.com/w/paladeus/538622
Acid Dominant,🥈 SILVER,Amble Gård,Norway,Aroma and Discovery,83.7,https://amblegaard.no/,https://www.facebook.com/amblegaard/,https://www.instagram.com/amblegaard/,https://maps.google.com/?cid=6355481952602453534,,https://untappd.com/w/amble-gard/553298
Acid Dominant,🥈 SILVER,Odelsgut,Norway,"Odelsgut ""D""",83.3,https://www.odelsgut.no/,https://www.facebook.com/odelsgut,https://www.instagram.com/odelsgut.no/,https://maps.google.com/?cid=17030345032725079712,https://www.tripadvisor.com/Attraction_Review-g226929-d25132141,https://untappd.com/w/odelsgut/542853
Acid Dominant,🥈 SILVER,Hardangergutane,Norway,Solglimt,83.3,https://hardangergutane.no/,https://www.facebook.com/Hardangergutane/,https://www.instagram.com/hardangergutane/,https://maps.google.com/?cid=10940983309801750674,https://www.tripadvisor.com/Restaurant_Review-g2328851-d23478417,https://untappd.com/w/hardangergutane/429679
Acid Dominant,🥈 SILVER,Harding Økologiske Sideri,Norway,Raud Harding,82.9,https://www.hardingsideri.no/,https://www.facebook.com/HardingSideri,https://www.instagram.com/hardingsideri/,https://maps.google.com/?cid=12919577292319496906,,https://untappd.com/HardingSideri
Acid Dominant,🥈 SILVER,Hardangerbonden,Norway,Drengen,82.7,https://www.hardangerbonden.no/,https://www.facebook.com/Hardangerbonden/,https://www.instagram.com/hardangerbonden/,https://maps.google.com/?cid=13224629755021668502,,https://untappd.com/w/hardangerbonden/496030
Acid Dominant,🥈 SILVER,Aga Sideri,Norway,Bøddel,82.7,https://www.agasideri.no/,https://www.facebook.com/agasideri/,https://www.instagram.com/agasideri/,https://maps.google.com/?cid=13763004362793346500,https://www.tripadvisor.com/Attraction_Review-g2347995-d18177720,https://untappd.com/w/aga-sideri/405076
Acid Dominant,🥈 SILVER,Cidérka,Czechia,Cervenka,82.5,https://www.ciderka.cz/,https://www.facebook.com/ciderka.cz,https://www.instagram.com/ciderka.cz/,https://maps.google.com/?cid=4045068491840478725,,https://untappd.com/w/ciderka/463341
Acid Dominant,🥈 SILVER,Sandalen Gård,Norway,Skjoldmøy,82.5,https://sandalengard.no/,https://www.facebook.com/sandalengard,https://www.instagram.com/sandalengard/,https://maps.google.com/?cid=16897274204164201537,,https://untappd.com/SandalenGrd
Acid Dominant,🥈 SILVER,Ulvik Frukt & Cideri,Norway,Sider frå Hardanger - Gravenstein,82.2,http://www.hakastadsider.no/,https://www.facebook.com/pages/Ulvik-Frukt-Cideri/191311970916027,,https://maps.google.com/?cid=8381380851022975775,,https://untappd.com/brewery/60198
Acid Dominant,🥈 SILVER,Pfeiffer's Cider,Poland,Pfeiffer's Cider Still,81.8,https://pfeiffers.pl/,https://www.facebook.com/pfeifferscider,https://www.instagram.com/pfeiffers_cider,https://maps.google.com/?cid=1938111950265948010,,https://untappd.com/w/pfeiffer-s-cider/541464
Acid Dominant,🥈 SILVER,Lepola Drinks,Finland,Lepola Crabapple Cider,81.5,https://lepoladrinks.fi/,https://www.facebook.com/lepoladrinks/,https://www.instagram.com/lepola_drinks/,https://maps.google.com/?cid=10912023971262858580,,https://untappd.com/w/lepola/401095
Acid Dominant,🥈 SILVER,Sandalen Gård,Norway,StoreSterk,81,https://sandalengard.no/,https://www.facebook.com/sandalengard,https://www.instagram.com/sandalengard/,https://maps.google.com/?cid=16897274204164201537,,https://untappd.com/SandalenGrd
Acid Dominant,🥈 SILVER,Mr. Plūme,Latvia,Sweet,80.2,https://www.mrplume.lv/,https://www.facebook.com/mrplumesidrs,https://www.instagram.com/mrplume_sidrs/,https://maps.google.com/?cid=9319841841199759114,,https://untappd.com/w/mr-plume/332485
Acid Dominant,🥈 SILVER,Veinimäe,Estonia,Paradise Cider,80.1,https://veinimae.ee/,https://www.facebook.com/veinimae,https://www.instagram.com/veinimae/,https://maps.google.com/?cid=8886313303772913711,,https://untappd.com/w/veinimae-talu/457675
Acid Dominant,🥈 SILVER,Floribunda,Italy,Apfel Cider Alla Mela 2022,80,https://www.floribunda.it/,,https://www.instagram.com/floribundacider/,https://maps.google.com/?cid=14548393953505771229,,https://untappd.com/w/floribunda/333615
Acid Dominant,🥈 SILVER,Skjolden Sideri,Norway,"Edens Hage, Discovery",79.9,https://www.skjoldensideri.no/,,https://www.instagram.com/skjoldensideri/,https://maps.google.com/?cid=8996713303995231318,,
Acid Dominant,🥈 SILVER,Amble Gård,Norway,Discovery,79.7,https://amblegaard.no/,https://www.facebook.com/amblegaard/,https://www.instagram.com/amblegaard/,https://maps.google.com/?cid=6355481952602453534,,https://untappd.com/w/amble-gard/553298
Acid Dominant,🥉 BRONZE,OmCider,Norway,Skoiar,79.1,https://omcider.no/,https://www.facebook.com/OmCiderAS/,https://www.instagram.com/omcideras/,https://maps.google.com/?cid=1800091822223931241,,https://untappd.com/w/omcider/492586
Acid Dominant,🥉 BRONZE,Lofthus Ekspedisjon,Norway,Fjåg,78.1,https://lofthusekspedisjon.no/,https://www.facebook.com/ekspedisjonlofthus/,https://www.instagram.com/lofthus_ekspedisjon/,https://maps.google.com/?cid=10108744972037075215,https://www.tripadvisor.com/Restaurant_Review-g1188596-d23540819,https://untappd.com/EkspedisjonenBryggeri
Acid Dominant,🥉 BRONZE,Nude Cider,Finland,Nude Cider Classic,77.8,https://www.nudecider.fi/,,https://www.instagram.com/nude_cider/,https://maps.google.com/?cid=590124294754000819,,https://untappd.com/3spirit
Acid Dominant,🥉 BRONZE,Klövsjö Gårdsbryggeri,Sweden,KGBs Äppel Cider,77.5,https://www.kgb-bryggeri.se/,,,https://maps.google.com/?cid=2229089414135910638,,https://untappd.com/w/kl-vsj-g-rdsbryggeri/20072
Acid Dominant,🥉 BRONZE,Sidra El Gaitero,Spain,Sidra El Gaitero Natural,77.4,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266
Acid Dominant,🥉 BRONZE,Pomologik,Sweden,Cidre Nouveau,77.3,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/pomologik.johan/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe
Acid Dominant,🥉 BRONZE,Jēpis Bioloģisks Sidrs,Latvia,Organic Cider Jepis,77.1,https://www.jepis.lv/,,,https://maps.google.com/?cid=4389823321199068027,,https://untappd.com/w/sia-pienjani/549019/beer
Acid Dominant,🥉 BRONZE,Ezera Sidrs,Latvia,Ezera Brut,76.6,http://www.ezerasidrs.lv/,https://www.facebook.com/ezerasidrs/,https://www.instagram.com/ezera_sidrs,,,https://untappd.com/w/ezera-sidrs/471303
Acid Dominant,🥉 BRONZE,Tingvoll Sider,Norway,Strupstadsider-Villgjaera,76.5,https://www.tingvollsider.no/,https://www.facebook.com/Strupstadgarden/,https://www.instagram.com/strupstadgarden/,https://maps.google.com/?cid=10928261412136517481,,https://untappd.com/w/strupstad-tingvoll-sider/534933
Acid Dominant,🥉 BRONZE,Tālava,Latvia,Tālava Medium Dry,76.3,https://www.talava.lv/,https://www.facebook.com/talavassidrs,https://www.instagram.com/talavas_sidrs/,https://maps.google.com/?cid=16414834196985036378,,https://untappd.com/TalavasSidrs
Acid Dominant,🥉 BRONZE,Sajder Insajder,Serbia,Insajder,76.3,https://www.sajderinsajder.com/,https://www.facebook.com/sajderinsajder,https://www.instagram.com/sajderinsajder/,,,
