Medalist,Country,🏆 Winner,🥇 Gold,🥈 Silver,🥉 Bronze,Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Zapiain,Spain,2,0,0,0,2,https://zapiain.eus/,https://www.facebook.com/zapiainsagardoa,https://www.instagram.com/zapiainsagardoa/,https://maps.google.com/?cid=16982677267877188990,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229,https://untappd.com/ZapiainSagardoa
Fjordfolk Mikrobryggeri,Norway,1,1,1,0,3,https://www.fjordfolkbrygg.no/,https://www.facebook.com/fjordfolkbrygg/,https://www.instagram.com/tallship_cider/,https://maps.google.com/?cid=13187877260143472555,,https://untappd.com/Fjordfolk
Jaanihanso,Estonia,1,1,0,0,2,http://www.jaanihanso.ee/,https://www.facebook.com/Jaanihanso,https://www.instagram.com/jaanihanso/,https://maps.google.com/?cid=7606641832512391290,https://www.tripadvisor.com/Attraction_Review-g274956-d12851482,https://untappd.com/Jaanihanso
Abavas,Latvia,1,0,2,0,3,https://www.abavas.lv/,https://www.facebook.com/abavas.vinadaritava/,https://www.instagram.com/abavas_vini/,https://maps.google.com/?cid=11387034393378720853,https://www.tripadvisor.com/Attraction_Review-g608944-d23945082,https://untappd.com/w/sia-abavas-da-rzi/153183
Aga Sideri,Norway,1,0,2,0,3,https://www.agasideri.no/,https://www.facebook.com/agasideri/,https://www.instagram.com/agasideri/,https://maps.google.com/?cid=13763004362793346500,https://www.tripadvisor.com/Attraction_Review-g2347995-d18177720,https://untappd.com/w/aga-sideri/405076
Lepola Drinks,Finland,1,0,2,0,3,https://lepoladrinks.fi/,https://www.facebook.com/lepoladrinks/,https://www.instagram.com/lepola_drinks/,https://maps.google.com/?cid=10912023971262858580,,https://untappd.com/w/lepola/401095
Mr. Plūme,Latvia,1,0,2,0,3,https://www.mrplume.lv/,https://www.facebook.com/mrplumesidrs,https://www.instagram.com/mrplume_sidrs/,https://maps.google.com/?cid=9319841841199759114,,https://untappd.com/w/mr-plume/332485
Rudenstams Bär & Frukt,Sweden,1,0,2,0,3,https://rudenstam.se/,https://www.facebook.com/rudenstamsgardsbutik,https://www.instagram.com/rudenstams/,https://maps.google.com/?cid=9422723088440708292,https://www.tripadvisor.com/Attraction_Review-g226899-d4590738,https://untappd.com/w/rudenstams-bar-frukt/105066
Store Naa Siderkompani,Norway,1,0,2,0,3,https://www.storenaasiderkompani.com/,https://www.facebook.com/Storenaasiderkompani/,https://www.instagram.com/storenaasiderkompani/,https://maps.google.com/?cid=15254622508133860404,,https://untappd.com/w/store-naa-siderkompani/442862
Böhm Ciderwerkstatt,Germany,1,0,1,1,3,https://www.boehm-cider.de/,https://www.facebook.com/ciderwerkstatt/,https://www.instagram.com/boehm_ciderwerkstatt,https://maps.google.com/?cid=4561270118581123333,,
Skjolden Sideri,Norway,0,2,1,0,3,https://www.skjoldensideri.no/,,https://www.instagram.com/skjoldensideri/,https://maps.google.com/?cid=8996713303995231318,,
Hardanger Saft og Siderfabrikk,Norway,0,2,0,1,3,https://hardangersider.no/,https://www.facebook.com/HardangerSaftogSiderfabrikk/,https://www.instagram.com/hardangersaftogsiderfabrikk/,https://maps.google.com/?cid=12869878933054305699,https://www.tripadvisor.com/Attraction_Review-g7159542-d4893441,https://untappd.com/w/hardanger-saft-og-siderfabrikk/42913
Ainoa Winery,Finland,0,1,2,0,3,https://ainoawinery.com/,https://www.facebook.com/ainoawinery/,https://www.instagram.com/ainoawinery/,https://maps.google.com/?cid=9038287289493115977,,https://untappd.com/w/ainoa/474000
Amble Gård,Norway,0,1,2,0,3,https://amblegaard.no/,https://www.facebook.com/amblegaard/,https://www.instagram.com/amblegaard/,https://maps.google.com/?cid=6355481952602453534,,https://untappd.com/w/amble-gard/553298
Hardangerbonden,Norway,0,1,2,0,3,https://www.hardangerbonden.no/,https://www.facebook.com/Hardangerbonden/,https://www.instagram.com/hardangerbonden/,https://maps.google.com/?cid=13224629755021668502,,https://untappd.com/w/hardangerbonden/496030
Sandalen Gård,Norway,0,1,2,0,3,https://sandalengard.no/,https://www.facebook.com/sandalengard,https://www.instagram.com/sandalengard/,https://maps.google.com/?cid=16897274204164201537,,https://untappd.com/SandalenGrd
Ciderhuset Balholm,Norway,0,1,1,1,3,https://www.ciderhuset.no/,https://www.facebook.com/ciderhuset,https://www.instagram.com/ciderhuset/,https://maps.google.com/?cid=12671775028436675444,https://www.tripadvisor.com/Restaurant_Review-g616211-d1991697,https://untappd.com/w/ciderhuset-balholm/64016
Herbsts,Latvia,0,1,1,0,2,https://herbsts.lv/,https://www.facebook.com/herbsts.sidrs/,https://www.instagram.com/herbsts.sidrs/,,,https://untappd.com/HERBSTS
Kühbrein Most,Austria,0,1,1,0,2,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089
Paladeus,Italy,0,1,1,0,2,http://www.paladeus.it/,https://www.facebook.com/profile.php?id=100067062071715,https://www.instagram.com/paladeus_cider/,https://maps.google.com/?cid=8605615739361573597,,https://untappd.com/w/paladeus/538622
Skarbø Gard,Norway,0,1,1,0,2,https://skarbogard.no/,https://www.facebook.com/skarbogard/,https://www.instagram.com/skarbogard/,https://maps.google.com/?cid=8459681002301363731,,https://untappd.com/w/skarbo-gard/467871
Tori Siidritalu,Estonia,0,1,1,0,2,https://siidritalu.ee/,https://www.facebook.com/Torisiidritalu,https://www.instagram.com/tori_siidritalu/,https://maps.google.com/?cid=12573071235401057897,https://www.tripadvisor.com/Attraction_Review-g3296605-d9835124,https://untappd.com/w/tori-joesuu-siidri-ja-veinitalu/256691
Veinimäe,Estonia,0,1,1,0,2,https://veinimae.ee/,https://www.facebook.com/veinimae,https://www.instagram.com/veinimae/,https://maps.google.com/?cid=8886313303772913711,,https://untappd.com/w/veinimae-talu/457675
Lofthus Ekspedisjon,Norway,0,1,0,2,3,https://lofthusekspedisjon.no/,https://www.facebook.com/ekspedisjonlofthus/,https://www.instagram.com/lofthus_ekspedisjon/,https://maps.google.com/?cid=10108744972037075215,https://www.tripadvisor.com/Restaurant_Review-g1188596-d23540819,https://untappd.com/EkspedisjonenBryggeri
Klövsjö Gårdsbryggeri,Sweden,0,1,0,1,2,https://www.kgb-bryggeri.se/,,,https://maps.google.com/?cid=2229089414135910638,,https://untappd.com/w/kl-vsj-g-rdsbryggeri/20072
Turkalnes Muižā,Latvia,0,1,0,1,2,https://www.turkalnesmuiza.lv/,https://www.facebook.com/TurkalnesMuiza/,https://www.instagram.com/turkalnesmuiza/,https://maps.google.com/?cid=14148682490481690589,,https://untappd.com/w/turkalnes-muiza/428003
Bauman's Cider,United States,0,1,0,0,1,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
Bute Cider,Sweden,0,1,0,0,1,http://www.butecider.se/,https://www.facebook.com/profile.php?id=100063642933369,https://www.instagram.com/butecider,,,https://untappd.com/w/bute-cider/514579
Hebnes Vingard,Norway,0,1,0,0,1,https://www.hebnesvingard.no/,https://www.facebook.com/Hebnesvingard/,https://www.instagram.com/hebnes_vingard/,https://maps.google.com/?cid=7744356397441903311,https://www.tripadvisor.com/Attraction_Review-g15243995-d24154463,
Isastegi,Spain,0,1,0,0,1,https://www.isastegi.com/,https://www.facebook.com/isastegi.sagardotegia,https://www.instagram.com/isastegi/,https://maps.google.com/?cid=3927960308349571227,https://www.tripadvisor.com/Restaurant_Review-g1064362-d5772954,https://untappd.com/brewery/6054
Sodo Sidrinė,Lithuania,0,1,0,0,1,,https://www.facebook.com/klumpessodai/,https://www.instagram.com/sodo_cider/,,,
The Drunken Pharmacist,Portugal,0,1,0,0,1,,https://www.facebook.com/profile.php?id=100093795090507,https://www.instagram.com/thedrunkenpharmacist_/,,,https://untappd.com/w/the-drunken-pharmacist/543354
Abuls,Latvia,0,0,3,0,3,https://www.abuls.lv/,https://www.facebook.com/sidrsAbuls/,https://www.instagram.com/abuls_sidrs/,https://maps.google.com/?cid=12371654123090416644,,https://untappd.com/Abuls
Harding Økologiske Sideri,Norway,0,0,3,0,3,https://www.hardingsideri.no/,https://www.facebook.com/HardingSideri,https://www.instagram.com/hardingsideri/,https://maps.google.com/?cid=12919577292319496906,,https://untappd.com/HardingSideri
Kvestad Sideri,Norway,0,0,3,0,3,https://www.kvestadsideri.no/,https://www.facebook.com/kvestadsideri/,https://www.instagram.com/kvestadsideri/,https://maps.google.com/?cid=16077910184660188927,,https://untappd.com/w/kvestad-sideri/457055
Ulvik Frukt & Cideri,Norway,0,0,3,0,3,http://www.hakastadsider.no/,https://www.facebook.com/pages/Ulvik-Frukt-Cideri/191311970916027,,https://maps.google.com/?cid=8381380851022975775,,https://untappd.com/brewery/60198
Cidérka,Czechia,0,0,2,1,3,https://www.ciderka.cz/,https://www.facebook.com/ciderka.cz,https://www.instagram.com/ciderka.cz/,https://maps.google.com/?cid=4045068491840478725,,https://untappd.com/w/ciderka/463341
Cydr Chyliczki,Poland,0,0,2,1,3,https://cydrchyliczki.pl/,https://www.facebook.com/cydrchyliczki/,https://www.instagram.com/cydrchyliczki/,,,https://untappd.com/w/cydr-chyliczki/271740
Floribunda,Italy,0,0,2,1,3,https://www.floribunda.it/,,https://www.instagram.com/floribundacider/,https://maps.google.com/?cid=14548393953505771229,,https://untappd.com/w/floribunda/333615
Het Hamerstuk,Netherlands,0,0,2,1,3,https://hethamerstuk.nl/,https://www.facebook.com/HetHamerstuk/,https://www.instagram.com/hethamerstuk,https://maps.google.com/?cid=11584128023568770529,,https://untappd.com/Hamerstuk
Pirula,Finland,0,0,2,1,3,https://www.pirula.fi/,https://www.facebook.com/pirula.fi/,https://www.instagram.com/pirulantila,https://maps.google.com/?cid=1283745269437501478,,https://untappd.com/w/pirula/442289
Pomologik,Sweden,0,0,2,1,3,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/Pomologik/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe
Andersen Winery,Denmark,0,0,2,0,2,https://andersenwinery.dk/,https://www.facebook.com/andersenwinery,https://www.instagram.com/andersenwinery/,https://maps.google.com/?cid=1091487036715359602,https://www.tripadvisor.com/Attraction_Review-g1699896-d20578301,https://untappd.com/w/andersen-winery/508619
Balti Sodai,Lithuania,0,0,2,0,2,,,,,,
Bugarden,Norway,0,0,2,0,2,https://www.bugarden.no/,,,https://maps.google.com/?cid=18164183612083637326,,
Domaine des 5 Autels,France,0,0,2,0,2,https://cinqautels.com/,https://www.facebook.com/5Autels/,https://www.instagram.com/5autels/,https://maps.google.com/?cid=1561300018564057036,https://www.tripadvisor.com/Hotel_Review-g1385431-d1308959,https://untappd.com/w/domaine-des-cinqs-autels/519014
Hardangergutane,Norway,0,0,2,0,2,https://hardangergutane.no/,https://www.facebook.com/Hardangergutane/,https://www.instagram.com/hardangergutane/,https://maps.google.com/?cid=10940983309801750674,https://www.tripadvisor.com/Restaurant_Review-g2328851-d23478417,https://untappd.com/w/hardangergutane/429679
Odelsgut,Norway,0,0,2,0,2,https://www.odelsgut.no/,https://www.facebook.com/odelsgut,https://www.instagram.com/odelsgut.no/,https://maps.google.com/?cid=17030345032725079712,https://www.tripadvisor.com/Attraction_Review-g226929-d25132141,https://untappd.com/w/odelsgut/542853
Petritegi,Spain,0,0,2,0,2,https://www.petritegi.com/,https://www.facebook.com/Petritegi/,https://www.instagram.com/petritegi,https://maps.google.com/?cid=16425101977693923721,https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030,https://untappd.com/brewery/51639
Ferme du Theil,France,0,0,1,2,3,https://www.fermedutheil.com/,https://www.facebook.com/fermedutheil,https://www.instagram.com/fermedutheil/,https://maps.google.com/?cid=11988918544771126641,,https://untappd.com/w/gaec-rouland-ferme-du-theli/138309
Köpings Musteri,Sweden,0,0,1,2,3,https://kopingsmusteri.se/,https://www.facebook.com/kopingsmusteri,https://www.instagram.com/kopingsmusteri/,https://maps.google.com/?cid=5623943899960625759,https://www.tripadvisor.com/Attraction_Review-g679646-d12595815,https://untappd.com/KopingsMusteri
Mūrbūdu,Latvia,0,0,1,2,3,https://www.nenormalssidrs.lv/,https://www.facebook.com/murbudu/,https://www.instagram.com/murbudu_sidrs/,https://maps.google.com/?cid=15847061061259139900,,https://untappd.com/MurbuduSidraDaritava
Brinkhall Sparkling,Finland,0,0,1,1,2,https://bsp.fi/,https://www.facebook.com/brinkhalls,https://www.instagram.com/brinkhallsparkling/,https://maps.google.com/?cid=10856204128601037922,,https://untappd.com/BrinkhallSparkling
Cydr Dwaj Bracia,Poland,0,0,1,1,2,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234
Cydrownia Filomelos,Poland,0,0,1,1,2,https://www.filomelos.pl/,https://www.facebook.com/cydrfilomelos/,,https://maps.google.com/?cid=16799127381008481476,,https://untappd.com/Filomelos
Eiane Gard,Norway,0,0,1,1,2,https://www.eianegard.no/,https://www.facebook.com/eianegard,https://www.instagram.com/eianegard/,https://maps.google.com/?cid=13089067596466030259,,https://untappd.com/eianegard
Lauskis,Latvia,0,0,1,1,2,http://www.lauskissidrs.lv/,https://www.facebook.com/vinadaritavalauskis,,https://maps.google.com/?cid=12945376031877773481,,https://untappd.com/w/vina-daritava-lauskis/463428
