Category,Award,Medalist,Country,Entry,Points,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Still,🥇 GOLD,Kühbrein,Austria,KühbreinMost Maschanzker,120,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089
Still,🥇 GOLD,Rote Pumpe,Germany,Rouge 2022,116.5,https://rote-pumpe.de/,https://www.facebook.com/RotePumpeStrausswirtschaft/,https://www.instagram.com/rotepumpe/,https://maps.google.com/?cid=11686005875191354066,https://www.tripadvisor.com/Restaurant_Review-g198575-d12423100,https://untappd.com/w/rote-pumpe-kelterei-gbr/332443
Still,🥇 GOLD,Weidmann & Groh,Germany,Boskop,116,https://weidmann-groh.de/,https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327,,https://maps.google.com/?cid=6569120976887073603,,https://untappd.com/w/weidmann-groh/73065
Still,🥇 GOLD,Kottmann's Brennerei,Germany,Wiesenobst Cider Börtlinger Weinapfel,111.5,https://hirsch-badditzenbach.de/,https://www.facebook.com/profile.php?id=100054455442443,,https://maps.google.com/?cid=9553558957450184374,https://www.tripadvisor.com/Restaurant_Review-g1053109-d4953508,
Still,🥇 GOLD,Müllers Mostmanufaktur,Germany,Apfel Quitte Speierling,111,https://www.most-manufaktur.com/,,,https://maps.google.com/?cid=902565048991263488,,https://untappd.com/w/muellers-mostmanufaktur/504912
Still,🥇 GOLD,Obstbau Ciampa,Germany,Spätlese vom Altrain,110.5,,,https://www.instagram.com/obstbau_ciampa/,https://maps.google.com/?cid=10947398667492665042,,
Still,🥇 GOLD,Jörg Geiger,Germany,HolzApfel,110,https://www.manufaktur-joerg-geiger.de/,https://www.facebook.com/manufakturjoerggeiger/,https://www.instagram.com/manufakturjoerggeiger/,https://maps.google.com/?cid=908271853334307402,,https://untappd.com/w/manufaktur-jorg-geiger/270857
Still,🥇 GOLD,Kottmann's Brennerei,Germany,Wiesenobst Cider Luikenapfel,109.5,https://hirsch-badditzenbach.de/,https://www.facebook.com/profile.php?id=100054455442443,,https://maps.google.com/?cid=9553558957450184374,https://www.tripadvisor.com/Restaurant_Review-g1053109-d4953508,
Still,🥇 GOLD,Isastegi,Spain,Sidra Natural Isastegi D.O. Premium,109,https://www.isastegi.com/,https://www.facebook.com/isastegi.sagardotegia,https://www.instagram.com/isastegi/,https://maps.google.com/?cid=3927960308349571227,https://www.tripadvisor.com/Restaurant_Review-g1064362-d5772954,https://untappd.com/brewery/6054
Still,🥇 GOLD,Zapiain,Spain,Euskal Sagardoa Premium 2022,108.5,https://zapiain.eus/,https://www.facebook.com/zapiainsagardoa,https://www.instagram.com/zapiainsagardoa/,https://maps.google.com/?cid=16982677267877188990,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229,https://untappd.com/ZapiainSagardoa
