Medalist,Country,🥇 Gold,🥈 Silver,🥉 Honor,Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Valle Ballina y Fernandez,Spain,2,4,3,9,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266
Die Mostbarone,Austria,2,2,2,6,https://www.seppelbauer.at/,https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272,https://www.instagram.com/seppelbauer/,,,https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349
Sidra Somarroza,Spain,2,2,1,5,https://sidrasomarroza.es/,https://www.facebook.com/sidrasomarroza,https://www.instagram.com/sidrasomarroza/,https://maps.google.com/?cid=7109045394192195825,,https://untappd.com/w/somarroza/147830
Stahringer Streuobstmosterei,Germany,2,1,0,3,https://streuobstmosterei.de/,,,https://maps.google.com/?cid=13148909559243530151,,https://untappd.com/w/stahringer-streuobstmosterei/467525
Cider Sekt,Czechia,2,0,0,2,https://www.cidersekt.cz/,https://www.facebook.com/cidertalk/,https://www.instagram.com/cidertalk/,https://maps.google.com/?cid=1744130511388226457,,https://untappd.com/w/provoco/396367
Kottmann's Brennerei,Germany,2,0,0,2,https://hirsch-badditzenbach.de/,https://www.facebook.com/profile.php?id=100054455442443,,https://maps.google.com/?cid=9553558957450184374,https://www.tripadvisor.com/Restaurant_Review-g1053109-d4953508,
Rosecker Streuobst,Germany,2,0,0,2,https://rosecker.de/,https://www.facebook.com/profile.php?id=100063624007399,https://www.instagram.com/rosecker_streuobst/,,,https://untappd.com/w/rosecker/476876
Cidrerie Milton,Canada,1,2,2,5,https://cidreriemilton.com/,https://facebook.com/cidreriemilton,https://instagram.com/cidreriemilton,https://maps.google.com/?cid=9570102942420505240,https://www.tripadvisor.com/Attraction_Review-g11547718-d10105070,https://untappd.com/CidrerieMilton
Kühbrein,Austria,1,2,1,4,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089
Pomolo Obstweine,Germany,1,2,0,3,https://pomolo.de/,,,https://maps.google.com/?cid=6027824200436794210,,https://untappd.com/w/pomolo-obstweine/547099
Weidmann & Groh,Germany,1,1,1,3,https://weidmann-groh.de/,https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327,,https://maps.google.com/?cid=6569120976887073603,,https://untappd.com/w/weidmann-groh/73065
Natur und Mohr,Germany,1,1,0,2,https://naturundmohr.de/,https://www.facebook.com/naturundmohrshop/,https://www.instagram.com/naturundmohr/,https://maps.google.com/?cid=1442772049758910733,,
Obstparadies Staufen,Germany,1,1,0,2,https://obstparadies-staufen.de/,https://www.facebook.com/obstparadies.staufen/,https://www.instagram.com/obstparadies.staufen/,https://maps.google.com/?cid=5484244511976453684,,
Rote Pumpe,Germany,1,1,0,2,https://rote-pumpe.de/,https://www.facebook.com/RotePumpeStrausswirtschaft/,https://www.instagram.com/rotepumpe/,https://maps.google.com/?cid=11686005875191354066,https://www.tripadvisor.com/Restaurant_Review-g198575-d12423100,https://untappd.com/w/rote-pumpe-kelterei-gbr/332443
Nerø Frukt og Sider,Norway,1,1,0,2,https://www.nerofrukt.no/,https://www.facebook.com/people/NeR%C3%B8-Frukt-og-Sider/100070115946607/,https://www.instagram.com/nerofrukt/,https://maps.google.com/?cid=2060180241711172985,,https://untappd.com/w/nero-frukt-og-sider/467847
Odelsgut,Norway,1,1,0,2,https://www.odelsgut.no/,https://www.facebook.com/odelsgut,https://www.instagram.com/odelsgut.no/,https://maps.google.com/?cid=17030345032725079712,https://www.tripadvisor.com/Attraction_Review-g226929-d25132141,https://untappd.com/w/odelsgut/542853
Zapiain,Spain,1,1,0,2,https://zapiain.eus/,https://www.facebook.com/zapiainsagardoa,https://www.instagram.com/zapiainsagardoa/,https://maps.google.com/?cid=16982677267877188990,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229,https://untappd.com/ZapiainSagardoa
Cold Hand Winery,Denmark,1,0,2,3,https://www.coldhandwinery.dk/,https://www.facebook.com/Cold-Hand-Winery-280396455326889/,https://www.instagram.com/cold_hand_winery/,https://maps.google.com/?cid=8847115036999398343,https://www.tripadvisor.com/Attraction_Review-g227594-d11638093,https://untappd.com/w/cold-hand-winery/101622
Cidrerie du Pays d'Auray,France,1,0,2,3,,,,https://maps.google.com/?cid=9205038680508918633,,https://untappd.com/w/cidrerie-du-pays-d-auray-frana-ois-maho/423523
Kelterei Possmann,Germany,1,0,2,3,https://www.possmann.de/,https://www.facebook.com/possmann.apfelwein/,https://www.instagram.com/possmann_apfelwein/,https://maps.google.com/?cid=7171120638194976908,https://www.tripadvisor.com/Attraction_Review-g187337-d591782,https://untappd.com/w/kelterei-possmann/6861
Moststub'n Binderberg,Austria,1,0,1,2,https://binderberg.at/,,,https://maps.google.com/?cid=17913530165367274614,https://www.tripadvisor.com/Restaurant_Review-g1912628-d9610169,
Ebbelboi,Germany,1,0,1,2,https://www.ebbelboi.com/,,https://www.instagram.com/ebbelboi.de/,https://maps.google.com/?cid=12712207984342946205,,https://untappd.com/w/ebbelboi/540160
Egge Gård,Norway,1,0,1,2,https://egge.as/,https://www.facebook.com/eggegaard,https://www.instagram.com/eggegaard/,https://maps.google.com/?cid=12102226315088356258,https://www.tripadvisor.com/Attraction_Review-g2416366-d3474312,https://untappd.com/brewery/41885
Quinta da Moscadinha,Portugal,1,0,1,2,https://quintadamoscadinha.com/,https://www.facebook.com/quintadamoscadinha,https://www.instagram.com/moscadinha,https://maps.google.com/?cid=1405442820439409429,https://www.tripadvisor.com/Hotel_Review-g1190962-d23314913,https://untappd.com/w/quinta-da-moscadinha/538582
Sommerbauer Edelmost,Austria,1,0,0,1,https://www.sommerbauer-most.at/,https://www.facebook.com/sommerbaueredelmost/,https://www.instagram.com/sommerbaueredelmost/,https://maps.google.com/?cid=12366001650524549047,,
Cidrerie Michel Jodoin,Canada,1,0,0,1,https://www.micheljodoin.ca/,https://www.facebook.com/CidrerieMichelJodoin/,https://www.instagram.com/cidreriemicheljodoin/,https://maps.google.com/?cid=12740295882599829633,https://www.tripadvisor.com/Attraction_Review-g1893510-d2227956,https://untappd.com/w/cidrerie-michel-jodoin/18179
EBD Group,Estonia,1,0,0,1,https://www.atla-naps.ee/,https://www.facebook.com/estoniabd,,https://maps.google.com/?cid=880060392694261182,,
Jörg Geiger,Germany,1,0,0,1,https://www.manufaktur-joerg-geiger.de/,https://www.facebook.com/manufakturjoerggeiger/,https://www.instagram.com/manufakturjoerggeiger/,https://maps.google.com/?cid=908271853334307402,,https://untappd.com/w/manufaktur-jorg-geiger/270857
Müllers Mostmanufaktur,Germany,1,0,0,1,https://www.most-manufaktur.com/,,,https://maps.google.com/?cid=902565048991263488,,https://untappd.com/w/muellers-mostmanufaktur/504912
Obstbau Ciampa,Germany,1,0,0,1,,,https://www.instagram.com/obstbau_ciampa/,https://maps.google.com/?cid=10947398667492665042,,
VOG Products,Italy,1,0,0,1,https://www.alplsparkling.com/,,https://www.instagram.com/alpl_sparkling/,https://maps.google.com/?cid=18244086340000282331,,
Sabiles Sidrs,Latvia,1,0,0,1,https://www.gardeners.lv/,https://www.facebook.com/sabiles.sidrs/,https://www.instagram.com/sabiles.sidrs/,https://maps.google.com/?cid=2950487918260459648,https://www.tripadvisor.com/Restaurant_Review-g2049841-d14914753,https://untappd.com/w/sabiles-sidrs/201189
Mistérios da Quinta,Portugal,1,0,0,1,,,https://www.instagram.com/sidrariaprazeres/,https://maps.google.com/?cid=17308535962264911617,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615
Isastegi,Spain,1,0,0,1,https://www.isastegi.com/,https://www.facebook.com/isastegi.sagardotegia,https://www.instagram.com/isastegi/,https://maps.google.com/?cid=3927960308349571227,https://www.tripadvisor.com/Restaurant_Review-g1064362-d5772954,https://untappd.com/brewery/6054
Guillaume & Co,Switzerland,1,0,0,1,https://www.guillaumecider.ch/,,https://www.instagram.com/guillaumecider/,https://maps.google.com/?cid=1089223546118021147,,
Pomologik,Sweden,0,6,4,10,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/Pomologik/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe
Ciderhuset Balholm,Norway,0,3,0,3,https://www.ciderhuset.no/,https://www.facebook.com/ciderhuset,https://www.instagram.com/ciderhuset/,https://maps.google.com/?cid=12671775028436675444,https://www.tripadvisor.com/Restaurant_Review-g616211-d1991697,https://untappd.com/w/ciderhuset-balholm/64016
