Year,Style,Medalist,Entry,Region,Award,🏆 Platinum,🥇🥇 Double Gold,🥇 Gold,🥈 Silver,🥉 Bronze,Judges' Pick,Total,First,Last,Years,City,Region,Country,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2017,Heritage,Cidrerie Michel Jodoin,Cidre Mousseux Rosé,Quebec,🥇🥇 Double Gold,0,4,2,3,0,6,15,2017,2024,4,Rougemont,Quebec,Canada,Active,https://www.micheljodoin.ca/,https://www.facebook.com/CidrerieMichelJodoin/,https://www.instagram.com/cidreriemicheljodoin/,https://maps.google.com/?cid=12740295882599829633,https://www.yelp.com/biz/cidrerie-michel-jodoin-rougemont,https://www.tripadvisor.com/Attraction_Review-g1893510-d2227956,https://untappd.com/w/cidrerie-michel-jodoin/18179
2017,Heritage,Dragon's Head Cider,Traditional Cider,Washington,🥇 Gold,1,2,4,2,1,2,12,2017,2022,4,Vashon,Washington,USA,Active,http://www.dragonsheadcider.com/,,https://www.instagram.com/dragonsheadcider/,https://maps.google.com/?cid=2526574753760904159,https://www.yelp.com/biz/dragons-head-cider-vashon,,https://untappd.com/w/dragons-head-cider/36168
2017,Heritage,Snowdrift Cider Co.,Cliffbreaks Blend,Washington,🥈 Silver,0,0,0,1,1,1,3,2017,2017,1,East Wenatchee,Washington,USA,Active,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545
2017,Heritage,Liberty Ciderworks,McIntosh SV,Washington,🥉 Bronze,0,2,1,2,1,6,12,2017,2022,4,Spokane,Washington,USA,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336
2017,Heritage,Snowdrift Cider Co.,Red,Washington,Judges' Pick,0,0,0,1,1,1,3,2017,2017,1,East Wenatchee,Washington,USA,Active,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545
2017,Heritage,Cider Riot!,1763 Revolutionary West Country Cider,Oregon,Judges' Pick,0,0,0,1,0,1,2,2017,2019,2,Portland,Oregon,USA,Inactive,,,,,,,
2017,Heritage,Salt Spring Wild Cider,Semi-Dry,British Columbia,Judges' Pick,0,0,0,0,0,2,2,2017,2017,1,Salt Spring Island,British Columbia,Canada,Active,https://saltspringwildcider.com/,https://www.facebook.com/saltspringwildcider/,https://www.instagram.com/saltspringwildcider/,https://maps.google.com/?cid=1013951137212036854,https://www.yelp.com/biz/salt-spring-wild-cider-salt-spring-island,https://www.tripadvisor.com/Attraction_Review-g154941-d10129954,https://untappd.com/w/salt-spring-wild/218214
2017,Modern,C Squared Ciders,Alma,Colorado,🥇🥇 Double Gold,0,1,0,0,0,0,1,2017,2017,1,Denver,Colorado,USA,Inactive,,,,,,,
2017,Modern,Gowan's Heirloom Ciders,Estate 1876 Heirloom Cider,California,🥇 Gold,1,1,2,1,1,2,8,2017,2020,3,Philo,California,USA,Active,http://www.gowansheirloomcider.com/,https://www.facebook.com/gowanscider/,https://www.instagram.com/gowanscider/,https://maps.google.com/?cid=14585432541984297394,https://www.yelp.com/biz/gowan-s-cider-philo,https://www.tripadvisor.com/Attraction_Review-g32878-d23631277,https://untappd.com/w/gowans-hard-cider/200818
2017,Modern,Foxcraft Hard Cider,Apple Blossom,California,🥈 Silver,0,0,0,1,0,0,1,2017,2017,1,Santa Rosa,California,USA,Inactive,,,,,,,
2017,Modern,2 Towns Ciderhouse,OutCider,Oregon,🥉 Bronze,6,11,6,5,4,9,41,2017,2024,6,Corvallis,Oregon,USA,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
2017,Modern,Reverend Nat's Hard Cider,Revival Hard Apple,Oregon,Judges' Pick,0,0,0,0,0,4,4,2017,2017,1,Portland,Oregon,USA,Inactive,,,,,,,
2017,Modern,March First Brewing,Traditional Cider,Ohio,Judges' Pick,0,0,0,0,0,1,1,2017,2017,1,Cincinnati,Ohio,USA,Active,https://www.marchfirstbrewing.com/,https://www.facebook.com/marchfirstbrewing,https://www.instagram.com/m1cincy,https://maps.google.com/?cid=18349508478239444947,https://www.yelp.com/biz/march-first-brewing-cincinnati,https://www.tripadvisor.com/Attraction_Review-g60993-d12382320,https://untappd.com/w/march-first-brewing/327077
2017,Modern,Portland Cider Company,Apple,Oregon,Judges' Pick,2,4,6,3,2,7,24,2017,2024,7,Clackamas,Oregon,USA,Active,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260
