Medalist,Region,Year,🏆 Platinum,🥇🥇 Double Gold,🥇 Gold,🥈 Silver,🥉 Bronze,Judges' Pick,Total,First,Last,Years,City,Region,Country,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2 Towns Ciderhouse,Oregon,2017,0,0,2,0,2,6,10,2017,2024,6,Corvallis,Oregon,USA,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Seattle Cider Company,Washington,2017,0,1,0,3,1,2,7,2017,2024,6,Seattle,Washington,USA,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923
Cidrerie Michel Jodoin,Quebec,2017,0,3,0,1,0,1,5,2017,2024,4,Rougemont,Quebec,Canada,Active,https://www.micheljodoin.ca/,https://www.facebook.com/CidrerieMichelJodoin/,https://www.instagram.com/cidreriemicheljodoin/,https://maps.google.com/?cid=12740295882599829633,https://www.yelp.com/biz/cidrerie-michel-jodoin-rougemont,https://www.tripadvisor.com/Attraction_Review-g1893510-d2227956,https://untappd.com/w/cidrerie-michel-jodoin/18179
Portland Cider Company,Oregon,2017,0,2,0,1,1,1,5,2017,2024,7,Clackamas,Oregon,USA,Active,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260
Liberty Ciderworks,Washington,2017,0,1,0,0,1,2,4,2017,2022,4,Spokane,Washington,USA,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336
Vermont Cider Company,Vermont,2017,0,1,0,0,1,2,4,2017,2022,3,Middlebury,Vermont,USA,Active,http://www.woodchuck.com/,https://www.facebook.com/WoodchuckCider,https://www.instagram.com/woodchuckcider/,https://maps.google.com/?cid=9402882086420367798,https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury,https://www.tripadvisor.com/Attraction_Review-g57245-d7022345,https://untappd.com/w/woodchuck-cidery/611
Dragon's Head Cider,Washington,2017,0,0,3,0,0,1,4,2017,2022,4,Vashon,Washington,USA,Active,http://www.dragonsheadcider.com/,,https://www.instagram.com/dragonsheadcider/,https://maps.google.com/?cid=2526574753760904159,https://www.yelp.com/biz/dragons-head-cider-vashon,,https://untappd.com/w/dragons-head-cider/36168
Tieton Cider Works,Washington,2017,0,0,0,1,1,2,4,2017,2024,6,Yakima,Washington,USA,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
Reverend Nat's Hard Cider,Oregon,2017,0,0,0,0,0,4,4,2017,2017,1,Portland,Oregon,USA,Inactive,,,,,,,
Snowdrift Cider Co.,Washington,2017,0,0,0,1,1,1,3,2017,2017,1,East Wenatchee,Washington,USA,Active,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545
Blake's Hard Cider Co.,Michigan,2017,0,1,0,0,0,1,2,2017,2024,7,Armada,Michigan,USA,Active,http://www.blakeshardcider.com/,https://www.facebook.com/blakeshardciderco,https://www.instagram.com/blakeshardciderco/,https://maps.google.com/?cid=15855146673119620480,https://www.yelp.com/biz/blakes-ciderhouse-and-winery-armada,https://www.tripadvisor.com/Attraction_Review-g29560-d6678501,https://untappd.com/w/blakes-hard-cider-company/86334
Gypsy Circus,Tennessee,2017,0,1,0,0,0,1,2,2017,2022,3,Kingsport,Tennessee,USA,Active,https://gypsycircuscider.com/,https://www.facebook.com/GypsyCircusCider/,https://www.instagram.com/gypsycircuscider/,https://maps.google.com/?cid=4520512866262691085,https://www.yelp.com/biz/gypsy-circus-taproom-kingsport,https://www.tripadvisor.com/Attraction_Review-g55135-d12818214,https://untappd.com/w/gypsy-circus-cider-company/226304
Gowan's Heirloom Ciders,California,2017,0,0,1,0,1,0,2,2017,2020,3,Philo,California,USA,Active,http://www.gowansheirloomcider.com/,https://www.facebook.com/gowanscider/,https://www.instagram.com/gowanscider/,https://maps.google.com/?cid=14585432541984297394,https://www.yelp.com/biz/gowan-s-cider-philo,https://www.tripadvisor.com/Attraction_Review-g32878-d23631277,https://untappd.com/w/gowans-hard-cider/200818
Laughing Dog Brewing,Idaho,2017,0,0,1,0,1,0,2,2017,2017,1,Ponderay,Idaho,USA,Active,https://laughingdogbrewing.com/,https://www.facebook.com/LaughingDogBrewing,https://www.instagram.com/laughingdogbrewing/,https://maps.google.com/?cid=991815015646829154,https://www.yelp.com/biz/laughing-dog-brewing-ponderay,https://www.tripadvisor.com/Restaurant_Review-g35574-d2262125,https://untappd.com/w/summit-cider/168811
Angry Orchard,New York,2017,0,0,1,0,0,1,2,2017,2023,2,Walden,New York,USA,Active,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,https://www.yelp.com/biz/angry-orchard-walden-2,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455
Colorado Cider Company,Colorado,2017,0,0,1,0,0,1,2,2017,2024,3,Denver,Colorado,USA,Active,http://www.coloradocider.com/,https://www.facebook.com/coloradocider,https://www.instagram.com/coloradocidercompany/,https://maps.google.com/?cid=9606181927626096546,https://www.yelp.com/biz/colorado-cider-denver,https://www.tripadvisor.com/Attraction_Review-g33388-d8505809,https://untappd.com/w/colorado-cider-company/11426
Eden Ciders,Vermont,2017,0,0,0,1,1,0,2,2017,2024,5,Newport,Vermont,USA,Active,https://www.edenciders.com/,https://facebook.com/edenspecialtyciders,https://www.instagram.com/edenciders/,https://maps.google.com/?cid=1133141626652589768,https://www.yelp.com/biz/northeast-kingdom-tasting-center-newport,https://www.tripadvisor.com/Restaurant_Review-g57335-d4675348,https://untappd.com/w/eden-specialty-ciders/13108
Citizen Cider,Vermont,2017,0,0,0,0,1,1,2,2017,2019,2,Burlington,Vermont,USA,Active,https://www.citizencider.com/,https://www.facebook.com/citizencider,https://www.instagram.com/citizencider/,https://maps.google.com/?cid=705537445817027258,https://www.yelp.com/biz/citizen-cider-burlington,https://www.tripadvisor.com/Restaurant_Review-g57201-d6924616,https://untappd.com/w/citizen-cider/24209
Methow Valley Ciderhouse,Washington,2017,0,0,0,0,0,2,2,2017,2017,1,Winthrop,Washington,USA,Active,https://methowvalleyciderhousellc.com/,https://www.facebook.com/methowcider,https://www.instagram.com/methowvalleyciderhouse/,https://maps.google.com/?cid=17865926054259925025,https://www.yelp.com/biz/methow-valley-ciderhouse-winthrop,https://www.tripadvisor.com/Restaurant_Review-g58833-d11857402,https://untappd.com/w/methow-valley-ciderhouse/12622
Salt Spring Wild Cider,British Columbia,2017,0,0,0,0,0,2,2,2017,2017,1,Salt Spring Island,British Columbia,Canada,Active,https://saltspringwildcider.com/,https://www.facebook.com/saltspringwildcider/,https://www.instagram.com/saltspringwildcider/,https://maps.google.com/?cid=1013951137212036854,https://www.yelp.com/biz/salt-spring-wild-cider-salt-spring-island,https://www.tripadvisor.com/Attraction_Review-g154941-d10129954,https://untappd.com/w/salt-spring-wild/218214
Big B's Hard Cider,Colorado,2017,0,1,0,0,0,0,1,2017,2020,4,Hotchkiss,Colorado,USA,Active,http://www.bigbs.com/,https://www.facebook.com/visitbigbs,https://www.instagram.com/drinkbigbs,https://maps.google.com/?cid=78577038036310991,https://www.yelp.com/biz/delicious-orchards-hotchkiss,https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856,https://untappd.com/w/big-bs-fabulous-juices/100389
C Squared Ciders,Colorado,2017,0,1,0,0,0,0,1,2017,2017,1,Denver,Colorado,USA,Inactive,,,,,,,
Square Mile Cider,Oregon,2017,0,1,0,0,0,0,1,2017,2019,3,Portland,Oregon,USA,Active,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094
BC Tree Fruits Cider,British Columbia,2017,0,0,1,0,0,0,1,2017,2018,2,Kelowna,British Columbia,Canada,Active,https://www.bctreefruitscider.com/,https://www.facebook.com/bctfcider,https://www.instagram.com/bctfcider/,https://maps.google.com/?cid=14720123387889629483,https://www.yelp.com/biz/bc-tree-fruits-market-kelowna,https://www.tripadvisor.com/Attraction_Review-g154933-d8508463,https://untappd.com/w/bc-tree-fruits-cider-co/193881
Noble Cider,North Carolina,2017,0,0,1,0,0,0,1,2017,2024,7,Asheville,North Carolina,USA,Active,http://www.noblecider.com/,https://www.facebook.com/NobleCider,https://www.instagram.com/noble_cider/,https://maps.google.com/?cid=10806279487860629423,https://www.yelp.com/biz/noble-cider-asheville,https://www.tripadvisor.com/Attraction_Review-g60742-d8604019,https://untappd.com/w/noble-cider/77407
Northern Natural Cider House & Winery,Michigan,2017,0,0,1,0,0,0,1,2017,2017,1,Kaleva,Michigan,USA,Active,http://www.northernnaturalwinery.com/,https://www.facebook.com/northernnaturalwinery,https://www.instagram.com/northernnaturalciderhouse/,https://maps.google.com/?cid=17749341957373928380,,,https://untappd.com/w/northern-natural-cider-house/28609
Wandering Aengus Ciderworks,Oregon,2017,0,0,1,0,0,0,1,2017,2017,1,Salem,Oregon,USA,Inactive,,,,,,,
EdenVale Winery,Oregon,2017,0,0,0,1,0,0,1,2017,2020,3,Medford,Oregon,USA,Active,http://www.edenvalewines.com/,https://www.facebook.com/EdenValeWinery,https://www.instagram.com/edenvalewinery/,https://maps.google.com/?cid=1337477973398359922,https://www.yelp.com/biz/edenvale-winery-medford-2,https://www.tripadvisor.com/Attraction_Review-g51965-d534330,https://untappd.com/w/edenvale-winery/343164
Foxcraft Hard Cider,California,2017,0,0,0,1,0,0,1,2017,2017,1,Santa Rosa,California,USA,Inactive,,,,,,,
Mercier Orchards,Georgia,2017,0,0,0,1,0,0,1,2017,2024,3,Blue Ridge,Georgia,USA,Active,http://www.mercier-orchards.com/,https://www.facebook.com/mercierorchards/,https://www.instagram.com/mercierorchards/,https://maps.google.com/?cid=2895983787358586044,https://www.yelp.com/biz/mercier-apple-orchard-blue-ridge,https://www.tripadvisor.com/Attraction_Review-g34778-d633496,https://untappd.com/w/mercier-orchards/42402
Montana CiderWorks,Montana,2017,0,0,0,1,0,0,1,2017,2017,1,Darby,Montana,USA,Active,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843
Swilled Dog Hard Cider,West Virginia,2017,0,0,0,1,0,0,1,2017,2017,1,Franklin,West Virginia,USA,Active,http://www.swilleddog.com/,https://www.facebook.com/swilleddog/,https://www.instagram.com/swilleddog/,https://maps.google.com/?cid=16690532979393529763,https://www.yelp.com/biz/swilled-dog-hard-cider-upper-tract,,https://untappd.com/w/swilled-dog/328114
Lonetree Cider,British Columbia,2017,0,0,0,0,1,0,1,2017,2022,2,Vancouver,British Columbia,Canada,Active,https://www.lonetreecider.com/,https://www.facebook.com/lonetreecider,https://www.instagram.com/lonetreecider,,,,https://untappd.com/w/the-lonetree-cider-company/12800
Cider Riot!,Oregon,2017,0,0,0,0,0,1,1,2017,2019,2,Portland,Oregon,USA,Inactive,,,,,,,
Headwater Cider,Massachusetts,2017,0,0,0,0,0,1,1,2017,2018,2,Hawley,Massachusetts,USA,Active,http://www.headwatercider.com/,https://www.facebook.com/profile.php?id=100072389300487,,https://maps.google.com/?cid=10677507708826586466,,,https://untappd.com/w/headwater-cider-company/55527
March First Brewing,Ohio,2017,0,0,0,0,0,1,1,2017,2017,1,Cincinnati,Ohio,USA,Active,https://www.marchfirstbrewing.com/,https://www.facebook.com/marchfirstbrewing,https://www.instagram.com/m1cincy,https://maps.google.com/?cid=18349508478239444947,https://www.yelp.com/biz/march-first-brewing-cincinnati,https://www.tripadvisor.com/Attraction_Review-g60993-d12382320,https://untappd.com/w/march-first-brewing/327077
Mountain West Cider Company,Utah,2017,0,0,0,0,0,1,1,2017,2023,2,Salt Lake City,Utah,USA,Active,http://mountainwestcider.com/,https://www.facebook.com/MountainWestHardCider/,https://www.instagram.com/mountainwestcider/,https://maps.google.com/?cid=16538924633378887108,https://www.yelp.com/biz/mountain-west-cider-salt-lake-city,,https://untappd.com/w/mountain-west-hard-cider/235312
North Idaho Cider,Idaho,2017,0,0,0,0,0,1,1,2017,2017,1,Hayden,Idaho,USA,Inactive,,,,,,,
Stem Ciders,Colorado,2017,0,0,0,0,0,1,1,2017,2022,2,Denver,Colorado,USA,Active,http://stemciders.com/,https://www.facebook.com/stemciders/,https://www.instagram.com/stemciders/,https://maps.google.com/?cid=14948853403840338868,https://www.yelp.com/biz/stem-ciders-denver,https://www.tripadvisor.com/Restaurant_Review-g33388-d26714132,https://untappd.com/w/stem-ciders/102829
Stowe Cider,Vermont,2017,0,0,0,0,0,1,1,2017,2017,1,Stowe,Vermont,USA,Active,http://www.stowecider.com/,https://www.facebook.com/StoweCider,https://www.instagram.com/stowecider/,https://maps.google.com/?cid=6993680314169906863,https://www.yelp.com/biz/stowe-cider-stowe-2,https://www.tripadvisor.com/Attraction_Review-g57415-d7191104,https://untappd.com/w/stowe-cider/78100
West Avenue Cider,Ontario,2017,0,0,0,0,0,1,1,2017,2019,3,Freelton,Ontario,Canada,Active,https://www.westavenue.ca/,https://www.facebook.com/WestAvenueCider,https://www.instagram.com/westavenuecider/,https://maps.google.com/?cid=2732627738094534556,https://www.yelp.com/biz/west-avenue-cider-house-freelton,https://www.tripadvisor.com/Attraction_Review-g154990-d15192590,https://untappd.com/w/west-avenue-cider/72499
Alpenfire Cider,Washington,2018,0,1,2,1,1,0,5,2018,2022,2,Port Townsend,Washington,USA,Active,https://www.alpenfirecider.com/,https://www.facebook.com/alpenfirecider,https://www.instagram.com/alpenfirecider/,https://maps.google.com/?cid=13194604853315575065,https://www.yelp.com/biz/alpenfire-cider-and-orchard-port-townsend,,https://untappd.com/w/alpenfire-cider/12510
Cidrerie Michel Jodoin,Quebec,2018,0,0,1,2,0,2,5,2017,2024,4,Rougemont,Quebec,Canada,Active,https://www.micheljodoin.ca/,https://www.facebook.com/CidrerieMichelJodoin/,https://www.instagram.com/cidreriemicheljodoin/,https://maps.google.com/?cid=12740295882599829633,https://www.yelp.com/biz/cidrerie-michel-jodoin-rougemont,https://www.tripadvisor.com/Attraction_Review-g1893510-d2227956,https://untappd.com/w/cidrerie-michel-jodoin/18179
Chain Yard Cider,Nova Scotia,2018,0,0,1,1,0,2,4,2018,2019,2,Halifax,Nova Scotia,Canada,Active,https://www.chainyardcider.com/,https://www.facebook.com/chainyardcider/,https://www.instagram.com/chainyardcider/,https://maps.google.com/?cid=4454532663694829560,https://www.yelp.com/biz/chain-yard-urban-cidery-halifax,https://www.tripadvisor.com/Restaurant_Review-g154976-d12547718,https://untappd.com/w/chain-yard-urban-cidery/338806
2 Towns Ciderhouse,Oregon,2018,0,2,0,1,0,0,3,2017,2024,6,Corvallis,Oregon,USA,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Cider Creek Hard Cider,New York,2018,0,1,0,0,0,2,3,2018,2019,2,Canisteo,New York,USA,Active,http://www.cidercreekhardcider.com/,,https://www.instagram.com/cidercreekhardcider/,https://maps.google.com/?cid=7573055340708815679,,https://www.tripadvisor.com/Attraction_Review-g47410-d9865677,https://untappd.com/w/cider-creek-hard-cider/124038
Liberty Ciderworks,Washington,2018,0,1,0,0,0,2,3,2017,2022,4,Spokane,Washington,USA,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336
