Category,Award,Medalist,Entry,Region/Country,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Dry Cider,🏆 PREMIUM,Cydr Dwaj Bracia,Antonowka,Poland,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234
Dry Cider,🥇 GOLD,Viuda de Angelón,1947 Rosée,Asturias,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,,https://untappd.com/w/viuda-de-angela3n/142823
Dry Cider,🥇 GOLD,Pfeiffer’s,Pfeiffer’s Cider Estil,Poland,https://pfeiffers.pl/,https://www.facebook.com/pfeifferscider,https://www.instagram.com/pfeiffers_cider,https://maps.google.com/?cid=1938111950265948010,,https://untappd.com/w/pfeiffer-s-cider/541464
Dry Cider,🥈 SILVER,Mistérios da Quinta Unipessoal,Arrebita CM,Madeira,,,https://www.instagram.com/sidrariaprazeres/,https://maps.google.com/?cid=17308535962264911617,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615
Dry Cider,🥈 SILVER,Olletako Sagardoak,Sabaiza Premium,Navarre,https://www.sidrasbaldorbanaturel.com/,https://www.facebook.com/sagarraleku/,https://www.instagram.com/sidrasbaldorbanaturel/,,,https://untappd.com/w/baldorba-sagardotegia/336919
Dry Cider,🥈 SILVER,Carral,Sidra Natural,León,https://www.sidracarral.com/,https://www.facebook.com/sidranaturalcarral/,https://www.instagram.com/sidracarral/,https://maps.google.com/?cid=2695880588601500201,,https://untappd.com/w/sidra-natural-carral/296674
Dry Cider,🥈 SILVER,Mr. Plume,Dry Plume,Latvia,https://www.mrplume.lv/,https://www.facebook.com/mrplumesidrs,https://www.instagram.com/mrplume_sidrs/,https://maps.google.com/?cid=9319841841199759114,,https://untappd.com/w/mr-plume/332485
Dry Cider,🥈 SILVER,Romano Pereira,Romaria 21,Madeira,,,,,,https://untappd.com/w/herdade-do-pereira/538761
Dry Cider,🥈 SILVER,Posma,Posma ecológica,Canary Islands,,https://www.facebook.com/profile.php?id=100063717535205,,,,https://untappd.com/w/posma/512334
Dry Cider,🥈 SILVER,Olletako Sagardoak,Naizhaga Premium,Navarre,https://www.sidrasbaldorbanaturel.com/,https://www.facebook.com/sagarraleku/,https://www.instagram.com/sidrasbaldorbanaturel/,,,https://untappd.com/w/baldorba-sagardotegia/336919
