Medalist,Region,🏆 Premium,🥇 Gold,🥈 Silver,🥉 Bronze,Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Jörg Geiger,Germany,2,3,7,0,12,https://www.manufaktur-joerg-geiger.de/,https://www.facebook.com/manufakturjoerggeiger/,https://www.instagram.com/manufakturjoerggeiger/,https://maps.google.com/?cid=908271853334307402,,https://untappd.com/w/manufaktur-jorg-geiger/270857
Panizales,Asturias,2,0,1,1,4,,https://www.facebook.com/panizales.sidra,https://www.instagram.com/sidrapanizales/,https://maps.google.com/?cid=16258480851124885832,https://www.tripadvisor.com/Restaurant_Review-g775263-d7621234,https://untappd.com/w/llagar-panizales/152401
Lagar de Valleseco,Canary Islands,1,1,1,1,4,,https://www.facebook.com/sidralagardevalleseco/,,https://maps.google.com/?cid=6485664555068943913,,https://untappd.com/w/angel-dominguez-ponce/511926
Posma,Canary Islands,1,0,2,1,4,,https://www.facebook.com/profile.php?id=100063717535205,,,,https://untappd.com/w/posma/512334
Stonewell Cider,Ireland,1,0,2,1,4,https://www.stonewellcider.com/,https://www.facebook.com/stonewellcider,https://www.instagram.com/stonewellcider/,https://maps.google.com/?cid=6638378960827420170,,https://untappd.com/Nohoval_Drinks_Company_Ltd
Tālava,Latvia,1,0,2,0,3,https://www.talava.lv/,https://www.facebook.com/talavassidrs,https://www.instagram.com/talavas_sidrs/,https://maps.google.com/?cid=16414834196985036378,,https://untappd.com/TalavasSidrs
Cydr Dwaj Bracia,Poland,1,0,1,3,5,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234
Mooma,Catalonia,1,0,1,1,3,https://mooma.cat/,https://www.facebook.com/sidreriamooma/,https://www.instagram.com/mooma/,https://maps.google.com/?cid=11350926811080988766,https://www.tripadvisor.com/Restaurant_Review-g3501872-d13815642,https://untappd.com/w/mooma/254950
Paca y Tola,Asturias,1,0,1,1,3,https://lanaveta.com/,https://www.facebook.com/profile.php?id=100063497946147,,https://maps.google.com/?cid=18265458060195810621,,https://untappd.com/w/la-naveta/288596
Cider Sekt,Czechia,1,0,1,0,2,https://www.cidersekt.cz/,https://www.facebook.com/cidertalk/,https://www.instagram.com/cidertalk/,https://maps.google.com/?cid=1744130511388226457,,https://untappd.com/w/provoco/396367
Gallinal Drinks,Asturias,1,0,0,0,1,https://exnercider.com/,https://www.facebook.com/ExnerCider/,https://www.instagram.com/exner.cider/,https://maps.google.com/?cid=3356560758775211802,,https://untappd.com/b/llagar-sidra-castanon-exner/3684800
Salvador del Obispo,Asturias,1,0,0,0,1,https://www.caseriasanjuandelobispo.com/,,,https://maps.google.com/?cid=13956526212503892929,,https://untappd.com/w/caseria-san-juan-del-obispo/285141
NeRø Sideri,Norway,0,2,0,1,3,https://www.nerofrukt.no/,https://www.facebook.com/people/NeR%C3%B8-Frukt-og-Sider/100070115946607/,https://www.instagram.com/nerofrukt/,https://maps.google.com/?cid=2060180241711172985,,https://untappd.com/w/nero-frukt-og-sider/467847
