Region,🏆 Premium,🥇 Gold,🥈 Silver,🥉 Bronze,Total
Asturias,5,4,5,8,22
Germany,2,4,11,1,18
Canary Islands,2,1,8,3,14
Poland,1,1,2,8,12
Latvia,1,1,7,2,11
Italy,0,1,7,0,8
France,0,0,6,2,8
Madeira,0,0,5,3,8
Basque Country,0,0,7,0,7
Chile,0,0,3,3,6
Finland,0,0,4,1,5
Netherlands,0,0,3,2,5
Czechia,1,1,1,1,4
Ireland,1,0,2,1,4
Catalonia,1,0,1,1,3
Norway,0,2,0,1,3
United States,0,0,3,0,3
Navarre,0,0,2,1,3
Scotland,0,1,1,0,2
Japan,0,0,1,1,2
León,0,0,1,1,2
Portugal,0,0,0,2,2
Galicia,0,0,1,0,1
Peru,0,0,1,0,1
Slovakia,0,0,1,0,1
Belgium,0,0,0,1,1
Total,14,16,83,43,156
