Year,Category,Medalist,Product,Award,Status,Region,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2018,Flavoured Cider,BlakStoc,Wild Tree Hoppy Cider,🏆 Trophy,Active,Austria,"<a href=""http://www.blakstoc.com/"">Website</a>","<a href=""https://www.facebook.com/blakstoc/"">Facebook</a>","<a href=""https://www.instagram.com/blakstoc/"">Instagram</a>",,,
2018,Flavoured Cider,Celtic Marches,Cuckoo Penny 4% Rhubarb Cider,🏆 Trophy,Active,England,"<a href=""https://www.celticmarches.com/"">Website</a>","<a href=""https://www.facebook.com/celticmarchesbeverages/"">Facebook</a>","<a href=""https://www.instagram.com/celticmarches/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14163451376835523124"">Google</a>",,
2018,Flavoured Cider,Marks & Spencer,Devon Farmhouse Cider with Raspberry (Bottle),🥇 Gold,Active,England,"<a href=""https://www.marksandspencer.com/"">Website</a>","<a href=""https://www.facebook.com/MarksandSpencer/"">Facebook</a>","<a href=""https://www.instagram.com/marksandspencer/"">Instagram</a>",,,
2018,Flavoured Cider,Eva Group,The Good Cider of San Sebastian Wild Berry,🥇 Gold,Active,Spain,"<a href=""https://www.evasa.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=546948451257487120"">Google</a>",,
2018,Flavoured Cider,Angry Orchard,Maple Wooden Sleeper,🥈 Silver,Active,United States,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>"
2018,Flavoured Cider,Angry Orchard,Summery Honey,🥈 Silver,Active,United States,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>"
2018,Flavoured Cider,Appie,Le Brut au miel,🥈 Silver,Active,France,,"<a href=""https://www.facebook.com/appiecidre/"">Facebook</a>","<a href=""https://www.instagram.com/appie.cidre/"">Instagram</a>",,,
2018,Flavoured Cider,BlakStoc,Buddha's Hand Lemon Cider,🥈 Silver,Active,Austria,"<a href=""http://www.blakstoc.com/"">Website</a>","<a href=""https://www.facebook.com/blakstoc/"">Facebook</a>","<a href=""https://www.instagram.com/blakstoc/"">Instagram</a>",,,
2018,Flavoured Cider,BlakStoc,Quincy Jo & Hops Edition,🥈 Silver,Active,Austria,"<a href=""http://www.blakstoc.com/"">Website</a>","<a href=""https://www.facebook.com/blakstoc/"">Facebook</a>","<a href=""https://www.instagram.com/blakstoc/"">Instagram</a>",,,
2018,Flavoured Cider,Celtic Marches,Ruby Tuesday 4% Raspberry Cider,🥈 Silver,Active,England,"<a href=""https://www.celticmarches.com/"">Website</a>","<a href=""https://www.facebook.com/celticmarchesbeverages/"">Facebook</a>","<a href=""https://www.instagram.com/celticmarches/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14163451376835523124"">Google</a>",,
