Medalist,Country,🏆Trophy,🥇 Gold,🥈 Silver,🥉 Bronze,Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Sidra El Gaitero,Spain,---,2,2,4,8,"<a href=""https://www.sidraelgaitero.com/"">Website</a>","<a href=""https://www.facebook.com/grupoelgaitero"">Facebook</a>","<a href=""https://www.instagram.com/grupoelgaitero/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15753532318992345137"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g608997-d3239389"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4266"">Untappd</a>"
Cidre Le Brun,France,---,2,1,4,7,"<a href=""https://cidrelebrun.com/"">Website</a>",,"<a href=""https://www.instagram.com/cidrelebrun"">Instagram</a>","<a href=""https://maps.google.com/?cid=5387381455239409930"">Google</a>",,"<a href=""https://untappd.com/brewery/31897"">Untappd</a>"
Cidrerie Milton,Canada,---,1,---,5,6,"<a href=""https://cidreriemilton.com/"">Website</a>","<a href=""https://facebook.com/cidreriemilton"">Facebook</a>","<a href=""https://instagram.com/cidreriemilton"">Instagram</a>","<a href=""https://maps.google.com/?cid=9570102942420505240"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g11547718-d10105070"">TripAdvisor</a>","<a href=""https://untappd.com/CidrerieMilton"">Untappd</a>"
Thatchers Cider,England,---,---,2,4,6,"<a href=""https://www.thatcherscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/ThatchersCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/thatcherscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15191093037076298219"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3063"">Untappd</a>"
Savanna,South Africa,---,---,3,2,5,"<a href=""https://www.savanna.co.za/"">Website</a>","<a href=""https://www.facebook.com/SavannaCider/"">Facebook</a>","<a href=""https://www.instagram.com/savannacider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=947674074671053030"">Google</a>",,"<a href=""https://untappd.com/w/distell-ltd/14203"">Untappd</a>"
Sandford Orchards,England,1,---,1,2,4,"<a href=""https://www.sandfordorchards.co.uk/"">Website</a>","<a href=""https://www.facebook.com/sandfordorchards"">Facebook</a>","<a href=""https://www.instagram.com/sandfordorchards/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2784404680033020235"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g635675-d14758900"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14080"">Untappd</a>"
Appleblood Cider,Italy,---,1,2,1,4,"<a href=""https://applebloodcider.com/"">Website</a>","<a href=""https://www.facebook.com/applebloodcider"">Facebook</a>","<a href=""https://www.instagram.com/applebloodcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14977227174949746380"">Google</a>",,"<a href=""https://untappd.com/w/apple-blood-cider/474058"">Untappd</a>"
Brothers Drinks,England,---,1,---,3,4,"<a href=""https://brotherscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/BrothersCider"">Facebook</a>","<a href=""https://www.instagram.com/brotherscider"">Instagram</a>","<a href=""https://maps.google.com/?cid=1454211960614674654"">Google</a>",,"<a href=""https://untappd.com/BrothersCider"">Untappd</a>"
Lucia Maria Melchiori,Italy,---,---,3,1,4,"<a href=""https://sidroitaliano.it/"">Website</a>","<a href=""https://www.facebook.com/LMMelchiori/"">Facebook</a>","<a href=""https://www.instagram.com/melchiori_parola_di_luciamaria/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15784129180909501372"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1425773-d3571906"">TripAdvisor</a>","<a href=""https://untappd.com/w/melchiori/26188"">Untappd</a>"
Sheppy's Cider,England,---,---,1,3,4,"<a href=""https://www.sheppyscider.com/"">Website</a>","<a href=""https://www.facebook.com/sheppyscider/"">Facebook</a>","<a href=""https://www.instagram.com/sheppyscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14572513592829460886"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g190730-d6870973"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/7956"">Untappd</a>"
Aston Manor Cider,England,---,---,---,4,4,"<a href=""https://www.astonmanor.co.uk/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=8328306569280299730"">Google</a>",,"<a href=""https://untappd.com/AstonManorBreweryCo"">Untappd</a>"
