Country,🏆Trophy,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
England,3,2,14,26,45
France,---,3,6,6,15
Italy,---,1,6,4,11
Canada,1,1,1,6,9
Spain,---,2,2,5,9
South Africa,---,---,3,4,7
Germany,---,---,2,5,7
Netherlands,---,---,3,3,6
Norway,2,---,2,---,4
Czechia,---,---,3,1,4
Australia,---,---,2,1,3
India,---,---,1,2,3
Japan,---,---,1,2,3
Lebanon,---,---,1,2,3
Portugal,---,1,---,1,2
Switzerland,---,---,2,---,2
Latvia,---,---,1,1,2
Vietnam,---,---,1,1,2
Northern Ireland,---,---,1,---,1
Kazakhstan,---,---,---,1,1
Total,6,10,52,71,139
