Division,Medalist,🥇 Gold,🥈 Silver,🥉 Bronze,Total,Website,Facebook,Instagram,Google,Untappd
Domestic,VinVie Winery & Cidery,2,1,1,4,https://vinvie.jp/,https://www.facebook.com/vinvie.jp/,https://www.instagram.com/vinvie.jp/,https://maps.google.com/?cid=10362674152189928272,https://untappd.com/w/vinvie/441053
Domestic,Kikusui Brewing,2,1,0,3,https://kikusuisake.co.jp/,https://www.facebook.com/kikusui.nagano,https://www.instagram.com/nagano_kikusui/,https://maps.google.com/?cid=273138642744687145,https://untappd.com/w/kikusui-shuzou/307391
Domestic,Kamoshika Cidre,2,0,0,2,https://kamoshikacidre.jp/,https://www.facebook.com/kamoshikacidre/,https://www.instagram.com/kamoshika_cidre/,https://maps.google.com/?cid=11874012255187792971,https://untappd.com/w/kamoshika-cidre/348831
Domestic,Shiwa Cidery,1,1,0,2,https://shiwacidery.com/,,https://www.instagram.com/shiwacidery/,,https://untappd.com/ShiwaCidery
Domestic,and CIDER,1,0,0,1,https://andcider.jp/,https://www.facebook.com/andcider.jp,https://www.instagram.com/andcider/,,
Domestic,Gio Hills Winery,1,0,0,1,https://giohills.jp/,,https://www.instagram.com/giohillswinery/,https://maps.google.com/?cid=1515569945995790055,
Domestic,Hirosaki Meijo,1,0,0,1,https://www.hirosakimeijo.com/,https://www.facebook.com/hirosakimeijo/,,https://maps.google.com/?cid=6242665688640625752,https://untappd.com/w/hirosaki-meijo/527084
Domestic,Izumi Brewery,0,2,0,2,,https://www.facebook.com/izumibrewery,https://www.instagram.com/izumi_brewery/,https://maps.google.com/?cid=9781390219956310609,https://untappd.com/w/izumi-brewery/390232
Domestic,Hikaru no Hatake,0,1,0,1,https://hikarumarche.stores.jp/,,https://www.instagram.com/Arugamama_winery/,https://maps.google.com/?cid=12533318998895026808,
Domestic,Nakata Orchard,0,1,0,1,https://nakataringo.thebase.in/,https://www.facebook.com/nakatanouen,https://www.instagram.com/nakatanouen/,,
Domestic,Three Peaks,0,1,0,1,https://3peaks.shop/,https://www.facebook.com/3peakswinery,https://www.instagram.com/3peakswinery/,https://maps.google.com/?cid=16781419863886231388,https://untappd.com/w/three-peaks/355137
Domestic,HOCCA Winery,0,0,1,1,https://hocca.stores.jp/,https://www.facebook.com/hoccawinery/,https://www.instagram.com/hoccawinery/,https://maps.google.com/?cid=16420647593844994897,https://untappd.com/w/hocca-winery/517948
Domestic,Koshiro Noen,0,0,1,1,,,,,
International,Dancing Cider Company,3,1,0,4,https://www.dancingcider.com/,https://www.facebook.com/DancingCider/,https://www.instagram.com/dancingcider/,https://maps.google.com/?cid=7853675129819221848,https://untappd.com/w/dancing-cider/432400
International,Right Bee Cider,2,0,1,3,http://www.rightbeecider.com/,https://www.facebook.com/rightbeecider/,https://www.instagram.com/rightbeecider/,https://maps.google.com/?cid=3785946038058251944,https://untappd.com/w/right-bee-cider/156700
International,Courtney’s of Whimple,2,0,0,2,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,
International,Small Acres Cyder,1,0,0,1,https://www.smallacrescyder.com.au/,https://www.facebook.com/SmallAcresCyder,https://www.instagram.com/smallacrescyder,https://maps.google.com/?cid=1497457670374953580,https://untappd.com/brewery/14584
International,Tālava Sidrs,1,0,0,1,https://www.talava.lv/,https://www.facebook.com/talavassidrs,https://www.instagram.com/talavas_sidrs/,https://maps.google.com/?cid=16414834196985036378,https://untappd.com/TalavasSidrs
International,Saigon Cider,0,1,0,1,https://www.saigoncider.com/,https://www.facebook.com/saigoncider/,https://www.instagram.com/saigoncider/,,https://untappd.com/w/saigon-cider/127105
International,Spreyton Cider Company,0,1,0,1,https://www.spreytonciderco.com.au/,https://www.facebook.com/SpreytonCiderCo,https://www.instagram.com/spreytonciderco/,https://maps.google.com/?cid=4719454766033276507,https://untappd.com/SpreytonCiderCo
International,The Walnut House,0,1,0,1,https://www.wata.com.lb/,https://www.facebook.com/watacider,https://www.instagram.com/watacider/,https://maps.google.com/?cid=4521420921498637695,https://untappd.com/w/wata/513914
International,Wignac Cidre,0,1,0,1,https://www.wignac.com/,https://www.facebook.com/cidrewignac/,https://www.instagram.com/wignac.cider/,https://maps.google.com/?cid=471404489608206328,
International,Saxby’s Cider,0,0,2,2,https://www.saxbyscider.co.uk/,https://www.facebook.com/SaxbysCider/,https://www.instagram.com/saxbys_cider/,https://maps.google.com/?cid=3023063857963922852,https://untappd.com/SaxbysCider
International,JK’s Farmhouse Ciders,0,0,1,1,http://jksfarmhouseciders.com/,https://www.facebook.com/jksfarmhouseciders,https://www.instagram.com/jksfarmhouseciders/,https://maps.google.com/?cid=9785317642581217954,https://untappd.com/w/jks-farmhouse-ciders/2931
International,Neon Cider,0,0,1,1,https://bestbevhk.com/collections/neonotic-cider,,https://www.instagram.com/neonciders/,https://maps.google.com/?cid=208458777916738113,https://untappd.com/Neonotic
,Total,19,13,8,40,,,,,
