State,Cider,Wine,Beer,Other,Total
"<a href=""https://ciderguide.com/new-york-cider-map-directory/"">New York</a>",95,14,13,3,125
"<a href=""https://ciderguide.com/washington-cider-map-directory/"">Washington</a>",81,11,3,3,98
"<a href=""https://ciderguide.com/california-cider-map-directory/"">California</a>",72,22,7,4,105
"<a href=""https://ciderguide.com/pennsylvania-cider-map-directory/"">Pennsylvania</a>",49,19,5,7,80
"<a href=""https://ciderguide.com/oregon-cider-map-directory/"">Oregon</a>",48,6,6,1,61
"<a href=""https://ciderguide.com/michigan-cider-map-directory/"">Michigan</a>",42,48,90,8,188
"<a href=""https://ciderguide.com/virginia-cider-map-directory/"">Virginia</a>",41,11,8,1,61
"<a href=""https://ciderguide.com/north-carolina-cider-map-directory/"">North Carolina</a>",24,4,5,2,35
"<a href=""https://ciderguide.com/massachusetts-cider-map-directory/"">Massachusetts</a>",23,2,8,1,34
"<a href=""https://ciderguide.com/colorado-cider-map-directory/"">Colorado</a>",23,5,---,---,28
"<a href=""https://ciderguide.com/vermont-cider-map-directory/"">Vermont</a>",19,2,---,---,21
"<a href=""https://ciderguide.com/texas-cider-map-directory/"">Texas</a>",18,---,---,1,19
"<a href=""https://ciderguide.com/maine-cider-map-directory/"">Maine</a>",17,5,3,2,27
"<a href=""https://ciderguide.com/ohio-cider-map-directory/"">Ohio</a>",16,7,14,3,40
"<a href=""https://ciderguide.com/minnesota-cider-map-directory/"">Minnesota</a>",15,6,---,1,22
"<a href=""https://ciderguide.com/wisconsin-cider-map-directory/"">Wisconsin</a>",14,12,1,2,29
"<a href=""https://ciderguide.com/indiana-cider-map-directory/"">Indiana</a>",10,5,---,1,16
"<a href=""https://ciderguide.com/connecticut-cider-map-directory/"">Connecticut</a>",9,2,2,2,15
"<a href=""https://ciderguide.com/maryland-cider-map-directory/"">Maryland</a>",8,1,4,---,13
"<a href=""https://ciderguide.com/new-hampshire-cider-map-directory/"">New Hampshire</a>",8,2,---,2,12
"<a href=""https://ciderguide.com/illinois-cider-map-directory/"">Illinois</a>",7,5,---,1,13
"<a href=""https://ciderguide.com/iowa-cider-map-directory/"">Iowa</a>",7,3,---,---,10
"<a href=""https://ciderguide.com/idaho-cider-map-directory/"">Idaho</a>",7,---,2,---,9
"<a href=""https://ciderguide.com/utah-cider-map-directory/"">Utah</a>",7,---,---,1,8
"<a href=""https://ciderguide.com/florida-cider-map-directory/"">Florida</a>",6,2,6,1,15
"<a href=""https://ciderguide.com/tennessee-cider-map-directory/"">Tennessee</a>",6,2,3,---,11
"<a href=""https://ciderguide.com/georgia-cider-map-directory/"">Georgia</a>",6,1,2,---,9
"<a href=""https://ciderguide.com/montana-cider-map-directory/"">Montana</a>",6,---,---,---,6
"<a href=""https://ciderguide.com/missouri-cider-map-directory/"">Missouri</a>",4,3,4,---,11
"<a href=""https://ciderguide.com/arizona-cider-map-directory/"">Arizona</a>",4,---,---,4,8
"<a href=""https://ciderguide.com/new-jersey-cider-map-directory/"">New Jersey</a>",4,1,1,2,8
"<a href=""https://ciderguide.com/new-mexico-cider-map-directory/"">New Mexico</a>",3,1,6,---,10
"<a href=""https://ciderguide.com/nebraska-cider-map-directory/"">Nebraska</a>",3,5,---,---,8
"<a href=""https://ciderguide.com/kansas-cider-map-directory/"">Kansas</a>",3,4,---,---,7
"<a href=""https://ciderguide.com/rhode-island-cider-map-directory/"">Rhode Island</a>",3,1,---,---,4
"<a href=""https://ciderguide.com/south-carolina-cider-map-directory/"">South Carolina</a>",3,---,---,1,4
"<a href=""https://ciderguide.com/alaska-cider-map-directory/"">Alaska</a>",2,---,2,2,6
"<a href=""https://ciderguide.com/kentucky-cider-map-directory/"">Kentucky</a>",2,---,1,1,4
"<a href=""https://ciderguide.com/louisiana-cider-map-directory/"">Louisiana</a>",2,---,---,---,2
"<a href=""https://ciderguide.com/north-dakota-cider-map-directory/"">North Dakota</a>",2,---,---,---,2
"<a href=""https://ciderguide.com/west-virginia-cider-map-directory/"">West Virginia</a>",2,---,---,---,2
"<a href=""https://ciderguide.com/delaware-cider-map-directory/"">Delaware</a>",1,---,1,1,3
"<a href=""https://ciderguide.com/hawaii-cider-map-directory/"">Hawaii</a>",1,---,1,---,2
"<a href=""https://ciderguide.com/arkansas-cider-map-directory/"">Arkansas</a>",1,---,---,---,1
"<a href=""https://ciderguide.com/washington-dc-cider-map-directory/"">District of Columbia</a>",1,---,---,---,1
"<a href=""https://ciderguide.com/oklahoma-cider-map-directory/"">Oklahoma</a>",1,---,---,---,1
"<a href=""https://ciderguide.com/wyoming-cider-map-directory/"">Wyoming</a>",1,---,---,---,1
"<a href=""https://ciderguide.com/alabama-cider-map-directory/"">Alabama</a>",---,---,3,---,3
"<a href=""https://ciderguide.com/nevada-cider-map-directory/"">Nevada</a>",---,1,1,1,3
"<a href=""https://ciderguide.com/mississippi-cider-map-directory/"">Mississippi</a>",---,---,1,---,1
"<a href=""https://ciderguide.com/south-dakota-cider-map-directory/"">South Dakota</a>",---,---,---,---,---
Total,727,213,203,59,"1,202"
