Category,Medal,Medalist,Country,Entry,Points,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Natural Cider,🏆 BEST OF CATEGORY,Zapiain,Basque Country,Zapiain Euskal Sagardoa Premium 2022,91.6,https://zapiain.eus/,https://www.facebook.com/zapiainsagardoa,https://www.instagram.com/zapiainsagardoa/,https://maps.google.com/?cid=16982677267877188990,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229,https://untappd.com/ZapiainSagardoa
Natural Cider,🥇 GOLD,Sidra Castañón,Spain,Val de Boides,91.5,https://sidracastanon.com/,https://www.facebook.com/sidracastanon/,https://www.instagram.com/sidracastanon/,https://maps.google.com/?cid=3082307260151948865,https://www.tripadvisor.com/Attraction_Review-g2186312-d12246874,https://untappd.com/w/llagar-sidra-casta-n/81481
Natural Cider,🥇 GOLD,Son of Man,United States,Son of Man Beti,91.1,https://www.sonofman.co/,,https://www.instagram.com/sonofman.co/,,,https://untappd.com/w/son-of-man-sagardo/428029
Natural Cider,🥇 GOLD,Oiharte,Basque Country,Markesaren Lurra,90.5,https://oiharte.com/,https://www.facebook.com/CasaRuralSidreriaOiharte,https://www.instagram.com/oiharte/,https://maps.google.com/?cid=7283611563965022999,https://www.tripadvisor.com/Restaurant_Review-g1235389-d2470675,https://untappd.com/w/oiharte-sagardotegia/351344
Natural Cider,🥇 GOLD,Sidra Castañón,Spain,Castañon,90.2,https://sidracastanon.com/,https://www.facebook.com/sidracastanon/,https://www.instagram.com/sidracastanon/,https://maps.google.com/?cid=3082307260151948865,https://www.tripadvisor.com/Attraction_Review-g2186312-d12246874,https://untappd.com/w/llagar-sidra-casta-n/81481
Natural Cider,🥇 GOLD,Aburuza,Basque Country,Aburuza Euskal Sagardoa,90,https://www.sidrasaburuza.net/,https://www.facebook.com/sidrasaburuza/,https://www.instagram.com/aburuza_sagardotegia/,https://maps.google.com/?cid=11790998531102067428,https://www.tripadvisor.com/Restaurant_Review-g2578771-d7715076,https://untappd.com/w/sidreria-aburuza/194775
Natural Cider,🥇 GOLD,Zapiain,Basque Country,Joanes de Zapiain 2022,89.3,https://zapiain.eus/,https://www.facebook.com/zapiainsagardoa,https://www.instagram.com/zapiainsagardoa/,https://maps.google.com/?cid=16982677267877188990,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229,https://untappd.com/ZapiainSagardoa
Natural Cider,🥈 SILVER,Sidra Trabanco,Spain,Sidra Trabanco Selección,86,https://www.sidratrabanco.com/,https://www.facebook.com/sidratrabanco/,https://www.instagram.com/sidratrabanco/,https://maps.google.com/?cid=8706552013547802387,,https://untappd.com/brewery/6382
Natural Cider,🥈 SILVER,Sidra Cabueñes,Spain,Sidra Cabueñes DOP,86,,https://www.facebook.com/sidracabuenies/,https://www.instagram.com/sidracabuenies/,https://maps.google.com/?cid=5234296910772767246,,https://untappd.com/w/sidra-cabuenes/78883
Natural Cider,🥈 SILVER,Alorrenea,Basque Country,Alorrenea D.O.,86,https://alorrenea.com/,https://www.facebook.com/Alorrenea/,https://www.instagram.com/alorrenea/,https://maps.google.com/?cid=7369065934381285009,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3809108,https://untappd.com/w/sidreria-alorrena/64396
Natural Cider,🥈 SILVER,Son of Man,United States,Son of Man Sagardo,85.3,https://www.sonofman.co/,,https://www.instagram.com/sonofman.co/,,,https://untappd.com/w/son-of-man-sagardo/428029
Natural Cider,🥈 SILVER,Txopinondo,Basque Country,Txopinondo Sagarnoa,80.9,https://txopinondo.fr/,https://www.facebook.com/txopinondo,https://www.instagram.com/txopinondo/,https://maps.google.com/?cid=14446292626809718341,https://www.tripadvisor.com/Restaurant_Review-g1118261-d2139433,https://untappd.com/w/cidrerie-txopinondo/215570
Natural Cider,🥈 SILVER,Alorrenea,Basque Country,Alorrenea D.O. Premium,80.3,https://alorrenea.com/,https://www.facebook.com/Alorrenea/,https://www.instagram.com/alorrenea/,https://maps.google.com/?cid=7369065934381285009,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3809108,https://untappd.com/w/sidreria-alorrena/64396
Natural Cider,🥈 SILVER,Sidra Fran,Spain,Ramos del Valle,80.2,https://sidrafran.es/,,https://www.instagram.com/sidrafran1918/,https://maps.google.com/?cid=15672106953833908893,https://www.tripadvisor.com/Restaurant_Review-g2437300-d7244547,https://untappd.com/w/sidra-fran/85954
Natural Cider,🥈 SILVER,Alorrenea,Basque Country,Alorrenea Gorenak,79.3,https://alorrenea.com/,https://www.facebook.com/Alorrenea/,https://www.instagram.com/alorrenea/,https://maps.google.com/?cid=7369065934381285009,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3809108,https://untappd.com/w/sidreria-alorrena/64396
Natural Cider,🥉 BRONZE,Son of Man,United States,Son of Man Handi,76.8,https://www.sonofman.co/,,https://www.instagram.com/sonofman.co/,,,https://untappd.com/w/son-of-man-sagardo/428029
Natural Cider,🥉 BRONZE,The Drunken Pharmacist,Portugal,Sidra Natural,75.3,,https://www.facebook.com/profile.php?id=100093795090507,https://www.instagram.com/thedrunkenpharmacist_/,,,https://untappd.com/w/the-drunken-pharmacist/543354
Natural Cider,🥉 BRONZE,Sidra Mayador,Spain,Sidra Natural M.Busto,73.7,http://www.mayador.com/,https://www.facebook.com/sidramayadorcider,https://www.instagram.com/sidramayador/,https://maps.google.com/?cid=6886369759358960464,,https://untappd.com/SidraMayador
Natural Cider,🥉 BRONZE,Isastegi,Basque Country,Isastegi Premium,73,https://www.isastegi.com/,https://www.facebook.com/isastegi.sagardotegia,https://www.instagram.com/isastegi/,https://maps.google.com/?cid=3927960308349571227,https://www.tripadvisor.com/Restaurant_Review-g1064362-d5772954,https://untappd.com/brewery/6054
Natural Cider,🥉 BRONZE,Baldorba Naturel & Sagarraleku,Basque Country,Sabaiza Premium,72.5,https://www.sidrasbaldorbanaturel.com/,https://www.facebook.com/sagarraleku/,https://www.instagram.com/sidrasbaldorbanaturel/,,,https://untappd.com/w/baldorba-sagardotegia/336919
