Style,Medal,Medalist,Entry,Region,Points,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
New World Cider - Dry,🥇 Gold,Bilpin Cider,Bilpin Archibald High N Dry,New South Wales,95,"<a href=""https://bilpincider.com/"">Website</a>","<a href=""https://www.facebook.com/bilpincider"">Facebook</a>","<a href=""https://www.instagram.com/bilpincider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1982319036704250930"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18734"">Untappd</a>"
New World Cider - Dry,🥇 Gold,Incy Wincy Cyder,Huntsman 2020,New South Wales,93,"<a href=""https://www.incywincycyder.com/"">Website</a>","<a href=""https://www.facebook.com/incywincycyder/"">Facebook</a>","<a href=""https://www.instagram.com/incywincycyder_orange"">Instagram</a>",,,"<a href=""https://untappd.com/w/incy-wincy-cyder/413318"">Untappd</a>"
New World Cider - Dry,🥇 Gold,Ninch Cider,Block 13,Tasmania,93,,,"<a href=""https://www.instagram.com/ninchcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10134826457369794124"">Google</a>",,
New World Cider - Dry,🥉 Bronze,Gurneys Cider,Proper Dry,Victoria,83.5,"<a href=""https://gurneyscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/gurneyscider"">Facebook</a>","<a href=""https://www.instagram.com/gurneyscidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17296225831182939561"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g552172-d15180819"">TripAdvisor</a>","<a href=""https://untappd.com/GurneysCider"">Untappd</a>"
New World Cider - Dry,🥉 Bronze,Sutton's Juice Factory & Cidery,Pink Lady Dry Apple Cider,Queensland,83.5,"<a href=""https://suttonsfarm.com.au/"">Website</a>","<a href=""https://www.facebook.com/suttonsjuiceandcider/"">Facebook</a>","<a href=""https://www.instagram.com/suttonsfarm/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17202902084953727843"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g3666083-d1743635"">TripAdvisor</a>","<a href=""https://untappd.com/w/suttons-farm/169154"">Untappd</a>"
New World Cider - Dry,🥉 Bronze,Incy Wincy Cyder,Huntsman 2019,New South Wales,83,"<a href=""https://www.incywincycyder.com/"">Website</a>","<a href=""https://www.facebook.com/incywincycyder/"">Facebook</a>","<a href=""https://www.instagram.com/incywincycyder_orange"">Instagram</a>",,,"<a href=""https://untappd.com/w/incy-wincy-cyder/413318"">Untappd</a>"
New World Cider - Medium,🥇 Gold,Hills Cider,Apple,South Australia,93,,"<a href=""https://www.facebook.com/thehillscidercompany"">Facebook</a>","<a href=""https://www.instagram.com/thehillscidercompany/"">Instagram</a>","<a href=""https://maps.google.com/?cid=40048064327732560"">Google</a>",,"<a href=""https://untappd.com/thehillscidercompany"">Untappd</a>"
New World Cider - Medium,🥈 Silver,Small Acres Cyder,Femme Fatale 2023,New South Wales,89,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
New World Cider - Medium,🥉 Bronze,Mock Red Hill,Classic Cider,Victoria,83.5,"<a href=""https://www.mockredhill.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Mock-Red-Hill/181240308586996"">Facebook</a>","<a href=""https://www.instagram.com/mockredhill/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10552205982251777171"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g552249-d9793363"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/28770"">Untappd</a>"
New World Cider - Medium,🥉 Bronze,Cester Camillo,Sidro Del Bosco,Victoria,81.5,"<a href=""https://cestercamillo.it/"">Website</a>","<a href=""https://www.facebook.com/cestercamillo/"">Facebook</a>","<a href=""https://www.instagram.com/cestercamillo"">Instagram</a>","<a href=""https://maps.google.com/?cid=8941056702037722200"">Google</a>",,"<a href=""https://untappd.com/w/cester-camillo/311065"">Untappd</a>"
New World Cider - Medium,🥉 Bronze,Hills Cider,Cloudy Apple,South Australia,81.5,,"<a href=""https://www.facebook.com/thehillscidercompany"">Facebook</a>","<a href=""https://www.instagram.com/thehillscidercompany/"">Instagram</a>","<a href=""https://maps.google.com/?cid=40048064327732560"">Google</a>",,"<a href=""https://untappd.com/thehillscidercompany"">Untappd</a>"
New World Cider - Medium,🥉 Bronze,Rusty Bike,Apple Cider,South Australia,81.5,"<a href=""https://rustybike.com.au/"">Website</a>","<a href=""https://www.facebook.com/rustybike.com.au/"">Facebook</a>","<a href=""https://www.instagram.com/rustybikewines/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2086180301930276726"">Google</a>",,"<a href=""https://untappd.com/w/rusty-bike-wines-ciders/424227"">Untappd</a>"
New World Cider - Medium,🥉 Bronze,LOBO Cider,Cloudy,South Australia,79,"<a href=""https://www.lobocider.com.au/"">Website</a>","<a href=""https://www.facebook.com/LOBOcider/"">Facebook</a>","<a href=""https://www.instagram.com/lobocider"">Instagram</a>",,,"<a href=""https://untappd.com/brewery/8446"">Untappd</a>"
New World Cider - Medium,🥉 Bronze,The Apple Thief,Granny Smith Cider,New South Wales,78.5,"<a href=""https://theapplethief.com.au/"">Website</a>","<a href=""https://www.facebook.com/TheAppleThiefCiders/"">Facebook</a>","<a href=""https://www.instagram.com/theapplethiefciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4762631239680624675"">Google</a>",,"<a href=""https://untappd.com/brewery/21796"">Untappd</a>"
New World Cider - Medium,🥉 Bronze,Archer,Apple Cider,Queensland,78,"<a href=""https://www.archerbrewing.com.au/"">Website</a>","<a href=""https://www.facebook.com/archerbrewingaus"">Facebook</a>","<a href=""https://www.instagram.com/archerbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4414488942984174656"">Google</a>",,"<a href=""https://untappd.com/archerbrewingaus"">Untappd</a>"
New World Cider - Medium,🥉 Bronze,Peckham's,Apple,New Zealand,78,"<a href=""http://www.peckhams.co.nz/"">Website</a>",,,,,"<a href=""https://untappd.com/brewery/23755"">Untappd</a>"
New World Cider - Medium,🥉 Bronze,Flying Brick Cider Co,Draught Cider,Victoria,77.5,"<a href=""https://flyingbrickciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/flyingbrickciderco"">Facebook</a>","<a href=""https://www.instagram.com/flyingbrickciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=413601929230884265"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1937720-d7332877"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/33883"">Untappd</a>"
New World Cider - Medium,🥉 Bronze,Sunshine Coast Cider,Sunshine Cider,Queensland,77.5,"<a href=""https://www.sunshinecoastcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/sunshinecoastcider/"">Facebook</a>","<a href=""https://www.instagram.com/sunshinecoastcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10163774916123498605"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g7815622-d21508891"">TripAdvisor</a>","<a href=""https://untappd.com/SunshineCoastCider"">Untappd</a>"
New World Cider - Medium,🥉 Bronze,Willie Smith's Tasmanian,Organic Apple Cider,Tasmania,77.5,"<a href=""https://www.williesmiths.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198"">Facebook</a>","<a href=""https://www.instagram.com/williesmithscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16057012530083496420"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074"">TripAdvisor</a>","<a href=""https://untappd.com/WilliamSmithandSons"">Untappd</a>"
New World Cider - Medium Sweet,🥇 Gold,Hillbilly Cider,Apple,New South Wales,95,"<a href=""https://hillbillycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/HillbillyCider/"">Facebook</a>","<a href=""https://www.instagram.com/hillbillycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=904695025997043027"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d12290596"">TripAdvisor</a>","<a href=""https://untappd.com/w/hillbilly-harvest-co/44163"">Untappd</a>"
New World Cider - Medium Sweet,🥇 Gold,Eddies Cider,Crisp Apple,Victoria,93.5,"<a href=""https://www.eddiescider.com.au/"">Website</a>","<a href=""https://www.facebook.com/EddiesCider/"">Facebook</a>","<a href=""https://www.instagram.com/eddies_organic_cider/"">Instagram</a>",,,"<a href=""https://untappd.com/w/eddies-cider/424405"">Untappd</a>"
