Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Willie Smith's Tasmanian,Tasmania,0,4,8,12,"<a href=""https://www.williesmiths.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198"">Facebook</a>","<a href=""https://www.instagram.com/williesmithscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16057012530083496420"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074"">TripAdvisor</a>","<a href=""https://untappd.com/WilliamSmithandSons"">Untappd</a>"
Flying Brick Cider Co,Victoria,0,3,6,9,"<a href=""https://flyingbrickciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/flyingbrickciderco"">Facebook</a>","<a href=""https://www.instagram.com/flyingbrickciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=413601929230884265"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1937720-d7332877"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/33883"">Untappd</a>"
Bilpin Cider,New South Wales,1,1,6,8,"<a href=""https://bilpincider.com/"">Website</a>","<a href=""https://www.facebook.com/bilpincider"">Facebook</a>","<a href=""https://www.instagram.com/bilpincider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1982319036704250930"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18734"">Untappd</a>"
Spreyton Cider Co,Tasmania,0,3,5,8,"<a href=""https://www.spreytonciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/SpreytonCiderCo"">Facebook</a>","<a href=""https://www.instagram.com/spreytonciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4719454766033276507"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g504292-d3738226"">TripAdvisor</a>","<a href=""https://untappd.com/SpreytonCiderCo"">Untappd</a>"
Carmel Cider,Western Australia,1,2,4,7,"<a href=""https://carmelcider.com.au/"">Website</a>",,"<a href=""https://www.instagram.com/carmel_cider"">Instagram</a>","<a href=""https://maps.google.com/?cid=9888810503901269588"">Google</a>",,"<a href=""https://untappd.com/CarmelCiderCompany"">Untappd</a>"
Hillbilly Cider,New South Wales,1,2,4,7,"<a href=""https://hillbillycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/HillbillyCider/"">Facebook</a>","<a href=""https://www.instagram.com/hillbillycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=904695025997043027"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d12290596"">TripAdvisor</a>","<a href=""https://untappd.com/w/hillbilly-harvest-co/44163"">Untappd</a>"
LOBO Cider,South Australia,0,3,4,7,"<a href=""https://www.lobocider.com.au/"">Website</a>","<a href=""https://www.facebook.com/LOBOcider/"">Facebook</a>","<a href=""https://www.instagram.com/lobocider"">Instagram</a>",,,"<a href=""https://untappd.com/brewery/8446"">Untappd</a>"
Plenty,Tasmania,2,0,4,6,"<a href=""https://www.plentycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/plentycider/"">Facebook</a>","<a href=""https://www.instagram.com/plentycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=108618394510087143"">Google</a>",,"<a href=""https://untappd.com/w/plenty-cider/454183"">Untappd</a>"
The Apple Thief,New South Wales,0,1,5,6,"<a href=""https://theapplethief.com.au/"">Website</a>","<a href=""https://www.facebook.com/TheAppleThiefCiders/"">Facebook</a>","<a href=""https://www.instagram.com/theapplethiefciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4762631239680624675"">Google</a>",,"<a href=""https://untappd.com/brewery/21796"">Untappd</a>"
Lenswood Cider Company,South Australia,0,2,3,5,"<a href=""https://www.lenswoodciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/lenswoodciderco"">Facebook</a>","<a href=""https://www.instagram.com/lenswoodciderco/"">Instagram</a>",,,"<a href=""https://untappd.com/w/lenswood-cider-co/472218"">Untappd</a>"
Monkey Rock Cider,Western Australia,0,2,3,5,"<a href=""https://www.monkeyrockwinery.com.au/"">Website</a>","<a href=""https://www.facebook.com/monkeyrockwinerydenmarkWA"">Facebook</a>","<a href=""https://www.instagram.com/monkeyrockwineryandcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4216191327395483874"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g488338-d18942597"">TripAdvisor</a>","<a href=""https://untappd.com/w/monkey-rock-cider/488303"">Untappd</a>"
Peckham's,New Zealand,0,2,3,5,"<a href=""http://www.peckhams.co.nz/"">Website</a>",,,,,"<a href=""https://untappd.com/brewery/23755"">Untappd</a>"
Small Acres Cyder,New South Wales,0,2,3,5,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
DV Cider,Victoria,1,1,2,4,"<a href=""https://dvcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/darraweitvalleycider/"">Facebook</a>","<a href=""https://www.instagram.com/dvcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9100243841087380471"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g27087874-d21406538"">TripAdvisor</a>","<a href=""https://untappd.com/DarraweitValleyCider"">Untappd</a>"
Hills Cider,South Australia,1,1,2,4,,"<a href=""https://www.facebook.com/thehillscidercompany"">Facebook</a>","<a href=""https://www.instagram.com/thehillscidercompany/"">Instagram</a>","<a href=""https://maps.google.com/?cid=40048064327732560"">Google</a>",,"<a href=""https://untappd.com/thehillscidercompany"">Untappd</a>"
Bradys Lookout Cider,Tasmania,0,3,1,4,"<a href=""https://www.bradyslookoutcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/bradyslookoutcider"">Facebook</a>","<a href=""https://www.instagram.com/bradys_lookout_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17861747211596541785"">Google</a>",,"<a href=""https://untappd.com/w/brady-s-lookout/225207"">Untappd</a>"
Napoleone Cider,Victoria,1,1,1,3,"<a href=""https://napoleone.com.au/"">Website</a>","<a href=""https://www.facebook.com/napoleoneorchardbar"">Facebook</a>","<a href=""https://www.instagram.com/napoleonecider"">Instagram</a>","<a href=""https://maps.google.com/?cid=3472985488113617215"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1205102-d7980976"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3800"">Untappd</a>"
Daylesford Cider,Victoria,0,3,0,3,"<a href=""https://daylesfordcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/DaylesfordCider"">Facebook</a>","<a href=""https://www.instagram.com/daylesfordcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3704200538482217988"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2533620-d4506486"">TripAdvisor</a>","<a href=""https://untappd.com/w/daylesford-cider-company/15899"">Untappd</a>"
Barossa Cider Co,South Australia,0,1,2,3,"<a href=""https://barossavalleyciderco.com/"">Website</a>","<a href=""https://www.facebook.com/barossacider/"">Facebook</a>","<a href=""https://www.instagram.com/barossacider.co/"">Instagram</a>",,,"<a href=""https://untappd.com/TheBarossaValleyCiderCo"">Untappd</a>"
Gurneys Cider,Victoria,0,1,2,3,"<a href=""https://gurneyscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/gurneyscider"">Facebook</a>","<a href=""https://www.instagram.com/gurneyscidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17296225831182939561"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g552172-d15180819"">TripAdvisor</a>","<a href=""https://untappd.com/GurneysCider"">Untappd</a>"
Sydney Brewery,New South Wales,0,1,2,3,"<a href=""https://sydneybrewery.com/"">Website</a>","<a href=""https://www.facebook.com/SydneyBrewery/"">Facebook</a>","<a href=""https://www.instagram.com/sydneybrewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6674617705014025022"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g23197656-d15602287"">TripAdvisor</a>","<a href=""https://untappd.com/SydneyBrewhouse"">Untappd</a>"
Frank's Cider,Tasmania,0,0,3,3,"<a href=""https://www.frankscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/FranksCider"">Facebook</a>","<a href=""https://www.instagram.com/frankscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281895632138757991"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g504298-d7270183"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/66943"">Untappd</a>"
St Ronan’s Cider,Victoria,1,1,0,2,"<a href=""https://stronanscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/StRonansCider"">Facebook</a>","<a href=""https://www.instagram.com/st_ronans_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1347860416011573691"">Google</a>",,"<a href=""https://untappd.com/StRonansCider"">Untappd</a>"
Eddies Cider,Victoria,1,0,1,2,"<a href=""https://www.eddiescider.com.au/"">Website</a>","<a href=""https://www.facebook.com/EddiesCider/"">Facebook</a>","<a href=""https://www.instagram.com/eddies_organic_cider/"">Instagram</a>",,,"<a href=""https://untappd.com/w/eddies-cider/424405"">Untappd</a>"
Incy Wincy Cyder,New South Wales,1,0,1,2,"<a href=""https://www.incywincycyder.com/"">Website</a>","<a href=""https://www.facebook.com/incywincycyder/"">Facebook</a>","<a href=""https://www.instagram.com/incywincycyder_orange"">Instagram</a>",,,"<a href=""https://untappd.com/w/incy-wincy-cyder/413318"">Untappd</a>"
Kangaroo Island Ciders,South Australia,0,2,0,2,"<a href=""https://www.kangarooislandciders.com.au/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=7120331639179318476"">Google</a>",,"<a href=""https://untappd.com/w/kangaroo-island-ciders/62318"">Untappd</a>"
Bruny Island Cider,Tasmania,0,1,1,2,"<a href=""https://www.brunyisland.com/catalogue/bruny-island-cider/"">Website</a>","<a href=""https://www.facebook.com/BrunyIslandCider/"">Facebook</a>","<a href=""https://www.instagram.com/brunyislandcider/"">Instagram</a>",,,"<a href=""https://untappd.com/w/bruny-island-cider/235917"">Untappd</a>"
Mock Red Hill,Victoria,0,1,1,2,"<a href=""https://www.mockredhill.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Mock-Red-Hill/181240308586996"">Facebook</a>","<a href=""https://www.instagram.com/mockredhill/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10552205982251777171"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g552249-d9793363"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/28770"">Untappd</a>"
Sunshine Coast Cider,Queensland,0,1,1,2,"<a href=""https://www.sunshinecoastcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/sunshinecoastcider/"">Facebook</a>","<a href=""https://www.instagram.com/sunshinecoastcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10163774916123498605"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g7815622-d21508891"">TripAdvisor</a>","<a href=""https://untappd.com/SunshineCoastCider"">Untappd</a>"
Twisted Sister,Victoria,0,1,1,2,"<a href=""https://www.grand-ridge.com.au/"">Website</a>","<a href=""https://www.facebook.com/grandridgebrewery"">Facebook</a>","<a href=""https://www.instagram.com/grandridgebeer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8403918293255045179"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g552213-d4791367"">TripAdvisor</a>","<a href=""https://untappd.com/GrandRidgeBrewery"">Untappd</a>"
Hart’s Farm,Victoria,0,0,2,2,"<a href=""https://www.hartsfarm.com.au/"">Website</a>","<a href=""https://www.facebook.com/Hartsfarm.morningtonpeninsula"">Facebook</a>","<a href=""https://www.instagram.com/hartsfarm"">Instagram</a>","<a href=""https://maps.google.com/?cid=10474103931088012940"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g552256-d2477464"">TripAdvisor</a>","<a href=""https://untappd.com/w/hart-s-farm/278622"">Untappd</a>"
Yallingup Cider Co.,Western Australia,0,0,2,2,"<a href=""https://www.yallingupciderco.com.au/"">Website</a>",,"<a href=""https://www.instagram.com/yallingupciderco/"">Instagram</a>",,,
Ninch Cider,Tasmania,1,0,0,1,,,"<a href=""https://www.instagram.com/ninchcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10134826457369794124"">Google</a>",,
Simple,Tasmania,1,0,0,1,"<a href=""https://simplecider.com.au/"">Website</a>","<a href=""https://www.facebook.com/simplecider"">Facebook</a>","<a href=""https://www.instagram.com/simple.cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16786558994979050480"">Google</a>",,"<a href=""https://untappd.com/w/simple-cider/259809"">Untappd</a>"
Borrodell Estate,New South Wales,0,1,0,1,"<a href=""https://www.borrodell.com.au/"">Website</a>","<a href=""https://www.facebook.com/BorrodellVineyard/"">Facebook</a>","<a href=""https://www.instagram.com/borrodell_vineyard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9113164481963775697"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g255326-d4469466"">TripAdvisor</a>","<a href=""https://untappd.com/w/borrodell-vineyard/42488"">Untappd</a>"
Crafty Cider,New South Wales,0,1,0,1,"<a href=""https://www.craftycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/craftyciderbatlow"">Facebook</a>","<a href=""https://www.instagram.com/craftyciderbatlow/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15536909893508302345"">Google</a>",,"<a href=""https://untappd.com/w/crafty-cider/460789"">Untappd</a>"
Kerisac,France,0,1,0,1,"<a href=""https://kerisac.bzh/"">Website</a>","<a href=""https://www.facebook.com/cidrekerisac"">Facebook</a>","<a href=""https://www.instagram.com/cidreriekerisac/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14431639837198759734"">Google</a>",,"<a href=""https://untappd.com/w/cidres-kerisac/12846"">Untappd</a>"
PRAH,Tasmania,0,1,0,1,"<a href=""https://www.prah.au/"">Website</a>",,,,,
St Andrews Beach Brewery,Victoria,0,1,0,1,"<a href=""https://standrewsbeachbrewery.com.au/"">Website</a>","<a href=""https://www.facebook.com/sab.brewery/"">Facebook</a>","<a href=""https://www.instagram.com/sab.brewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3674219969181670288"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1800212-d13141758"">TripAdvisor</a>","<a href=""https://untappd.com/StAndrewsBeachBrewery"">Untappd</a>"
3 Sons Cider,Australian Capital Territory,0,0,1,1,"<a href=""http://www.3sonscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/3SonsCider/"">Facebook</a>","<a href=""https://www.instagram.com/3sonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16285596579467432961"">Google</a>",,"<a href=""https://untappd.com/3sonscider"">Untappd</a>"
