Category,Medalist,Entry,Country,Award,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Tannic Cider - Dry,Bauman’s Cider Company,Do You Fancy A Roadtrip?,United States,🥇 GOLD,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
Tannic Cider - Dry,Bauman’s Cider Company,Sauvie Island Blend,United States,🥈 SILVER,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
Tannic Cider - Dry,Hogan’s Cider,Hogan’s Dry Cider,England,🥉 BRONZE,https://www.hoganscider.co.uk/,https://www.facebook.com/HogansCider/,https://www.instagram.com/hoganscider/,https://maps.google.com/?cid=344551779062280462,,https://untappd.com/brewery/27309
Tannic Cider - Medium,2 Towns Ciderhouse,2022 Cidre Bouché,United States,🥇 GOLD,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Tannic Cider - Medium,Bauman’s Cider Company,Little Green Apples,United States,🥈 SILVER,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
Tannic Cider - Medium,2 Towns Ciderhouse,Kingston Black Single Varietal,United States,🥉 BRONZE,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Tannic Cider - Sweet,Dunkertons Organic Cider,Vintage Organic Cider,England,🥇 GOLD,https://www.dunkertonscider.co.uk/,https://www.facebook.com/dunkertonsorganiccider/,https://www.instagram.com/dunkertonscider/,https://maps.google.com/?cid=4719921113153419800,,https://untappd.com/brewery/12988
Modern Cider - Dry,Bauman’s Cider Company,Authentic Cider,United States,🥇 GOLD,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
Modern Cider - Dry,Alde,Alde Sider,Norway,🥈 SILVER,https://www.aldesider.no/,https://www.facebook.com/aldesider,https://www.instagram.com/aldesider/,https://maps.google.com/?cid=7838999053969928967,,https://untappd.com/Alde_hardanger
Modern Cider - Medium,"Valle, Ballina y Fernandez",Sidra El Gaitero Etiqueta Negra,Spain,🥇 GOLD,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266
