Medalist,Country,🥇 Gold,🥈 Silver,🥉 Bronze,Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Bauman’s Cider Company,United States,2,3,0,5,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
Stonewell Cider,Ireland,2,1,0,3,https://www.stonewellcider.com/,https://www.facebook.com/stonewellcider,https://www.instagram.com/stonewellcider/,https://maps.google.com/?cid=6638378960827420170,,https://untappd.com/Nohoval_Drinks_Company_Ltd
Alde,Norway,1,1,0,2,https://www.aldesider.no/,https://www.facebook.com/aldesider,https://www.instagram.com/aldesider/,https://maps.google.com/?cid=7838999053969928967,,https://untappd.com/Alde_hardanger
Portland Cider Company,United States,1,1,0,2,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260
"Valle, Ballina y Fernandez",Spain,1,1,0,2,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266
2 Towns Ciderhouse,United States,1,0,1,2,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Black Apple Hard Cider,United States,1,0,0,1,https://www.blackapplehardcider.com/,https://www.facebook.com/blackapplecrossing/,https://www.instagram.com/blackapplehardcider/,https://maps.google.com/?cid=5449257929643515916,https://www.tripadvisor.com/Attraction_Review-g31931-d8814858,https://untappd.com/w/black-apple-crossing/211057
Cotswold Cider Company,England,1,0,0,1,https://www.cotswoldciderco.com/,https://www.facebook.com/CotswoldCiderCompany,https://www.instagram.com/cotswoldciderco/,,,https://untappd.com/TheCotswoldCiderCompany
Dunkertons Organic Cider,England,1,0,0,1,https://www.dunkertonscider.co.uk/,https://www.facebook.com/dunkertonsorganiccider/,https://www.instagram.com/dunkertonscider/,https://maps.google.com/?cid=4719921113153419800,,https://untappd.com/brewery/12988
Lepola Drinks,Finland,1,0,0,1,https://lepoladrinks.fi/,https://www.facebook.com/lepoladrinks/,https://www.instagram.com/lepola_drinks/,https://maps.google.com/?cid=10912023971262858580,,https://untappd.com/w/lepola/401095
OmCider,Norway,1,0,0,1,https://omcider.no/,https://www.facebook.com/OmCiderAS/,https://www.instagram.com/omcideras/,https://maps.google.com/?cid=1800091822223931241,,https://untappd.com/w/omcider/492586
Stassen Cidrerie,Belgium,0,1,2,3,https://www.cidreriestassen.com/,,,https://maps.google.com/?cid=3414465612960585932,,https://untappd.com/w/stassen-vin-cie/12274
Stormalong Cider,United States,0,1,1,2,https://www.stormalong.com/,https://www.facebook.com/stormalongcider/,https://www.instagram.com/stormalongcider/,https://maps.google.com/?cid=9791117786097773397,,https://untappd.com/w/stormalong-cider/182598
Brooklyn Cider House,United States,0,1,0,1,http://brooklynciderhouse.com/,,https://www.instagram.com/brooklynciderhouse/,https://maps.google.com/?cid=3244654366527486527,,https://untappd.com/w/brooklyn-cider-house/234267
Mosterei Möhl,Switzerland,0,1,0,1,https://www.moehl.ch/,https://www.facebook.com/saftvomfass/,https://www.instagram.com/mosterei_moehl/,https://maps.google.com/?cid=2429351855518192196,,https://untappd.com/w/mosterei-mohl/21631
Pembrokeshire Cider,Wales,0,1,0,1,https://pembrokeshirecider.co.uk/,https://www.facebook.com/PembrokeshireCider,https://www.instagram.com/pembrokeshirecider/,https://maps.google.com/?cid=7076376665804890949,,https://untappd.com/w/the-pembrokeshire-cider-co/356892
Hogan’s Cider,England,0,0,1,1,https://www.hoganscider.co.uk/,https://www.facebook.com/HogansCider/,https://www.instagram.com/hoganscider/,https://maps.google.com/?cid=344551779062280462,,https://untappd.com/brewery/27309
James Creek Cider House,United States,0,0,1,1,https://jamescreekciderhouse.com/,https://www.facebook.com/jamescreekciderhouse,https://www.instagram.com/jamescreekciderhouse/,https://maps.google.com/?cid=8654485681895206331,,https://untappd.com/w/james-creek-cider-house/291592
Newton Court Cider,England,0,0,1,1,https://www.newtoncourtcider.com/,https://www.facebook.com/newtonscider/,https://www.instagram.com/newtoncourtcider/,https://maps.google.com/?cid=16599711403513185285,https://www.tripadvisor.com/Attraction_Review-g1936778-d7940383,https://untappd.com/NewtonCourtCidery
Total,,13,12,7,32,,,,,,
