Name,Town/City,Region,Country,Primary Type,Google,Website,Facebook,Instagram,Yelp,TripAdvisor,Untappd,GLINTCAP,AKA
45 North Vineyard & Winery,Lake Leelanau,Michigan,United States,Wine,"<a href=""https://maps.google.com/?cid=11817740184078021050"">Google</a>","<a href=""https://fortyfivenorth.com/"">Website</a>","<a href=""https://www.facebook.com/fortyfivenorth"">Facebook</a>","<a href=""https://www.instagram.com/45northwinery/"">Instagram</a>","<a href=""https://www.yelp.com/biz/45-north-vineyard-and-winery-lake-leelanau"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42381-d1748282"">TripAdvisor</a>","<a href=""https://untappd.com/w/45-north-vineyard-and-winery/45228"">Untappd</a>","<a href=""https://ciderguide.com/45-north-vineyard-winery/"">GLINTCAP</a>",
JK's Farmhouse Ciders,Flushing,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=9785317642581217954"">Google</a>","<a href=""http://jksfarmhouseciders.com/"">Website</a>","<a href=""https://www.facebook.com/jksfarmhouseciders"">Facebook</a>","<a href=""https://www.instagram.com/jksfarmhouseciders/"">Instagram</a>","<a href=""https://www.yelp.com/biz/almar-orchards-flushing-2"">Yelp</a>",,"<a href=""https://untappd.com/w/jks-farmhouse-ciders/2931"">Untappd</a>","<a href=""https://ciderguide.com/jks-farmhouse-ciders/"">GLINTCAP</a>","Almar Orchards, JK's Scrumpy"
B. Nektar,Ferndale,Michigan,United States,Mead,"<a href=""https://maps.google.com/?cid=8558313972907611413"">Google</a>","<a href=""http://www.bnektar.com/"">Website</a>","<a href=""https://www.facebook.com/b.nektar"">Facebook</a>","<a href=""https://www.instagram.com/bnektar/"">Instagram</a>","<a href=""https://www.yelp.com/biz/b-nektar-meadery-ferndale"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42201-d15113872"">TripAdvisor</a>","<a href=""https://untappd.com/w/b-nektar-meadery/3344"">Untappd</a>","<a href=""https://ciderguide.com/b-nektar/"">GLINTCAP</a>",
Bee Well Mead & Cider,Bellaire,Michigan,United States,Mead,"<a href=""https://maps.google.com/?cid=18233410544073263210"">Google</a>","<a href=""http://beewellmeadery.com/"">Website</a>","<a href=""https://www.facebook.com/BeeWellMeadery"">Facebook</a>","<a href=""https://www.instagram.com/beewellmeadery/"">Instagram</a>","<a href=""https://www.yelp.com/biz/bee-well-mead-and-cider-bellaire"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g41979-d11660893"">TripAdvisor</a>","<a href=""https://untappd.com/w/bee-well-meadery/157480"">Untappd</a>","<a href=""https://ciderguide.com/bee-well-mead-cider/"">GLINTCAP</a>",
Bel Lago Winery,Cedar,Michigan,United States,Wine,"<a href=""https://maps.google.com/?cid=4644233978350648994"">Google</a>","<a href=""http://bellago.com/"">Website</a>","<a href=""https://www.facebook.com/Bellagowinery"">Facebook</a>","<a href=""https://www.instagram.com/bellagowinery/"">Instagram</a>","<a href=""https://www.yelp.com/biz/bel-lago-vineyards-and-winery-cedar"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42056-d1748278"">TripAdvisor</a>","<a href=""https://untappd.com/w/bel-lago/222677"">Untappd</a>","<a href=""https://ciderguide.com/bel-lago-winery/"">GLINTCAP</a>",
Bennett's Orchard,Ottawa Lake,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=13880658489152612822"">Google</a>",,"<a href=""https://www.facebook.com/bennettsorchard"">Facebook</a>","<a href=""https://www.instagram.com/bennetts_orchard/"">Instagram</a>","<a href=""https://www.yelp.com/biz/bennett-orchard-ottawa-lake"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42565-d7151113"">TripAdvisor</a>","<a href=""https://untappd.com/w/bennett-s-orchard/294365"">Untappd</a>",,Broken Barrel Hard Cider
Winery at Black Star Farms,Suttons Bay,Michigan,United States,Wine,"<a href=""https://maps.google.com/?cid=7449332961214465656"">Google</a>","<a href=""http://www.blackstarfarms.com/"">Website</a>","<a href=""https://www.facebook.com/blackstarfarms"">Facebook</a>","<a href=""https://www.instagram.com/blackstarfarms/"">Instagram</a>","<a href=""https://www.yelp.com/biz/black-star-farms-suttons-bay"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42743-d1748288"">TripAdvisor</a>","<a href=""https://untappd.com/w/black-star-farms/13650"">Untappd</a>","<a href=""https://ciderguide.com/winery-at-black-star-farms/"">GLINTCAP</a>",
Blake's Hard Cider Co.,Armada,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=15855146673119620480"">Google</a>","<a href=""http://www.blakeshardcider.com/"">Website</a>","<a href=""https://www.facebook.com/blakeshardciderco"">Facebook</a>","<a href=""https://www.instagram.com/blakeshardciderco/"">Instagram</a>","<a href=""https://www.yelp.com/biz/blakes-ciderhouse-and-winery-armada"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g29560-d6678501"">TripAdvisor</a>","<a href=""https://untappd.com/w/blakes-hard-cider-company/86334"">Untappd</a>","<a href=""https://ciderguide.com/blakes-hard-cider-co/"">GLINTCAP</a>",
Blustone Vineyards,Lake Leelanau,Michigan,United States,Wine,"<a href=""https://maps.google.com/?cid=3318747479087043203"">Google</a>","<a href=""https://www.blustonevineyards.com/"">Website</a>","<a href=""https://www.facebook.com/blustonevineyards"">Facebook</a>","<a href=""https://www.instagram.com/blustonevineyards/"">Instagram</a>","<a href=""https://www.yelp.com/biz/blustone-vineyards-lake-leelanau"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42381-d3746608"">TripAdvisor</a>","<a href=""https://untappd.com/w/blustone-vineyards/219697"">Untappd</a>",,
Boss Cider Company,Leslie,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=1969051789610674635"">Google</a>","<a href=""https://www.bosscider.com/"">Website</a>","<a href=""https://www.facebook.com/BossCider"">Facebook</a>","<a href=""https://www.instagram.com/bosscider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/boss-cider-leslie"">Yelp</a>",,"<a href=""https://untappd.com/w/boss-cider-company/445688"">Untappd</a>","<a href=""https://ciderguide.com/boss-cider-company/"">GLINTCAP</a>",
