Year,Award,Producer,Product,State,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2016,🏆 Winner,AeppelTreow Winery & Distillery,Barn Swallow Cider,Wisconsin,Active,"<a href=""http://aeppeltreow.com/"">Website</a>","<a href=""https://www.facebook.com/Aeppeltreow.Ciders/"">Facebook</a>","<a href=""https://www.instagram.com/aeppeltreow_ciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14330457100802755750"">Google</a>","<a href=""https://www.yelp.com/biz/aeppeltreow-winery-burlington"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g59742-d8355389"">TripAdvisor</a>","<a href=""https://untappd.com/w/aeppeltreow-winery-and-distillery/5397"">Untappd</a>"
2016,🏆 Winner,Argus Cidery,Malus Cuvée Still Apple Wine,Texas,Active,"<a href=""http://www.arguscidery.com/"">Website</a>","<a href=""https://www.facebook.com/arguscidery"">Facebook</a>","<a href=""https://www.instagram.com/arguscidery/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/argus-cidery/10075"">Untappd</a>"
2016,🏆 Winner,Art+Science Cider & Wine,Wild Perry,Oregon,Active,"<a href=""https://www.artandsciencenw.com/"">Website</a>",,"<a href=""https://www.instagram.com/art_science_cider_wine/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4459649670680406192"">Google</a>","<a href=""https://www.yelp.com/biz/art-science-cider-and-wine-sheridan"">Yelp</a>",,"<a href=""https://untappd.com/w/art-and-science/220656"">Untappd</a>"
2016,🏆 Winner,Big B's Hard Cider,Orchard Original,Colorado,Active,"<a href=""http://www.bigbs.com/"">Website</a>","<a href=""https://www.facebook.com/visitbigbs"">Facebook</a>","<a href=""https://www.instagram.com/drinkbigbs"">Instagram</a>","<a href=""https://maps.google.com/?cid=78577038036310991"">Google</a>","<a href=""https://www.yelp.com/biz/delicious-orchards-hotchkiss"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856"">TripAdvisor</a>","<a href=""https://untappd.com/w/big-bs-fabulous-juices/100389"">Untappd</a>"
2016,🏆 Winner,Big B's Hard Cider,Pear Supply,Colorado,Active,"<a href=""http://www.bigbs.com/"">Website</a>","<a href=""https://www.facebook.com/visitbigbs"">Facebook</a>","<a href=""https://www.instagram.com/drinkbigbs"">Instagram</a>","<a href=""https://maps.google.com/?cid=78577038036310991"">Google</a>","<a href=""https://www.yelp.com/biz/delicious-orchards-hotchkiss"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856"">TripAdvisor</a>","<a href=""https://untappd.com/w/big-bs-fabulous-juices/100389"">Untappd</a>"
2016,🏆 Winner,Eden Ciders,Semi-Dry Naturally Sparkling Cider,Vermont,Active,"<a href=""https://www.edenciders.com/"">Website</a>","<a href=""https://facebook.com/edenspecialtyciders"">Facebook</a>","<a href=""https://www.instagram.com/edenciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1133141626652589768"">Google</a>","<a href=""https://www.yelp.com/biz/northeast-kingdom-tasting-center-newport"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g57335-d4675348"">TripAdvisor</a>","<a href=""https://untappd.com/w/eden-specialty-ciders/13108"">Untappd</a>"
2016,🏆 Winner,Eden Ciders,Heirloom Blend Ice Cider,Vermont,Active,"<a href=""https://www.edenciders.com/"">Website</a>","<a href=""https://facebook.com/edenspecialtyciders"">Facebook</a>","<a href=""https://www.instagram.com/edenciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1133141626652589768"">Google</a>","<a href=""https://www.yelp.com/biz/northeast-kingdom-tasting-center-newport"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g57335-d4675348"">TripAdvisor</a>","<a href=""https://untappd.com/w/eden-specialty-ciders/13108"">Untappd</a>"
2016,🏆 Winner,Ela Cider Co.,Stone Silo,Wisconsin,Inactive,,,,,,,
2016,🏆 Winner,Eve's Cidery,Albee Hill 2014,New York,Active,"<a href=""http://www.evescidery.com/"">Website</a>","<a href=""https://www.facebook.com/evescidery/"">Facebook</a>","<a href=""https://www.instagram.com/evescidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1539722496531765665"">Google</a>",,,"<a href=""https://untappd.com/w/eves-cidery/5396"">Untappd</a>"
2016,🏆 Winner,Finnriver Farm & Cidery,Firebarrel Cider,Washington,Active,"<a href=""https://www.finnriver.com/"">Website</a>","<a href=""https://www.facebook.com/finnriver"">Facebook</a>","<a href=""https://www.instagram.com/finnriver/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1802892066987578987"">Google</a>","<a href=""https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58399-d10595866"">TripAdvisor</a>","<a href=""https://untappd.com/w/finnriver-farm-and-cidery/3008"">Untappd</a>"
2016,🏆 Winner,Shacksbury Cider,Lost & Found,Vermont,Active,"<a href=""http://www.shacksbury.com/"">Website</a>",,"<a href=""https://www.instagram.com/shacksbury/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3671325142868281556"">Google</a>","<a href=""https://www.yelp.com/biz/shacksbury-cider-vergennes"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57429-d12946890"">TripAdvisor</a>","<a href=""https://untappd.com/w/shacksbury-cider/129613"">Untappd</a>"
