Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,Total,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Vermont Cider Co.,Vermont,3,2,1,6,http://www.woodchuck.com/,https://www.facebook.com/WoodchuckCider,https://www.instagram.com/woodchuckcider/,https://maps.google.com/?cid=9402882086420367798,https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury,https://www.tripadvisor.com/Attraction_Review-g57245-d7022345,https://untappd.com/w/woodchuck-cidery/611
Thornbury Craft Co.,Ontario,2,2,1,5,https://thornburycraft.com/,https://www.facebook.com/thornburycraft,https://www.instagram.com/thornburycraft/,https://maps.google.com/?cid=17950053116977107226,https://www.yelp.com/biz/thornbury-village-cider-house-the-blue-mountains,https://www.tripadvisor.com/Attraction_Review-g676258-d12453165,https://untappd.com/w/thornbury-village-cidery-and-brewery/10936
Glacial Till Winery,Nebraska,2,1,3,6,http://www.glacialtillvineyard.com/,https://www.facebook.com/glacialtillvineyard,https://www.instagram.com/glacialtillvineyard/,https://maps.google.com/?cid=185099829414435279,https://www.yelp.com/biz/glacial-till-tasting-room-ashland,https://www.tripadvisor.com/Attraction_Review-g29709-d5832186,https://untappd.com/w/glacial-till-vineyard-and-winery/223758
Black Apple Hard Cider,Arkansas,2,1,1,4,https://www.blackapplehardcider.com/,https://www.facebook.com/blackapplecrossing/,https://www.instagram.com/blackapplehardcider/,https://maps.google.com/?cid=5449257929643515916,https://www.yelp.com/biz/black-apple-crossing-springdale,https://www.tripadvisor.com/Attraction_Review-g31931-d8814858,https://untappd.com/w/black-apple-crossing/211057
Wölffer Estate Vineyard,New York,2,1,0,3,http://www.wolffer.com/,,,https://maps.google.com/?cid=10690409208604454007,https://www.yelp.com/biz/wolffer-estate-vineyard-sagaponack,https://www.tripadvisor.com/Attraction_Review-g48542-d593572,https://untappd.com/w/wolffer-estate-vineyard/79243
Incline Cider,Washington,2,0,1,3,http://www.inclinecider.com/,https://www.facebook.com/inclinecider/,https://www.instagram.com/inclinecider/,https://maps.google.com/?cid=504944612388443997,https://www.yelp.com/biz/incline-cider-house-tacoma,https://www.tripadvisor.com/Attraction_Review-g58775-d22266571,https://untappd.com/w/incline-cider-company/249584
Bent Ladder,Ohio,2,0,0,2,http://bentladder.com/,https://www.facebook.com/bentladder,https://www.instagram.com/bentladder/,https://maps.google.com/?cid=5886580381731979881,https://www.yelp.com/biz/rittman-orchard-rittman,https://www.tripadvisor.com/Attraction_Review-g50283-d1977165,https://untappd.com/w/bent-ladder/295757
Cider Corps,Arizona,2,0,0,2,https://cidercorpsaz.com/,https://www.facebook.com/cidercorps/,https://www.instagram.com/cidercorps/,https://maps.google.com/?cid=9593182908980696987,https://www.yelp.com/biz/cider-corps-mesa-5,https://www.tripadvisor.com/Attraction_Review-g31281-d13003044,https://untappd.com/CiderCorps
Ciderboys Cider Co.,Wisconsin,1,2,2,5,http://www.ciderboys.com/,https://www.facebook.com/Ciderboys,https://www.instagram.com/Ciderboys/,https://maps.google.com/?cid=1756122992587390562,https://www.yelp.com/biz/stevens-point-brewery-stevens-point,https://www.tripadvisor.com/Attraction_Review-g60304-d2265035,https://untappd.com/w/ciderboys-hard-cider/44552
Schilling Cider,Washington,1,2,2,5,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,https://maps.google.com/?cid=12281308087911884522,,,https://untappd.com/w/schilling-cider/62413
Bold Rock Hard Cider,North Carolina,1,2,1,4,https://boldrock.com/,https://www.facebook.com/BoldRockHardCider/,https://www.instagram.com/boldrockhardcider/,https://maps.google.com/?cid=10604087929796439877,https://www.yelp.com/biz/bold-rock-hard-cider-mills-river-mills-river,https://www.tripadvisor.com/Attraction_Review-g1552723-d8862147,https://untappd.com/v/bold-rock-mills-river-cidery/3954545
FX Matt Brewing Company,New York,1,2,0,3,https://www.mckbev.com/,https://www.facebook.com/McKenziesHardCider/,https://www.instagram.com/mckenzieshardcider/,https://maps.google.com/?cid=16812627050434550372,https://www.yelp.com/biz/f-x-matt-brewing-utica,https://www.tripadvisor.com/Attraction_Review-g48759-d534580,https://untappd.com/w/mckenzies-hard-cider/10931
Country Boy Brewing,Kentucky,1,1,1,3,http://countryboybrewing.com/,https://www.facebook.com/CountryBoyBrewing,https://www.instagram.com/CountryBoybrewing/,https://maps.google.com/?cid=7007349802683802072,https://www.yelp.com/biz/country-boy-brewing-lexington,https://www.tripadvisor.com/Attraction_Review-g39588-d2661465,https://untappd.com/w/country-boy-brewing/23693
Coyote Hole Craft Beverages,Virginia,1,1,0,2,http://www.coyotehole.com/,https://www.facebook.com/CoyoteHole/,https://www.instagram.com/CoyoteHole/,https://maps.google.com/?cid=3893841626353972834,https://www.yelp.com/biz/coyote-hole-ciderworks-mineral,https://www.tripadvisor.com/Attraction_Review-g57973-d12510904,https://untappd.com/w/coyote-hole-ciderworks/327669
Missing Falls Brewery,Ohio,1,1,0,2,https://www.missingfalls.com/,https://www.facebook.com/MissingFallsBrewery/,https://www.instagram.com/missingfallsbrewery/,https://maps.google.com/?cid=16469758948621365687,https://www.yelp.com/biz/missing-falls-brewery-akron,https://www.tripadvisor.com/Restaurant_Review-g29912-d23413493,https://untappd.com/MissingFalls
Five Maidens Cider,Pennsylvania,1,0,3,4,https://5mcider.com/,https://www.facebook.com/5MCider/,https://www.instagram.com/5mcider/,https://maps.google.com/?cid=17669165397330541520,https://www.yelp.com/biz/five-maidens-cider-bethlehem,,https://untappd.com/FiveMaidensCiderCo
Dingo Dog Brewing Company,North Carolina,1,0,2,3,https://www.dingodogbrewing.com/,https://www.facebook.com/dingodogbrewing,https://www.instagram.com/dingodogbrewing/,https://maps.google.com/?cid=855662940419552138,https://www.yelp.com/biz/dingo-dog-brewing-company-carrboro,,https://untappd.com/DingoDogBrewing
Sapsucker Farms Yellow Belly Cidery,Minnesota,1,0,1,2,https://www.sapsuckerfarms.com/,https://www.facebook.com/YellowBellyCider/,https://www.instagram.com/sapsuckerfarms/,https://maps.google.com/?cid=10529182272851607589,https://www.yelp.com/biz/sapsucker-farms-yellow-belly-cidery-mora,https://www.tripadvisor.com/Attraction_Review-g43337-d15594799,https://untappd.com/w/sapsucker-farms/187535
Apple Barrel Orchards,New York,1,0,0,1,https://applebarrelorchards.com/,https://www.facebook.com/applebarrelorchards,https://www.instagram.com/applebarrelorchards,https://maps.google.com/?cid=6734152269443403352,https://www.yelp.com/biz/apple-barrel-orchards-penn-yan,https://www.tripadvisor.com/Attraction_Review-g48378-d7187340,https://untappd.com/w/apple-barrel-orchards/549035
Cherry Street Brewing,Georgia,1,0,0,1,https://cherrystreetbrewing.com/,https://www.facebook.com/cherrystreetbrewing/,https://www.instagram.com/cherrystreetbrewing/,https://maps.google.com/?cid=16068754441412803212,https://www.yelp.com/biz/cherry-street-brewing-cooperative-cumming,https://www.tripadvisor.com/Attraction_Review-g34877-d10428081,https://untappd.com/CherryStreetBrewing
High Limb Cider,Massachusetts,1,0,0,1,https://www.highlimbcider.com/,https://www.facebook.com/highlimbcider/,https://www.instagram.com/highlimbcider/,https://maps.google.com/?cid=11042855047844464741,https://www.yelp.com/biz/high-limb-cider-plymouth,https://www.tripadvisor.com/Attraction_Review-g41773-d21723351,https://untappd.com/w/high-limb-hard-cider/108620
Windmill Ridge Acres,Ontario,1,0,0,1,https://www.windmillridge.ca/,https://www.facebook.com/windmillridgeacres/,https://www.instagram.com/windmillridgeacres/,https://maps.google.com/?cid=15963586865573618177,,,https://untappd.com/w/windmill-ridge-craft-brew/539150
Vala’s Orchard Cider Co.,Nebraska,0,3,0,3,https://www.valasappleorchard.com/,https://www.facebook.com/ValasPumpkinPatch/,https://www.instagram.com/valaspumpkinpatch/,https://maps.google.com/?cid=15056510891597103165,https://www.yelp.com/biz/valas-pumpkin-patch-gretna,https://www.tripadvisor.com/Attraction_Review-g45597-d1932171,https://untappd.com/w/vala-s-pumpkin-patch/478866
Blake Farms Hard Apple Cider,Michigan,0,1,2,3,http://www.blakeshardcider.com/,https://www.facebook.com/blakeshardciderco,https://www.instagram.com/blakeshardciderco/,https://maps.google.com/?cid=15855146673119620480,https://www.yelp.com/biz/blakes-ciderhouse-and-winery-armada,https://www.tripadvisor.com/Attraction_Review-g29560-d6678501,https://untappd.com/w/blakes-hard-cider-company/86334
The Duxbury Cider Co.,Ontario,0,1,2,3,https://www.theduxburyciderco.ca/,https://www.facebook.com/DuxburyCider/,https://www.instagram.com/duxburycider/,https://maps.google.com/?cid=18178962492954171012,,,https://untappd.com/w/duxbury-cider-company/87748
Mountain West Hard Cider,Utah,0,1,1,2,http://mountainwestcider.com/,https://www.facebook.com/MountainWestHardCider/,https://www.instagram.com/mountainwestcider/,https://maps.google.com/?cid=16538924633378887108,https://www.yelp.com/biz/mountain-west-cider-salt-lake-city,,https://untappd.com/w/mountain-west-hard-cider/235312
One Tree Hard Cider,Washington,0,1,1,2,http://www.onetreehardcider.com/,https://www.facebook.com/OneTreeHardCider,https://www.instagram.com/onetreecider,https://maps.google.com/?cid=3782079883535213089,https://www.yelp.com/biz/one-tree-hard-cider-spokane-valley,https://www.tripadvisor.com/Restaurant_Review-g58759-d12802835,https://untappd.com/w/one-tree-hard-cider/141397
Apple Valley Cider Co.,Colorado,0,1,0,1,http://www.applevalleycider.com/,https://www.facebook.com/applevalleycider/,https://www.instagram.com/applevalleyciderco/,https://maps.google.com/?cid=8798456079688966999,,,https://untappd.com/w/apple-valley-cider-company/382129
Beach Bee Meadery,New Jersey,0,1,0,1,https://www.beachbeemeadery.com/,https://www.facebook.com/beachbeemeadery/,https://www.instagram.com/beachbeemeadery/,https://maps.google.com/?cid=3925888969412189535,https://www.yelp.com/biz/beach-bee-meadery-long-branch,https://www.tripadvisor.com/Attraction_Review-g46582-d21226866,https://untappd.com/w/beach-bee-meadery/452564
Convergence CiderWorks,Iowa,0,1,0,1,https://www.convergencecider.com/,https://www.facebook.com/convergencecider,https://www.instagram.com/convergence_ciderworks/,https://maps.google.com/?cid=3180343174506280077,https://www.yelp.com/biz/convergence-ciderworks-decorah-2,https://www.tripadvisor.com/Restaurant_Review-g37822-d23574179,https://untappd.com/ConvergenceCiderWorks
