Style,Year,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2005,0,1,1,1,3
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2006,0,1,2,5,8
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2007,1,1,8,5,15
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2008,1,1,5,9,16
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2009,1,0,4,8,13
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2011,1,2,12,12,27
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2012,1,3,13,13,30
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2013,1,7,33,33,74
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2014,1,11,35,44,91
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2015,0,1,24,56,81
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2016,1,9,51,63,124
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2017,6,7,56,70,139
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2018,6,11,90,87,194
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2019,6,24,78,86,194
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2021,6,20,108,72,206
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2022,6,24,91,61,182
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2023,6,27,99,36,168
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",2024,6,5,47,55,113
