Style,Year,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2005-results/"">2005</a>",0,1,1,1,3
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2006-results/"">2006</a>",0,1,2,5,8
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2007-results/"">2007</a>",1,1,8,5,15
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2008-results/"">2008</a>",1,1,5,9,16
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2009-results/"">2009</a>",1,0,4,8,13
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2011-results/"">2011</a>",1,2,12,12,27
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2012-results/"">2012</a>",1,3,13,13,30
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2013-results/"">2013</a>",1,7,33,33,74
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2014-results/"">2014</a>",1,11,35,44,91
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",0,1,24,56,81
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",1,9,51,63,124
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",6,7,56,70,139
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",6,11,90,87,194
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",6,24,78,86,194
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",6,20,108,72,206
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",6,24,91,61,182
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",6,27,99,36,168
Modern Cider,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",6,5,47,55,113
Heritage Cider,"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",1,3,20,20,44
Heritage Cider,"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",2,10,32,33,77
Heritage Cider,"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",6,6,50,45,107
Heritage Cider,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",6,14,74,53,147
Heritage Cider,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",6,26,76,46,154
Heritage Cider,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",6,20,109,59,194
Heritage Cider,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",6,24,78,45,153
Heritage Cider,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",6,23,85,44,158
Heritage Cider,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",6,5,78,39,128
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2005-results/"">2005</a>",0,1,1,1,3
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2006-results/"">2006</a>",0,1,2,1,4
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2007-results/"">2007</a>",0,1,0,3,4
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2008-results/"">2008</a>",1,0,2,3,6
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2009-results/"">2009</a>",0,2,3,5,10
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2011-results/"">2011</a>",1,2,10,8,21
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2012-results/"">2012</a>",1,0,14,10,25
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2013-results/"">2013</a>",0,2,13,14,29
