Style,Award,Entrant,Entry,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Supreme British Champion Cider — The Rupert Best Cup,🏆 Champion,Pips Cider,Pips Cider Dry,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027
Supreme British Champion Cider — The Rupert Best Cup,🏆 Reserve,Rull Orchard,Starlight,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398
British Champion Farmhouse Cider — The Worshipful Company of Pewterer's Perpetual Cup,🏆 Champion,Sisson & Smith,Medium #1,,,,,,https://untappd.com/w/sisson-smith/229581
British Champion Farmhouse Cider — The Worshipful Company of Pewterer's Perpetual Cup,🏆 Reserve,Ad Astra Cider,Ad Astra Dry,https://adastracider.com/,https://www.facebook.com/adastracider,https://www.instagram.com/ad_astra_cider/,https://maps.google.com/?cid=9771495525386244918,,https://untappd.com/AdAstraCiderCo
Best Iced Cider,🏆 Champion,Somerset Cider Brandy & Burrow Hill Cider,Ice Cider,https://www.somersetciderbrandy.com/,https://www.facebook.com/ciderbrandy,https://www.instagram.com/somersetciderbrandy/,https://maps.google.com/?cid=7367344989762198966,https://www.tripadvisor.com/Attraction_Review-g1096546-d549720,https://untappd.com/brewery/34566
Best Iced Cider,🏆 Reserve,West Milton Cider,Milton Ice,https://westmiltoncider.co.uk/,https://www.facebook.com/WestMiltonCiderCo,,https://maps.google.com/?cid=2378994117010753202,,https://untappd.com/w/west-milton-cider-co/132014
Best Cider Adjudged (Classes 5 & 9) — The Arthur Davis Cider Cup,🏆 Champion,Cranborne Chase Cider,The Hurdlemaker,https://cranbornechasecider.co.uk/,https://www.facebook.com/cranbornechasecider,https://www.instagram.com/cranborne_chase_cider/,https://maps.google.com/?cid=11691295207635124730,,https://untappd.com/w/cranborne-chase/146534
Best Cider Adjudged (Classes 5 & 9) — The Arthur Davis Cider Cup,🏆 Reserve,Bere Cider Company,Dabinett,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Cider Newcomer Award — The Vigo Trophy,🏆 Champion,Lewis Henry,Glasshouse White,,,,,,
Cider Newcomer Award — The Vigo Trophy,🏆 Reserve,William Barnes,Padfield House Sweet Cider,,,,,,
Open Class Dry,🏆 Best in Class,Pips Cider,Pips Cider Dry,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027
Open Class Dry,🥇 Gold,Orchard 101,Alpha,,,,,,
Open Class Dry,🥈 Silver,Over The Hill Cider,Disco-J,,,,,,
Open Class Dry,🥈 Silver,Southdown Cider,Dry cider,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805
Open Class Dry,🥈 Silver,Southdown Cider,Dry cider,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805
Open Class Dry,🥈 Silver,Showerings Cider Mill,Showerings Dry Cider,,,,,,
Open Class Dry,🥈 Silver,Sandford Orchards,YDB,https://www.sandfordorchards.co.uk/,https://www.facebook.com/sandfordorchards,https://www.instagram.com/sandfordorchards/,https://maps.google.com/?cid=2784404680033020235,https://www.tripadvisor.com/Attraction_Review-g635675-d14758900,https://untappd.com/brewery/14080
Open Class Dry,🥈 Silver,Canterbury Cider,The Duke,,,,,,
