Entrant,🏆 Best in Class,🥇 Gold,🥈 Silver,🥉 Bronze,Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Bere Cider Company,1,4,2,1,8,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Sisson & Smith,1,1,4,3,9,,,,,,https://untappd.com/w/sisson-smith/229581
Rawlins Family Cider,1,1,3,5,10,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Wilding Cider,1,1,2,0,4,https://www.wildingcider.co.uk/,,https://www.instagram.com/wildingcider/,https://maps.google.com/?cid=14126504367716389024,,https://untappd.com/w/wilding-cider/465253
Dorset Star Cider,1,1,0,2,4,https://www.dorsetstar.co.uk/,https://www.facebook.com/DorsetStar/,https://www.instagram.com/dorset_star/,https://maps.google.com/?cid=951721413982442802,https://www.tripadvisor.com/Attraction_Review-g186263-d25166976,https://untappd.com/w/dorset-star/220602
Rull Orchard,1,1,0,1,3,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398
Somerset Cider Brandy & Burrow Hill Cider,1,1,0,1,3,https://www.somersetciderbrandy.com/,https://www.facebook.com/ciderbrandy,https://www.instagram.com/somersetciderbrandy/,https://maps.google.com/?cid=7367344989762198966,https://www.tripadvisor.com/Attraction_Review-g1096546-d549720,https://untappd.com/brewery/34566
Cranborne Chase Cider,1,0,3,1,5,https://cranbornechasecider.co.uk/,https://www.facebook.com/cranbornechasecider,https://www.instagram.com/cranborne_chase_cider/,https://maps.google.com/?cid=11691295207635124730,,https://untappd.com/w/cranborne-chase/146534
North Down Orchard,1,0,1,3,5,,,,,,
Lewis Henry,1,0,1,1,3,,,,,,
Skyborry Cider & Perry,1,0,1,0,2,https://skyborrycider.co.uk/,,https://www.instagram.com/skyborrycider/,,,https://untappd.com/w/skyborry/117846
Ad Astra Cider,1,0,0,4,5,https://adastracider.com/,https://www.facebook.com/adastracider,https://www.instagram.com/ad_astra_cider/,https://maps.google.com/?cid=9771495525386244918,,https://untappd.com/AdAstraCiderCo
Pips Cider,1,0,0,1,2,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027
Orchard 101,0,3,1,3,7,,,,,,
Ridge & Furrow Cider,0,2,1,1,4,https://ridgeandfurrowcider.co.uk/,,,https://maps.google.com/?cid=5958769938793720344,,https://untappd.com/w/ridge-and-furrow/335457
Branch Cider,0,1,5,5,11,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797
Steve Faulkner,0,1,4,2,7,,,,,,
Chris Hecks,0,1,3,2,6,,,,,,
William Barnes,0,1,3,1,5,,,,,,
Moons Cider,0,1,2,5,8,,,,,,
Benjamin Jaffe - Dinnington Cider Press,0,1,2,2,5,,,,,,
Luke's Cider,0,1,2,0,3,https://www.lukescider.com/,https://www.facebook.com/lukescider/,https://www.instagram.com/lukescider/,https://maps.google.com/?cid=3087204132532898241,,https://untappd.com/w/luke-s-cider/395593
West Milton Cider,0,1,2,0,3,https://westmiltoncider.co.uk/,https://www.facebook.com/WestMiltonCiderCo,,https://maps.google.com/?cid=2378994117010753202,,https://untappd.com/w/west-milton-cider-co/132014
Dowding's,0,1,1,3,5,,,,,,
Broadpool Cider,0,1,1,2,4,,,,,,
Courtney's Devon Cider,0,1,1,1,3,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,,
Jonathan Marsden,0,1,1,0,2,,,,,,
Glyders Cider,0,1,0,2,3,,,,,,
Seidr Ci Ddu,0,1,0,2,3,https://www.ciddu.co.uk/,,,https://maps.google.com/?cid=13600510542486755126,,https://untappd.com/w/seidr-ci-ddu/544489
Chapel Sider,0,1,0,1,2,https://chapelsider.co.uk/,https://www.facebook.com/chapelsider,https://www.instagram.com/chapel_sider/,,,https://untappd.com/w/chapel-sider/484323
Southdown Cider,0,0,7,5,12,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805
Palmers Upland Cyder,0,0,5,1,6,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238
Ventons Devon Cider,0,0,5,1,6,https://ventons.co.uk/,https://www.facebook.com/VentonsDevonCyder,https://www.instagram.com/ventons_devon_cyder/,https://maps.google.com/?cid=13221987803001183957,,https://untappd.com/w/ventons-devon-cyder/224676
Strangey's Devon Cyder,0,0,4,6,10,,,,,,
Monkey House Cider,0,0,3,2,5,https://www.monkeyhousecider.co.uk/,https://www.facebook.com/Monkeyhouseciderberwick/,https://www.instagram.com/monkeyhousecider/,https://maps.google.com/?cid=9384746937899899122,,https://untappd.com/w/monkey-house-cider/497477
Over The Hill Cider,0,0,3,2,5,,,,,,
Sandford Orchards,0,0,3,2,5,https://www.sandfordorchards.co.uk/,https://www.facebook.com/sandfordorchards,https://www.instagram.com/sandfordorchards/,https://maps.google.com/?cid=2784404680033020235,https://www.tripadvisor.com/Attraction_Review-g635675-d14758900,https://untappd.com/brewery/14080
Seidear,0,0,3,2,5,https://seidear.com/,https://www.facebook.com/seidear.weescottishciderco/,https://www.instagram.com/seidear/,https://maps.google.com/?cid=227255875071520296,,https://untappd.com/TheWeeScottishCiderCo
Sweeting's Cider,0,0,3,2,5,,,,,,
Isaac Cider,0,0,3,1,4,https://isaaccider.com/,https://www.facebook.com/isaaccider,https://www.instagram.com/isaaccider/,https://maps.google.com/?cid=8020850171828378197,,https://untappd.com/w/isaac-cider/494581
Riverside Cider,0,0,3,0,3,,,,,,
Blackmore Vale Cider,0,0,2,5,7,https://www.blackmorevalecider.co.uk/,https://www.facebook.com/blackmorevalecider,https://www.instagram.com/blackmorevalecider/,,,https://untappd.com/w/blackmore-vale/44464
Bollhayes Cider,0,0,2,3,5,https://bollhayescider.co.uk/,https://www.facebook.com/bollhayescider.co.uk/,https://www.instagram.com/bollhayes/,https://maps.google.com/?cid=12800455720536456131,,https://untappd.com/w/bollhayes/97990
Hecks Farmhouse Cider,0,0,2,3,5,https://www.heckscider.com/,https://www.facebook.com/profile.php?id=100064795443706,https://www.instagram.com/hecksfarmhousecider/,https://maps.google.com/?cid=14811456381048588409,https://www.tripadvisor.com/Attraction_Review-g780820-d8126251,https://untappd.com/brewery/6758
The Crest Cyder Company,0,0,2,3,5,,,,,,
Canterbury Cider,0,0,2,2,4,,,,,,
Seven Trees Cider,0,0,2,2,4,,,,,,
W-G Cider,0,0,2,2,4,,,,,,
Downside Perry,0,0,2,1,3,,,,,,
Ganley & Naish,0,0,2,1,3,https://www.ganleyandnaish.co.uk/,https://www.facebook.com/ganleynaishcider/,https://www.instagram.com/ganleynaishcider/,,,https://untappd.com/GanleyNaish
Hayloft,0,0,2,1,3,,,,,,
Stones Cider,0,0,2,0,2,https://www.stonescider.co.uk/,https://www.facebook.com/stonescider,,,,https://untappd.com/w/stone-s-cider/127537
John and Naomi Wakelin,0,0,1,3,4,,,,,,
Smith Hayne Orchards,0,0,1,3,4,https://www.smithhayneorchards.com/,,https://www.instagram.com/smithhayneorchards/,,,https://untappd.com/w/smith-hayne-orchards/423976
