Division,Category,Medalist,Entry,Award,Website,Facebook,Instagram,Google,Untappd
Domestic,Ice Cider,VinVie Winery & Cidery,Usuginu Cryoconcentration Cider,🏆 BEST OF SHOW + 🥇 GOLD,https://vinvie.jp/,https://www.facebook.com/vinvie.jp/,https://www.instagram.com/vinvie.jp/,https://maps.google.com/?cid=10362674152189928272,https://untappd.com/w/vinvie/441053
Domestic,Modern Cider (Dry),Baeren Brewery,Baeren Our Hour Dry Cidre,🏆 BEST IN CLASS + 🥇 GOLD,https://www.baerenbier.co.jp/,https://www.facebook.com/baerenbier/,https://www.instagram.com/baerenbier/,https://maps.google.com/?cid=14916685845990725190,https://untappd.com/w/baeren-brauerei/6445
Domestic,Modern Cider (Dry),Hirosaki Meijo,Hirosaki Meijo Cidre Dry,🥇 GOLD,https://www.hirosakimeijo.com/,https://www.facebook.com/hirosakimeijo/,,https://maps.google.com/?cid=6242665688640625752,https://untappd.com/w/hirosaki-meijo/527084
Domestic,Modern Cider (Dry),Tamura Farm,Tamura Cidre Brut,🥇 GOLD,http://tamurafarm.jp/,,https://www.instagram.com/tamurafarm.aomori/,https://maps.google.com/?cid=14308247254176835490,http://tamurafarm.jp/
Domestic,Modern Cider (Dry),Akiu Winery,Banji Cider Sweet 2022,🥈 SILVER,https://akiuwinery.co.jp/,https://www.facebook.com/akiuwinery.co.jp,https://www.instagram.com/akiuwinery/,https://maps.google.com/?cid=3770017906433711240,https://untappd.com/w/akiu-winery/344170
Domestic,Modern Cider (Dry),Akiu Winery,Miyagi Cider 2022,🥈 SILVER,https://akiuwinery.co.jp/,https://www.facebook.com/akiuwinery.co.jp,https://www.instagram.com/akiuwinery/,https://maps.google.com/?cid=3770017906433711240,https://untappd.com/w/akiu-winery/344170
Domestic,Modern Cider (Dry),Craft Instinct Japan,Austeja,🥈 SILVER,https://www.craftinstinct-jpn.com/,https://www.facebook.com/CraftInstinctJapan,https://www.instagram.com/craft_instinct_japan/,,https://untappd.com/w/craft-instinct-japan/557913
Domestic,Modern Cider (Dry),Kikusui Brewing,Kikusui Cidre Method Charmat,🥈 SILVER,https://kikusuisake.co.jp/,https://www.facebook.com/kikusui.nagano,https://www.instagram.com/nagano_kikusui/,https://maps.google.com/?cid=273138642744687145,https://untappd.com/w/kikusui-shuzou/307391
Domestic,Modern Cider (Dry),Tamura Farm,Tamura Cidre 2nd Dry Grande,🥈 SILVER,http://tamurafarm.jp/,,https://www.instagram.com/tamurafarm.aomori/,https://maps.google.com/?cid=14308247254176835490,http://tamurafarm.jp/
Domestic,Modern Cider (Dry),Akiu Winery,Akiu Craft Cider 2022,🥉 BRONZE,https://akiuwinery.co.jp/,https://www.facebook.com/akiuwinery.co.jp,https://www.instagram.com/akiuwinery/,https://maps.google.com/?cid=3770017906433711240,https://untappd.com/w/akiu-winery/344170
Domestic,Modern Cider (Dry),Cave d’Occi Winery,Funpy Cidre 2022,🥉 BRONZE,https://www.docci.com/,https://www.facebook.com/cavedocci,https://www.instagram.com/cavedocci/,https://maps.google.com/?cid=3524213297987364187,https://untappd.com/CaveDOcciBrewing
Domestic,Modern Cider (Dry),Gio Hills Winery,Hồng Ngọc Cidre,🥉 BRONZE,https://giohills.jp/,,https://www.instagram.com/giohillswinery/,https://maps.google.com/?cid=1515569945995790055,
Domestic,Modern Cider (Dry),Kamoshika Cidre,La 3e Saison Brut 2022,🥉 BRONZE,https://kamoshikacidre.jp/,https://www.facebook.com/kamoshikacidre/,https://www.instagram.com/kamoshika_cidre/,https://maps.google.com/?cid=11874012255187792971,https://untappd.com/w/kamoshika-cidre/348831
Domestic,Modern Cider (Dry),Kikusui Brewing,N35 Terroir Brut Naturel,🥉 BRONZE,https://kikusuisake.co.jp/,https://www.facebook.com/kikusui.nagano,https://www.instagram.com/nagano_kikusui/,https://maps.google.com/?cid=273138642744687145,https://untappd.com/w/kikusui-shuzou/307391
Domestic,Modern Cider (Dry),Kojiro Noen,Kojiro Noen Cidre Ringo San-Kyodai,🥉 BRONZE,,,,,
Domestic,Modern Cider (Dry),Marukame Cidery,Shinano Blend Dry,🥉 BRONZE,https://fgkita.com/,https://www.facebook.com/kitazawa3347/,https://www.instagram.com/marukame_farm_cidery/,https://maps.google.com/?cid=15320061409222246213,https://untappd.com/w/marukame-farm-cidery/481110
Domestic,Modern Cider (Dry),Monnosuke Farm,Kamineko Cidre,🥉 BRONZE,https://monnosukefarm.com/,https://www.facebook.com/monnosukefarm/,https://www.instagram.com/atsunori.s_monnosukefarm/,https://maps.google.com/?cid=13184524280933374652,
Domestic,Modern Cider (Dry),Mugi to Budo,Okukuji Daigo Cider (Beer Yeast),🥉 BRONZE,https://www.mugitobudou.com/,https://www.facebook.com/ushikubrewing/,https://www.instagram.com/grains.grapes.ushiku/,https://maps.google.com/?cid=9293468299421098720,https://untappd.com/w/ushiku-brewing/456496
Domestic,Modern Cider (Dry),Okashina Ouchi,Circulo Cidre,🥉 BRONZE,http://okashinaouchi.com/,,https://www.instagram.com/circulo.cidre/,,https://untappd.com/w/circulo/557840
Domestic,Modern Cider (Dry),Three Peaks Winery,REGALO 2022 Campbell Early,🥉 BRONZE,https://3peaks.shop/,https://www.facebook.com/3peakswinery,https://www.instagram.com/3peakswinery/,https://maps.google.com/?cid=16781419863886231388,https://untappd.com/w/three-peaks/355137
Domestic,Modern Cider (Dry),VinVie Winery & Cidery,VinVie Cider,🥉 BRONZE,https://vinvie.jp/,https://www.facebook.com/vinvie.jp/,https://www.instagram.com/vinvie.jp/,https://maps.google.com/?cid=10362674152189928272,https://untappd.com/w/vinvie/441053
Domestic,Modern Cider (Dry),Zattana,zattana Cidre Kogan Kitaru,🥉 BRONZE,https://zattana-aomori.stores.jp/,https://www.facebook.com/zattanaFromAomori,https://www.instagram.com/zattana_from_aomori/,,
Domestic,Modern Cider (Sweet),Kamoshika Cidre,Rosé Doux 2022,🏆 BEST IN CLASS + 🥇 GOLD,https://kamoshikacidre.jp/,https://www.facebook.com/kamoshikacidre/,https://www.instagram.com/kamoshika_cidre/,https://maps.google.com/?cid=11874012255187792971,https://untappd.com/w/kamoshika-cidre/348831
Domestic,Modern Cider (Sweet),Kamoshika Cidre,La 2e Saison Doux 2022,🥇 GOLD,https://kamoshikacidre.jp/,https://www.facebook.com/kamoshikacidre/,https://www.instagram.com/kamoshika_cidre/,https://maps.google.com/?cid=11874012255187792971,https://untappd.com/w/kamoshika-cidre/348831
Domestic,Modern Cider (Sweet),Kikusui Brewing,Kikusui Cidre Standard,🥇 GOLD,https://kikusuisake.co.jp/,https://www.facebook.com/kikusui.nagano,https://www.instagram.com/nagano_kikusui/,https://maps.google.com/?cid=273138642744687145,https://untappd.com/w/kikusui-shuzou/307391
Domestic,Modern Cider (Sweet),Kikusui Brewing,N35 Terroir DemiSec,🥇 GOLD,https://kikusuisake.co.jp/,https://www.facebook.com/kikusui.nagano,https://www.instagram.com/nagano_kikusui/,https://maps.google.com/?cid=273138642744687145,https://untappd.com/w/kikusui-shuzou/307391
Domestic,Modern Cider (Sweet),Kojiro Orchards,Kojiro Orchards Cidre Pink Blend,🥇 GOLD,,,,,
Domestic,Modern Cider (Sweet),Marukame Cidery,Shinano Blend Sweet,🥇 GOLD,https://fgkita.com/,https://www.facebook.com/kitazawa3347/,https://www.instagram.com/marukame_farm_cidery/,https://maps.google.com/?cid=15320061409222246213,https://untappd.com/w/marukame-farm-cidery/481110
Domestic,Modern Cider (Sweet),Kikusui Brewing,Kikusui Cidre Nouveau 2023,🥈 SILVER,https://kikusuisake.co.jp/,https://www.facebook.com/kikusui.nagano,https://www.instagram.com/nagano_kikusui/,https://maps.google.com/?cid=273138642744687145,https://untappd.com/w/kikusui-shuzou/307391
Domestic,Modern Cider (Sweet),Mashino Winery,Mashino Cidre Sweet,🥈 SILVER,http://www.mashinowine.com/,,,,
Domestic,Modern Cider (Sweet),Sanyohai Shuzo,Cidre RonRon Prototype Garden Yeast,🥈 SILVER,http://www.sanyouhai.com/,https://www.facebook.com/sanyouhaishuzo,https://www.instagram.com/sanyouhaishuzo/,https://maps.google.com/?cid=12883995002852702667,https://untappd.com/w/sanyohai-shuzo/498465
Domestic,Modern Cider (Sweet),Tamura Farm,Tamura Cidre 2nd Sweet Grande,🥈 SILVER,http://tamurafarm.jp/,,https://www.instagram.com/tamurafarm.aomori/,https://maps.google.com/?cid=14308247254176835490,http://tamurafarm.jp/
Domestic,Modern Cider (Sweet),Tamura Farm,Tamura Cidre Sec,🥈 SILVER,http://tamurafarm.jp/,,https://www.instagram.com/tamurafarm.aomori/,https://maps.google.com/?cid=14308247254176835490,http://tamurafarm.jp/
Domestic,Modern Cider (Sweet),Tamura Farm,Tamura Cidre Sweet,🥈 SILVER,http://tamurafarm.jp/,,https://www.instagram.com/tamurafarm.aomori/,https://maps.google.com/?cid=14308247254176835490,http://tamurafarm.jp/
Domestic,Modern Cider (Sweet),Hikaru no Hata,Lippu Cidre Sweet,🥉 BRONZE,https://hikarumarche.stores.jp/,,https://www.instagram.com/Arugamama_winery/,https://maps.google.com/?cid=12533318998895026808,
Domestic,Modern Cider (Sweet),Hirosaki Meijo,Hirosaki Meijo Unfiltered Sweet,🥉 BRONZE,https://www.hirosakimeijo.com/,https://www.facebook.com/hirosakimeijo/,,https://maps.google.com/?cid=6242665688640625752,https://untappd.com/w/hirosaki-meijo/527084
Domestic,Traditional Cider (Dry),VinVie Winery & Cidery,Bitter Sweet,🥈 SILVER,https://vinvie.jp/,https://www.facebook.com/vinvie.jp/,https://www.instagram.com/vinvie.jp/,https://maps.google.com/?cid=10362674152189928272,https://untappd.com/w/vinvie/441053
Domestic,Traditional Cider (Dry),VinVie Winery & Cidery,Virginia Crab,🥈 SILVER,https://vinvie.jp/,https://www.facebook.com/vinvie.jp/,https://www.instagram.com/vinvie.jp/,https://maps.google.com/?cid=10362674152189928272,https://untappd.com/w/vinvie/441053
Domestic,Modern Perry,Marukame Cidery,Marukame Pear Cider,🥇 GOLD,https://fgkita.com/,https://www.facebook.com/kitazawa3347/,https://www.instagram.com/marukame_farm_cidery/,https://maps.google.com/?cid=15320061409222246213,https://untappd.com/w/marukame-farm-cidery/481110
Domestic,Traditional Perry,Kamoshika Cidre,Poire 2022,🥇 GOLD,https://kamoshikacidre.jp/,https://www.facebook.com/kamoshikacidre/,https://www.instagram.com/kamoshika_cidre/,https://maps.google.com/?cid=11874012255187792971,https://untappd.com/w/kamoshika-cidre/348831
Domestic,Fruit/Blended Cider,Baeren Brewery,Baeren Our Hour Yuzu Cidre,🥇 GOLD,https://www.baerenbier.co.jp/,https://www.facebook.com/baerenbier/,https://www.instagram.com/baerenbier/,https://maps.google.com/?cid=14916685845990725190,https://untappd.com/w/baeren-brauerei/6445
Domestic,Fruit/Blended Cider,Three Peaks Winery,REGALO 2022 Campbell Early,🥈 SILVER,https://3peaks.shop/,https://www.facebook.com/3peakswinery,https://www.instagram.com/3peakswinery/,https://maps.google.com/?cid=16781419863886231388,https://untappd.com/w/three-peaks/355137
Domestic,Hopped Cider,"OK,ADAM",HOP IN!,🥈 SILVER,https://okadamcider.com/,https://www.facebook.com/okadamcider,https://www.instagram.com/ok.adam.cider/,https://maps.google.com/?cid=7241170744099631012,https://untappd.com/w/ok-adam/462743
Domestic,Hopped Cider,Shiwa Cidery,FC Hopped Cider,🥈 SILVER,https://shiwacidery.com/,,https://www.instagram.com/shiwacidery/,,https://untappd.com/ShiwaCidery
Domestic,Hopped Cider,VinVie Winery & Cidery,Hopped Cider,🥉 BRONZE,https://vinvie.jp/,https://www.facebook.com/vinvie.jp/,https://www.instagram.com/vinvie.jp/,https://maps.google.com/?cid=10362674152189928272,https://untappd.com/w/vinvie/441053
