Division,Medalist,🏆 BOS/BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,Website,Facebook,Instagram,Google,Untappd
Domestic,Kamoshika Cidre,1,2,0,1,4,https://kamoshikacidre.jp/,https://www.facebook.com/kamoshikacidre/,https://www.instagram.com/kamoshika_cidre/,https://maps.google.com/?cid=11874012255187792971,https://untappd.com/w/kamoshika-cidre/348831
Domestic,Baeren Brewery,1,1,0,0,2,https://www.baerenbier.co.jp/,https://www.facebook.com/baerenbier/,https://www.instagram.com/baerenbier/,https://maps.google.com/?cid=14916685845990725190,https://untappd.com/w/baeren-brauerei/6445
Domestic,VinVie Winery & Cidery,1,0,2,2,5,https://vinvie.jp/,https://www.facebook.com/vinvie.jp/,https://www.instagram.com/vinvie.jp/,https://maps.google.com/?cid=10362674152189928272,https://untappd.com/w/vinvie/441053
Domestic,Kikusui Brewing,0,2,2,1,5,https://kikusuisake.co.jp/,https://www.facebook.com/kikusui.nagano,https://www.instagram.com/nagano_kikusui/,https://maps.google.com/?cid=273138642744687145,https://untappd.com/w/kikusui-shuzou/307391
Domestic,Marukame Cidery,0,2,0,1,3,https://fgkita.com/,https://www.facebook.com/kitazawa3347/,https://www.instagram.com/marukame_farm_cidery/,https://maps.google.com/?cid=15320061409222246213,https://untappd.com/w/marukame-farm-cidery/481110
Domestic,Tamura Farm,0,1,4,0,5,http://tamurafarm.jp/,,https://www.instagram.com/tamurafarm.aomori/,https://maps.google.com/?cid=14308247254176835490,http://tamurafarm.jp/
Domestic,Hirosaki Meijo,0,1,0,1,2,https://www.hirosakimeijo.com/,https://www.facebook.com/hirosakimeijo/,,https://maps.google.com/?cid=6242665688640625752,https://untappd.com/w/hirosaki-meijo/527084
Domestic,Kojiro Orchards,0,1,0,0,1,,,,,
Domestic,Miyazaki Phoenix Brewing,0,1,0,0,1,,https://www.facebook.com/MIYAZAKIPHOENIXBREWING,https://www.instagram.com/phoenix_brew/,https://maps.google.com/?cid=8594409460059287179,https://untappd.com/w/miyazaki-phoenix-brewing/415948
Domestic,Akiu Winery,0,0,2,1,3,https://akiuwinery.co.jp/,https://www.facebook.com/akiuwinery.co.jp,https://www.instagram.com/akiuwinery/,https://maps.google.com/?cid=3770017906433711240,https://untappd.com/w/akiu-winery/344170
Domestic,Mashino Winery,0,0,2,0,2,http://www.mashinowine.com/,,,,
Domestic,"OK,ADAM",0,0,2,0,2,https://okadamcider.com/,https://www.facebook.com/okadamcider,https://www.instagram.com/ok.adam.cider/,https://maps.google.com/?cid=7241170744099631012,https://untappd.com/w/ok-adam/462743
Domestic,Shiwa Cidery,0,0,1,1,2,https://shiwacidery.com/,,https://www.instagram.com/shiwacidery/,,https://untappd.com/ShiwaCidery
Domestic,Three Peaks Winery,0,0,1,1,2,https://3peaks.shop/,https://www.facebook.com/3peakswinery,https://www.instagram.com/3peakswinery/,https://maps.google.com/?cid=16781419863886231388,https://untappd.com/w/three-peaks/355137
Domestic,Craft Instinct Japan,0,0,1,0,1,https://www.craftinstinct-jpn.com/,https://www.facebook.com/CraftInstinctJapan,https://www.instagram.com/craft_instinct_japan/,,https://untappd.com/w/craft-instinct-japan/557913
Domestic,Izumi Brewery,0,0,1,0,1,,https://www.facebook.com/izumibrewery,https://www.instagram.com/izumi_brewery/,https://maps.google.com/?cid=9781390219956310609,https://untappd.com/w/izumi-brewery/390232
Domestic,Sanyohai Shuzo,0,0,1,0,1,http://www.sanyouhai.com/,https://www.facebook.com/sanyouhaishuzo,https://www.instagram.com/sanyouhaishuzo/,https://maps.google.com/?cid=12883995002852702667,https://untappd.com/w/sanyohai-shuzo/498465
Domestic,Son of the Smith Hard Cider,0,0,1,0,1,https://www.hardcider.jp/,https://www.facebook.com/sonofthesmithhardcider/,https://www.instagram.com/sonofthesmithhardcider/,https://maps.google.com/?cid=17747425634228385236,https://untappd.com/w/son-of-the-smith-hard-cider/405424
Domestic,Cave d’Occi Winery,0,0,0,1,1,https://www.docci.com/,https://www.facebook.com/cavedocci,https://www.instagram.com/cavedocci/,https://maps.google.com/?cid=3524213297987364187,https://untappd.com/CaveDOcciBrewing
Domestic,CHILAN,0,0,0,1,1,https://chilan.jp/,https://www.facebook.com/chilan.hiroshima/,https://www.instagram.com/chilan_hiroshima/,https://maps.google.com/?cid=8276963000507316730,
Domestic,Gio Hills Winery,0,0,0,1,1,https://giohills.jp/,,https://www.instagram.com/giohillswinery/,https://maps.google.com/?cid=1515569945995790055,
Domestic,Hibi,0,0,0,1,1,https://www.ringorillappa.jp/,https://www.facebook.com/ringo665/,https://www.instagram.com/ringo665/,https://maps.google.com/?cid=14805716827065461071,https://untappd.com/w/ringorillappa/557841
Domestic,Hikaru no Hata,0,0,0,1,1,https://hikarumarche.stores.jp/,,https://www.instagram.com/Arugamama_winery/,https://maps.google.com/?cid=12533318998895026808,
Domestic,Kojiro Noen,0,0,0,1,1,,,,,
Domestic,Monnosuke Farm,0,0,0,1,1,https://monnosukefarm.com/,https://www.facebook.com/monnosukefarm/,https://www.instagram.com/atsunori.s_monnosukefarm/,https://maps.google.com/?cid=13184524280933374652,
Domestic,Mugi to Budo,0,0,0,1,1,https://www.mugitobudou.com/,https://www.facebook.com/ushikubrewing/,https://www.instagram.com/grains.grapes.ushiku/,https://maps.google.com/?cid=9293468299421098720,https://untappd.com/w/ushiku-brewing/456496
Domestic,Okashina Ouchi,0,0,0,1,1,http://okashinaouchi.com/,,https://www.instagram.com/circulo.cidre/,,https://untappd.com/w/circulo/557840
Domestic,Zattana,0,0,0,1,1,https://zattana-aomori.stores.jp/,https://www.facebook.com/zattanaFromAomori,https://www.instagram.com/zattana_from_aomori/,,
International,Small Acres Cyder,3,0,1,0,4,https://www.smallacrescyder.com.au/,https://www.facebook.com/SmallAcresCyder,https://www.instagram.com/smallacrescyder,https://maps.google.com/?cid=1497457670374953580,https://untappd.com/brewery/14584
International,Neon Cider,1,3,1,0,5,https://bestbevhk.com/collections/neonotic-cider,,https://www.instagram.com/neonciders/,https://maps.google.com/?cid=208458777916738113,https://untappd.com/Neonotic
International,JK’s Farmhouse Ciders,1,0,1,1,3,http://jksfarmhouseciders.com/,https://www.facebook.com/jksfarmhouseciders,https://www.instagram.com/jksfarmhouseciders/,https://maps.google.com/?cid=9785317642581217954,https://untappd.com/w/jks-farmhouse-ciders/2931
International,Bauman’s Cider,0,3,2,0,5,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://untappd.com/w/baumans-cider-company/253872
