Category,Award,Medalist,Entry,Points,Country,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Still,🥇 GOLD,Weidmann & Groh,Speierling,115,Germany,https://weidmann-groh.de/,https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327,,https://maps.google.com/?cid=6569120976887073603,,https://untappd.com/w/weidmann-groh/73065
Still,🥇 GOLD,Kühbrein Most,Kühbrein Champagner Renette,113,Austria,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089
Still,🥇 GOLD,Hofkellerei Lackner,Erbachhofer Weinapfel,112,Austria,https://www.lackner-hofkellerei.at/,https://www.facebook.com/hofkellerei.lackner,https://www.instagram.com/hofkellerei.lackner/,https://maps.google.com/?cid=1698967066169668554,,https://untappd.com/w/lackner/374455
Still,🥇 GOLD,Kühbrein Most,Kühbrein Friedrich,111,Austria,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089
Still,🥇 GOLD,Krenzers Rhön,Miss U,111,Germany,https://rhoenerlebnis.de/,https://www.facebook.com/krenzersrhoen/,https://www.instagram.com/krenzersrhoen/,https://maps.google.com/?cid=15922504228976266945,https://www.tripadvisor.com/Hotel_Review-g2209506-d11774349,https://untappd.com/w/krenzers-rhon/304067
Still,🥇 GOLD,Kelterei Herberth,Herberth Erbstück,110,Germany,http://www.herberth.de/,,https://www.instagram.com/kelterei_herberth/,https://maps.google.com/?cid=2797968598057029562,,https://untappd.com/w/kelterei-herberth/77482
Still,🥇 GOLD,Weidmann & Groh,Boskop,110,Germany,https://weidmann-groh.de/,https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327,,https://maps.google.com/?cid=6569120976887073603,,https://untappd.com/w/weidmann-groh/73065
Still,🥇 GOLD,Zapiain,Euskal Sagardoa Premium 2022,110,Spain,https://zapiain.eus/,https://www.facebook.com/zapiainsagardoa,https://www.instagram.com/zapiainsagardoa/,https://maps.google.com/?cid=16982677267877188990,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229,https://untappd.com/ZapiainSagardoa
Still,🥇 GOLD,Kühbrein Most,Kühbrein Ilzer Rosenapfel,109,Austria,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089
Still,🥇 GOLD,Mostschenke Brunner,"Apfelwein ""Red Love""",109,Austria,https://www.mostschenke.com/,https://www.facebook.com/brunnermost,https://www.instagram.com/brunnermost/,https://maps.google.com/?cid=9656305552831248718,https://www.tripadvisor.com/Restaurant_Review-g3175997-d9608009,
Still,🥇 GOLD,Isastegi,Sidra Natural Isastegi D.O.,109,Spain,https://www.isastegi.com/,https://www.facebook.com/isastegi.sagardotegia,https://www.instagram.com/isastegi/,https://maps.google.com/?cid=3927960308349571227,https://www.tripadvisor.com/Restaurant_Review-g1064362-d5772954,https://untappd.com/brewery/6054
Still,🥈 SILVER,Mostgut Kuchlbauer,Kronprinz Rudolf Apfelmost,106,Austria,https://kuchlbauer.at/,https://www.facebook.com/mostgutkuchlbauer,https://www.instagram.com/mostgut_kuchlbauer/,https://maps.google.com/?cid=612923406573475520,,https://untappd.com/w/mostgut-kuchlbauer/459877
Still,🥈 SILVER,Most Michl,Apfelmost Pinova,106,Austria,https://most-michl.at/,https://www.facebook.com/MostMichl/,https://www.instagram.com/most_michl/,https://maps.google.com/?cid=15823669657140798548,,
Still,🥈 SILVER,Sidra Trabanco,Sidra Natural Trabanco Seleccion,104,Spain,https://www.sidratrabanco.com/,https://www.facebook.com/sidratrabanco/,https://www.instagram.com/sidratrabanco/,https://maps.google.com/?cid=8706552013547802387,,https://untappd.com/brewery/6382
Still,🥈 SILVER,Mausser Most,Maschanzker,103,Austria,https://maussermost.at/,https://www.facebook.com/maussermost,https://www.instagram.com/maussermost/,https://maps.google.com/?cid=7922019135177821652,https://www.tripadvisor.com/Restaurant_Review-g1916798-d5001742,
Still,🥈 SILVER,Kühbrein Most,Kühbrein Kronprinz Rudolf,102,Austria,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089
Still,🥈 SILVER,Mausser Most,Schafnase,101,Austria,https://maussermost.at/,https://www.facebook.com/maussermost,https://www.instagram.com/maussermost/,https://maps.google.com/?cid=7922019135177821652,https://www.tripadvisor.com/Restaurant_Review-g1916798-d5001742,
Still,🥈 SILVER,Sidra Somarroza,Sidra Natural Premium Somarroza,101,Spain,https://sidrasomarroza.es/,https://www.facebook.com/sidrasomarroza,https://www.instagram.com/sidrasomarroza/,https://maps.google.com/?cid=7109045394192195825,,https://untappd.com/w/somarroza/147830
Still,🥈 SILVER,Quinta da Moscadinha,Natural Aged Sider,101,Portugal,https://quintadamoscadinha.com/,https://www.facebook.com/quintadamoscadinha,https://www.instagram.com/moscadinha,https://maps.google.com/?cid=1405442820439409429,https://www.tripadvisor.com/Hotel_Review-g1190962-d23314913,https://untappd.com/w/quinta-da-moscadinha/538582
Still,🥈 SILVER,Weidmann & Groh,Trierer Weinapfel,101,Germany,https://weidmann-groh.de/,https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327,,https://maps.google.com/?cid=6569120976887073603,,https://untappd.com/w/weidmann-groh/73065
Still,🥈 SILVER,Apfelweinkontor,Skylineschoppen,100,Germany,https://www.apfelweinkontor.com/,https://www.facebook.com/Apfelweinkontor,https://www.instagram.com/apfelweinkontor/,https://maps.google.com/?cid=599143855742456461,https://www.tripadvisor.com/Attraction_Review-g187337-d6922559,https://untappd.com/w/apfelweinkontor-frankfurt/468433
Still,🥈 SILVER,Most Michl,NEXT Apfelwein,99,Austria,https://most-michl.at/,https://www.facebook.com/MostMichl/,https://www.instagram.com/most_michl/,https://maps.google.com/?cid=15823669657140798548,,
Still,🥈 SILVER,Kottmann's Brennerei,"Wiesenobst Cider ""Mostbirnen-Gemisch""",99,Germany,https://hirsch-badditzenbach.de/,https://www.facebook.com/profile.php?id=100054455442443,,https://maps.google.com/?cid=9553558957450184374,https://www.tripadvisor.com/Restaurant_Review-g1053109-d4953508,
Still,🥈 SILVER,Pomologik,Signe Tillisch,99,Sweden,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/Pomologik/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe
Still,🥈 SILVER,Apfelweinkontor,Goldparmäne & Bohnapfel Cuvée,97,Germany,https://www.apfelweinkontor.com/,https://www.facebook.com/Apfelweinkontor,https://www.instagram.com/apfelweinkontor/,https://maps.google.com/?cid=599143855742456461,https://www.tripadvisor.com/Attraction_Review-g187337-d6922559,https://untappd.com/w/apfelweinkontor-frankfurt/468433
Still,🥈 SILVER,Obstbau Ciampa,Apfelwein Mild,97,Germany,,,https://www.instagram.com/obstbau_ciampa/,https://maps.google.com/?cid=10947398667492665042,,
Still,🥉 HONOR,Apfelweinkontor,Hausschoppen,96,Germany,https://www.apfelweinkontor.com/,https://www.facebook.com/Apfelweinkontor,https://www.instagram.com/apfelweinkontor/,https://maps.google.com/?cid=599143855742456461,https://www.tripadvisor.com/Attraction_Review-g187337-d6922559,https://untappd.com/w/apfelweinkontor-frankfurt/468433
Still,🥉 HONOR,Mausser Most,Champagner Renette,96,Austria,https://maussermost.at/,https://www.facebook.com/maussermost,https://www.instagram.com/maussermost/,https://maps.google.com/?cid=7922019135177821652,https://www.tripadvisor.com/Restaurant_Review-g1916798-d5001742,
Still,🥉 HONOR,Kottmann's Brennerei,Wiesenobst Cider Luikenapfel Birnengemisch,96,Germany,https://hirsch-badditzenbach.de/,https://www.facebook.com/profile.php?id=100054455442443,,https://maps.google.com/?cid=9553558957450184374,https://www.tripadvisor.com/Restaurant_Review-g1053109-d4953508,
Still,🥉 HONOR,Mostgut Kuchlbauer,Herrenapfel Apfelmost,94,Austria,https://kuchlbauer.at/,https://www.facebook.com/mostgutkuchlbauer,https://www.instagram.com/mostgut_kuchlbauer/,https://maps.google.com/?cid=612923406573475520,,https://untappd.com/w/mostgut-kuchlbauer/459877
Still,🥉 HONOR,Sidra El Gaitero,Sidra El Gaitero Natural,94,Spain,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266
Still,🥉 HONOR,Gutshof Kraatz,Vor dem Walde,93,Germany,https://gutshof-kraatz.de/,https://www.facebook.com/GutshofKraatz/,https://www.instagram.com/gutshof_kraatz/,https://maps.google.com/?cid=4340203013602665820,https://www.tripadvisor.com/Restaurant_Review-g12097270-d10525275,https://untappd.com/w/kelterei-gutshof-kraatz/210948
Still,🥉 HONOR,Mostschenke Brunner,"Apfelwein ""Maschansker""",91,Austria,https://www.mostschenke.com/,https://www.facebook.com/brunnermost,https://www.instagram.com/brunnermost/,https://maps.google.com/?cid=9656305552831248718,https://www.tripadvisor.com/Restaurant_Review-g3175997-d9608009,
Still,🥉 HONOR,Mostschenke Brunner,"Apfelwein ""Ilzer Rosenapfel""",91,Austria,https://www.mostschenke.com/,https://www.facebook.com/brunnermost,https://www.instagram.com/brunnermost/,https://maps.google.com/?cid=9656305552831248718,https://www.tripadvisor.com/Restaurant_Review-g3175997-d9608009,
Still,🥉 HONOR,Graf Apfelwein,Graf Old Selection,91,Austria,https://graf-apfelwein.at/,https://www.facebook.com/profile.php?id=100093306042750,https://www.instagram.com/graf_apfelwein/,https://maps.google.com/?cid=951213740707234325,,
Still,🥉 HONOR,Roter Adam,Roter Adam Apfelwein Selection Pfalzmark,91,Germany,https://www.roteradam.de/,,,,,https://untappd.com/w/manufactur-apfeltraum/309238
Still,🥉 HONOR,Bereziartua,Sidra Bereziartua,91,Spain,https://www.bereziartuasagardoa.com/,https://www.facebook.com/Bereziartua,https://www.instagram.com/SBereziartua/,https://maps.google.com/?cid=4287840169739792051,https://www.tripadvisor.com/Restaurant_Review-g1064182-d6740859,https://untappd.com/brewery/7553
Still,🥉 HONOR,Mistérios da Quinta,aRRebITa Tangerina,90,Portugal,,,https://www.instagram.com/sidrariaprazeres/,,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615
