Entrant,Region,🥇 First,🥈 Second,🥉 Third,Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Oliver's Cider and Perry,Herefordshire,2,2,1,5,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568
Dee Ciders,Flintshire,2,0,1,3,https://www.deeciders.com/,https://www.facebook.com/DeeCiders,,,,https://untappd.com/w/dee-ciders/126837
Gregg's Pit Cider and Perry,Herefordshire,2,0,0,2,https://www.greggs-pit.co.uk/,https://www.facebook.com/greggspit/,https://www.instagram.com/greggspit/,https://maps.google.com/?cid=12809496506561594272,,https://untappd.com/GreggsPitCiderPerry
Newton Court Cider,Herefordshire,1,1,1,3,https://www.newtoncourtcider.com/,https://www.facebook.com/newtonscider/,https://www.instagram.com/newtoncourtcider/,https://maps.google.com/?cid=16599711403513185285,https://www.tripadvisor.com/Attraction_Review-g1936778-d7940383,https://untappd.com/NewtonCourtCidery
Rosie's Triple D Cider,Denbighshire,1,1,1,3,https://www.rosiescider.co.uk/,https://www.facebook.com/rosiescider/,https://www.instagram.com/rosies_cider/,https://maps.google.com/?cid=12453816872387933094,,https://untappd.com/w/rosies-triple-d-cider/72489
Sisson & Smith,Nottinghamshire,1,1,1,3,,,,,,https://untappd.com/w/sisson-smith/229581
Cydr Dwaj Bracia,Poland,1,0,1,2,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234
BEARDspoon Cider,Kent,1,0,0,1,http://beardspoon.com/,https://www.facebook.com/BEARDspoon,https://www.instagram.com/beardspooncider/,,,https://untappd.com/BEARDspoon
Llanblethian Orchards,Vale of Glamorgan,1,0,0,1,https://llancider.wales/,https://www.facebook.com/LlanblethianOrchards/,,https://maps.google.com/?cid=14251523282683018794,,https://untappd.com/w/llanblethian-orchards/131984
Sam Everitt,Herefordshire,1,0,0,1,,,,,,
Little Pomona,Herefordshire,0,2,0,2,https://littlepomona.com/,https://www.facebook.com/LittlePomona/,https://www.instagram.com/littlepomona/,https://maps.google.com/?cid=1246096540068808621,https://www.tripadvisor.com/Attraction_Review-g503860-d24036981,https://untappd.com/w/little-pomona/328882
Pips Cider,Herefordshire,0,1,1,2,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027
99PINES,Gloucestershire,0,1,0,1,https://99pines.com/,https://www.facebook.com/99PINESPERRY/,https://www.instagram.com/99pinesperry/,,,https://untappd.com/w/99-pines-perry/546132
Mayfayre Cider & Perry,Herefordshire,0,1,0,1,,https://www.facebook.com/Mayfayreciderandperry/,https://www.instagram.com/mayfayre_/,,,https://untappd.com/w/mayfayre/398712
On Point Cider Company,Herefordshire,0,1,0,1,,https://www.facebook.com/OnPointCider/,https://www.instagram.com/onpointcider/,,,https://untappd.com/w/on-point-cider-company/548553
Restauracja Tabun,Poland,0,1,0,1,https://www.restauracjatabun.pl/,https://www.facebook.com/TABUNCYDR/,https://www.instagram.com/tabuncydr/,https://maps.google.com/?cid=13556304642115496222,https://www.tripadvisor.com/Restaurant_Review-g3222438-d2654599,https://untappd.com/w/tabun/434136
Skittery Cider,Herefordshire,0,1,0,1,https://www.jusapples.co.uk/,https://www.facebook.com/skitteryapplejuice/,https://www.instagram.com/skittery_apple_juice_and_cider/,https://maps.google.com/?cid=15026851892992901344,,
Butford Organics,Herefordshire,0,0,1,1,https://butfordorganics.co.uk/,https://www.facebook.com/pages/Butford-Organics-Cider-Perry/364735440244899,https://www.instagram.com/butford_cider/,https://maps.google.com/?cid=16494845033472918948,,https://untappd.com/brewery/36638
Gwatkin Cider,Herefordshire,0,0,1,1,https://gwatkincider.co.uk/,https://www.facebook.com/pages/Gwatkin-Cider/138521139506859,,https://maps.google.com/?cid=17407558906326157260,https://www.tripadvisor.com/Attraction_Review-g6585983-d11004876,https://untappd.com/brewery/12203
Thornborough Cider,North Yorkshire,0,0,1,1,https://www.thornboroughcider.co.uk/,https://www.facebook.com/thornboroughcider,https://www.instagram.com/thornboroughcider/,https://maps.google.com/?cid=5238332447600515576,,https://untappd.com/ThornboroughCider
Wilce's Cider,Herefordshire,0,0,1,1,https://wilces.co.uk/,https://www.facebook.com/WilcesCider,https://www.instagram.com/wilces_cider/,https://maps.google.com/?cid=9852459521261680794,,https://untappd.com/WilcesCider
Total,,13,13,11,37,,,,,,
