Class,Entrant,Region,Place,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Dry Cider,Dee Ciders,Flintshire,🥇 First,https://www.deeciders.com/,https://www.facebook.com/DeeCiders,,,,https://untappd.com/w/dee-ciders/126837
Dry Cider,Mayfayre Cider & Perry,Herefordshire,🥈 Second,,https://www.facebook.com/Mayfayreciderandperry/,https://www.instagram.com/mayfayre_/,,,https://untappd.com/w/mayfayre/398712
Dry Cider,Pips Cider,Herefordshire,🥉 Third,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027
Medium Cider,Llanblethian Orchards,Vale of Glamorgan,🥇 First,https://llancider.wales/,https://www.facebook.com/LlanblethianOrchards/,,https://maps.google.com/?cid=14251523282683018794,,https://untappd.com/w/llanblethian-orchards/131984
Medium Cider,Sisson & Smith,Nottinghamshire,🥈 Second,,,,,,https://untappd.com/w/sisson-smith/229581
Medium Cider,Dee Ciders,Flintshire,🥉 Third,https://www.deeciders.com/,https://www.facebook.com/DeeCiders,,,,https://untappd.com/w/dee-ciders/126837
Sweet Cider,Dee Ciders,Flintshire,🥇 First,https://www.deeciders.com/,https://www.facebook.com/DeeCiders,,,,https://untappd.com/w/dee-ciders/126837
Sweet Cider,Pips Cider,Herefordshire,🥈 Second,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027
Sweet Cider,Rosie's Triple D Cider,Denbighshire,🥉 Third,https://www.rosiescider.co.uk/,https://www.facebook.com/rosiescider/,https://www.instagram.com/rosies_cider/,https://maps.google.com/?cid=12453816872387933094,,https://untappd.com/w/rosies-triple-d-cider/72489
Perry - Dry,Gregg's Pit Cider and Perry,Herefordshire,🥇 First,https://www.greggs-pit.co.uk/,https://www.facebook.com/greggspit/,https://www.instagram.com/greggspit/,https://maps.google.com/?cid=12809496506561594272,,https://untappd.com/GreggsPitCiderPerry
Perry - Dry,Rosie's Triple D Cider,Denbighshire,🥈 Second,https://www.rosiescider.co.uk/,https://www.facebook.com/rosiescider/,https://www.instagram.com/rosies_cider/,https://maps.google.com/?cid=12453816872387933094,,https://untappd.com/w/rosies-triple-d-cider/72489
Perry - Dry,Oliver's Cider and Perry,Herefordshire,🥉 Third,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568
