Style,Medal,Medalist,Entry,Town,Department,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Cidre,🥇 Or,Cidre Lemasson,Lemasson Opié Dumur Bio 2022,Cametours,Manche,https://www.cidre-lemasson.fr/,https://www.facebook.com/cidrelemasson,https://www.instagram.com/cidrelemasson/,https://maps.google.com/?cid=7632467116285948880,https://www.tripadvisor.com/Attraction_Review-g12634286-d6538652,https://untappd.com/w/cidre-lemasson/247290
Cidre,🥇 Or,Earl du Manoir,Brut 2022,Couteillles,Eure,https://cidre-du-manoir-27.fr/,,,https://maps.google.com/?cid=4044711697661996773,,
Cidre,🥇 Or,Les Normandises du Pradon,Les Normandises du Pradon Extra-brut 2022,Gonfreville l'Orcher,Seine-Maritime,http://lesnormandisesdupradon.com/,https://www.facebook.com/lesnormandisesdupradon/,https://www.instagram.com/lesnormandisesdupradon/,https://maps.google.com/?cid=5034289693754776537,,https://untappd.com/w/ferme-du-pradon/228438
Cidre,🥇 Or,Famille Guesdon,Domaine de la Cave Normande Doux 2022,Saint-Cyr du Bailleul,Manche,https://famille-guesdon.com/,https://www.facebook.com/profile.php?id=100057212210806,https://www.instagram.com/lacavenormandeguesdon/,https://maps.google.com/?cid=13182761816105385497,,https://untappd.com/w/guesdon-p-re-et-fils/343009
Cidre,🥇 Or,Ferme de la Sapinière,Ferme de la Sapinière Apple Oak brut Bio 2021,Saint-Laurent-sur-Mer,Calvados,https://www.producteur-cidre.com/,https://www.facebook.com/fermedelasapiniere/,,https://maps.google.com/?cid=13033032790677741913,https://www.tripadvisor.com/Attraction_Review-g1462420-d4961506,https://untappd.com/w/ferme-de-la-sapini-re/124296
Cidre,🥇 Or,Domaine des Hauts-Vents,Domaine des Hauts Vents Cuvée Olga l'extra-brute 2021,Saint-Ouen du Tilleul,Eure,http://hautsvents.com/,https://www.facebook.com/CidreriedomaineDesHautsVents,https://www.instagram.com/domainedeshautsvents/,https://maps.google.com/?cid=3890633221204655265,https://www.tripadvisor.com/Attraction_Review-g661275-d6654230,https://untappd.com/w/domaine-des-hauts-vents/70064
Cidre,🥇 Or,Domaine des Hauts-Vents,Domaine des Hauts Vents Brut 2022,Saint-Ouen du Tilleul,Eure,http://hautsvents.com/,https://www.facebook.com/CidreriedomaineDesHautsVents,https://www.instagram.com/domainedeshautsvents/,https://maps.google.com/?cid=3890633221204655265,https://www.tripadvisor.com/Attraction_Review-g661275-d6654230,https://untappd.com/w/domaine-des-hauts-vents/70064
Cidre,🥇 Or,Domaine des Hauts-Vents,Domaine des Hauts Vents Cuvée Paule 2022,Saint-Ouen du Tilleul,Eure,http://hautsvents.com/,https://www.facebook.com/CidreriedomaineDesHautsVents,https://www.instagram.com/domainedeshautsvents/,https://maps.google.com/?cid=3890633221204655265,https://www.tripadvisor.com/Attraction_Review-g661275-d6654230,https://untappd.com/w/domaine-des-hauts-vents/70064
Cidre,🥈 Argent,Le Costil Rouge,Le Costil Rouge Brut Bio 2022,Airan,Calvados,,,,https://maps.google.com/?cid=813458325751135495,,https://untappd.com/w/didier-gilbert/324320
Cidre,🥈 Argent,Ferme du Manoir du Val,Le Manoir du Val Cidre du Pays de la Risle Bio 2022,Mesnil-en-Ouche,Eure,https://www.manoirduval.fr/,,,https://maps.google.com/?cid=848420197404289170,,
Cidre,🥈 Argent,Ferme du Manoir du Val,Le Manoir du Val Cidre demi-sec du Pays de la Risle Bio 2022,Mesnil-en-Ouche,Eure,https://www.manoirduval.fr/,,,https://maps.google.com/?cid=848420197404289170,,
Cidre,🥈 Argent,Ferme du Manoir du Val,Le Manoir du Val Cidre du Pays de la Risle 2021 Bio 2021,Mesnil-en-Ouche,Eure,https://www.manoirduval.fr/,,,https://maps.google.com/?cid=848420197404289170,,
