Medalist,Department,🥇 Or,🥈 Argent,Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Domaine des Hauts-Vents,Eure,3,2,5,http://hautsvents.com/,https://www.facebook.com/CidreriedomaineDesHautsVents,https://www.instagram.com/domainedeshautsvents/,https://maps.google.com/?cid=3890633221204655265,https://www.tripadvisor.com/Attraction_Review-g661275-d6654230,https://untappd.com/w/domaine-des-hauts-vents/70064
Cidre Lemasson,Manche,3,0,3,https://www.cidre-lemasson.fr/,https://www.facebook.com/cidrelemasson,https://www.instagram.com/cidrelemasson/,https://maps.google.com/?cid=7632467116285948880,https://www.tripadvisor.com/Attraction_Review-g12634286-d6538652,https://untappd.com/w/cidre-lemasson/247290
Famille Guesdon,Manche,2,2,4,https://famille-guesdon.com/,https://www.facebook.com/profile.php?id=100057212210806,https://www.instagram.com/lacavenormandeguesdon/,https://maps.google.com/?cid=13182761816105385497,,https://untappd.com/w/guesdon-p-re-et-fils/343009
Cidrerie Domaine du Ruisseau,Orne,2,0,2,,,,https://maps.google.com/?cid=14181024575525431243,,https://untappd.com/w/domaine-du-ruisseau/470036
Ferme des Martellières,Orne,1,3,4,https://www.les-martellieres.com/,https://www.facebook.com/LesMartellieres.ProduitsCidricoles,,https://maps.google.com/?cid=13628777607608573968,,https://untappd.com/w/les-martellieres/291057
Les Vergers de Ducy,Calvados,1,2,3,https://lesvergersdeducy.fr/,https://www.facebook.com/LesVergersdeDucy/,,https://maps.google.com/?cid=5658619103463764772,https://www.tripadvisor.com/Attraction_Review-g5105596-d5012299,https://untappd.com/w/les-vergers-de-ducy/68480
Breton Michel,Orne,1,1,2,https://www.cidre-bretonmichel.com/,,,https://maps.google.com/?cid=12939236238538332078,,https://untappd.com/w/breton-michel/222629
Ferme Cidricole Desvoye,Calvados,1,1,2,https://www.cidre-calvados-desvoye.fr/,https://www.facebook.com/profile.php?id=100015340218972,https://www.instagram.com/calvados_desvoye/,https://maps.google.com/?cid=9466556986578009265,https://www.tripadvisor.com/Attraction_Review-g14010617-d21111014,https://untappd.com/w/cidrerie-desvoye/264267
La Cave de la Loterie,Calvados,1,1,2,https://www.cavedelaloterie.fr/,https://www.facebook.com/cavedelaloterie,https://www.instagram.com/cave_de_la_loterie/,https://maps.google.com/?cid=14052572828101776269,https://www.tripadvisor.com/Attraction_Review-g672828-d12674111,https://untappd.com/w/cave-de-la-loterie/234216
Les Normandises du Pradon,Seine-Maritime,1,1,2,http://lesnormandisesdupradon.com/,https://www.facebook.com/lesnormandisesdupradon/,https://www.instagram.com/lesnormandisesdupradon/,https://maps.google.com/?cid=5034289693754776537,,https://untappd.com/w/ferme-du-pradon/228438
Domaine des 5 Autels,Calvados,1,0,1,https://cinqautels.com/,https://www.facebook.com/5Autels/,https://www.instagram.com/5autels/,https://maps.google.com/?cid=1561300018564057036,https://www.tripadvisor.com/Hotel_Review-g1385431-d1308959,https://untappd.com/w/domaine-des-cinqs-autels/519014
Earl du Manoir,Eure,1,0,1,https://cidre-du-manoir-27.fr/,,,https://maps.google.com/?cid=4044711697661996773,,
Ferme de la Sapinière,Calvados,1,0,1,https://www.producteur-cidre.com/,https://www.facebook.com/fermedelasapiniere/,,https://maps.google.com/?cid=13033032790677741913,https://www.tripadvisor.com/Attraction_Review-g1462420-d4961506,https://untappd.com/w/ferme-de-la-sapini-re/124296
Le Pressoir d'Or,Eure,1,0,1,http://www.pressoirdor.com/,,https://www.instagram.com/lepressoirdor/,https://maps.google.com/?cid=11174929092699381803,,https://untappd.com/w/le-pressoir-d-or/210218
