Medalist,Region,🥇 Or,🥈 Argent,🥉 Bronze,Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Cidrerie Château Lézergué,Brittany,3,2,0,5,https://www.chateau-lezergue.com/,https://www.facebook.com/profile.php?id=100066917829363,https://www.instagram.com/cidrerie_chateaudelezergue/,https://maps.google.com/?cid=8273125568764221419,,https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246
Ferme du Theil,Pays de la Loire,2,0,0,2,https://www.fermedutheil.com/,https://www.facebook.com/fermedutheil,https://www.instagram.com/fermedutheil/,https://maps.google.com/?cid=11988918544771126641,,https://untappd.com/w/gaec-rouland-ferme-du-theli/138309
Cidre Le Brun,Brittany,1,2,0,3,https://cidrelebrun.com/,,https://www.instagram.com/cidrelebrun,https://maps.google.com/?cid=5387381455239409930,,https://untappd.com/brewery/31897
Cidrerie Benoit,Brittany,1,1,0,2,https://www.cidreriebenoit.fr/,https://www.facebook.com/CidrerieBenoit/,,https://maps.google.com/?cid=2837012515774011484,,https://untappd.com/w/cidrerie-benoit/548797
Ferme Saint Charles,Pays de la Loire,1,1,0,2,https://www.fermesaintcharles.fr/,https://www.facebook.com/profile.php?id=100069349890721,https://www.instagram.com/ferme_saint_charles/,https://maps.google.com/?cid=3373440369955425792,,https://untappd.com/w/ferme-saint-charles/416358
Le Pressoir d'Or,Normandy,1,1,0,2,http://www.pressoirdor.com/,,https://www.instagram.com/lepressoirdor/,https://maps.google.com/?cid=11174929092699381803,,https://untappd.com/w/le-pressoir-d-or/210218
Cidre Viard-Bayeux,Normandy,1,0,1,2,https://cidrebayeux.com/,https://www.facebook.com/CidresBayeux,https://www.instagram.com/cidrerie_bayeux/,https://maps.google.com/?cid=13233255599279949282,https://www.tripadvisor.com/Attraction_Review-g187181-d3454062,https://untappd.com/w/cidrerie-viard/26008
Cidrerie Des Terroirs,Brittany,1,0,1,2,,,,https://maps.google.com/?cid=1276600632339613858,,https://untappd.com/w/cidrerie-des-terroirs/72347
Val de Rance,Brittany,1,0,1,2,https://www.valderance.com/,https://www.facebook.com/ValdeRance/,,https://maps.google.com/?cid=7883069809343472545,,https://untappd.com/LesCelliersAssocis
Cidrerie Dujardin,Normandy,1,0,0,1,http://www.cidres-dujardin.fr/,,,https://maps.google.com/?cid=10438887429258835490,,https://untappd.com/w/cidrerie-dujardin/20309
Cidrerie Manoir du Kinkiz,Brittany,1,0,0,1,https://www.kinkiz-terroir.bzh/,https://www.facebook.com/DomaineDuKinkiz/,,https://maps.google.com/?cid=1999207604560008916,https://www.tripadvisor.com/Attraction_Review-g187100-d7745799,https://untappd.com/brewery/19870
Manoir de Grandouet,Normandy,1,0,0,1,https://www.manoir-de-grandouet.fr/,https://www.facebook.com/grandval.fr/,https://www.instagram.com/manoirdegrandouet/,https://maps.google.com/?cid=1664850146101306839,https://www.tripadvisor.com/Attraction_Review-g672825-d6994534,https://untappd.com/brewery/18942
Cidre Séhédic,Brittany,0,2,0,2,https://www.cidre-sehedic.fr/,https://www.facebook.com/cidresehedic/,https://www.instagram.com/cidresehedic,https://maps.google.com/?cid=9273404757209871069,https://www.tripadvisor.com/Attraction_Review-g672967-d12699265,https://untappd.com/cidresehedic
Distillerie des Menhirs,Brittany,0,2,0,2,https://www.distillerie.bzh/,https://www.facebook.com/distillerie.bzh,https://www.instagram.com/distilleriedesmenhirs/,https://maps.google.com/?cid=13168987804989415582,https://www.tripadvisor.com/Attraction_Review-g2544571-d7920317,https://untappd.com/w/distillerie-des-menhirs/91619
Maison Kerloïck,Brittany,0,2,0,2,https://www.kerloick.bzh/,https://www.facebook.com/people/Maison-Kerlo%C3%AFck/100063648757927/,https://www.instagram.com/maison_kerloick/,https://maps.google.com/?cid=8360416368856844083,,https://untappd.com/w/cidrerie-kerloick/400998
Cidre Fournier,Normandy,0,1,3,4,https://www.cidre-fournier.com/,https://www.facebook.com/cidrefournier,https://www.instagram.com/cidrefournier/,https://maps.google.com/?cid=13822741997025402443,,https://untappd.com/w/cidre-fournier/304628
Cidre Sorre,Brittany,0,1,1,2,https://www.cidre-sorre.fr/,https://www.facebook.com/CidrerieSorre/,https://www.instagram.com/cidreriesorre/,https://maps.google.com/?cid=3277478841126723957,https://www.tripadvisor.com/Attraction_Review-g8506159-d8653800,https://untappd.com/w/cidre-sorre/16758
Cidres Kerisac,Pays de la Loire,0,1,1,2,https://kerisac.bzh/,https://www.facebook.com/cidrekerisac,https://www.instagram.com/cidreriekerisac/,https://maps.google.com/?cid=14431639837198759734,,https://untappd.com/w/cidres-kerisac/12846
