Class,Award,Entrant,Entry,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Supreme British Champion Cider — The Rupert Best Cup,🏆 Champion,Bere Cider Company,Yarlington Mill,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Supreme British Champion Cider — The Rupert Best Cup,🏆 Reserve,Rawlins Family Cider,Medium,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
British Champion Farmhouse Cider — The Worshipful Company of Pewterer's Perpetual Cup,🏆 Champion,Palmers Upland Cyder,Rubber Chicken,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238
British Champion Farmhouse Cider — The Worshipful Company of Pewterer's Perpetual Cup,🏆 Reserve,Sisson & Smith,Sweet #2,,,,,,https://untappd.com/w/sisson-smith/229581
British Champion Perry — The Lawrence Reilly Perry Cup,🏆 Champion,Hecks Cider,Keeved Oldfield Perry,https://www.heckscider.com/,https://www.facebook.com/profile.php?id=100064795443706,https://www.instagram.com/hecksfarmhousecider/,https://maps.google.com/?cid=14811456381048588409,https://www.tripadvisor.com/Attraction_Review-g780820-d8126251,https://untappd.com/brewery/6758
British Champion Perry — The Lawrence Reilly Perry Cup,🏆 Reserve,Dr Rob Whale,Perry,,,,,,
Best Fruit Cider — The Weston's Cider Organic Cider Cup,🏆 Winner,Dr Rob Whale,Pineapple Cider,,,,,,
Best Fruit Cider — The Weston's Cider Organic Cider Cup,🏆 Reserve,Broadpool Cider,Broadpool Hopped,,,,,,
Best Cider Adjudged (Classes 5 & 9) — The Arthur Davis Cider Cup,🏆 Winner,Wyldlands,Gold,,,,,,
Best Cider Adjudged (Classes 5 & 9) — The Arthur Davis Cider Cup,🏆 Reserve,Bere Cider Company,Yarlington Mill,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Cider Newcomer Award — The Vigo Trophy,🏆 Winner,Steve Faulkner,Molly's Cider,,,,,,
Cider Newcomer Award — The Vigo Trophy,🏆 Reserve,Dinnington Cider Press,Cidre Bouché,,,,,,
Open Class Dry,🏆 Best in Class,William Barnes,Padfield Cider,,,,,,
Open Class Dry,🥈 Silver,Artistraw Cider,Strange Shrew,https://www.artistraw.co.uk/,,https://www.instagram.com/artistrawcider/,https://maps.google.com/?cid=12066394488060764321,,https://untappd.com/w/artistraw-cider/438538
Open Class Dry,🥈 Silver,Dee Ciders,Richard's Dry Cider,,,,,,
Open Class Dry,🥈 Silver,Broadpool Cider,Broadpool Dry Cider,,,,,,
Open Class Dry,🥈 Silver,Woodredding Cider and Perry,Oaky Meadow,https://www.woodreddingcider.co.uk/,https://www.facebook.com/woodreddingcider,,https://maps.google.com/?cid=13540344738396319268,,https://untappd.com/w/woodredding/156024
Open Class Dry,🥈 Silver,Mount Vale Orchards,St Aubyn's Dry,,,,,,
Open Class Dry,🥈 Silver,BetterCider - Bristol University,Prince William & Ellis Blend,https://www.bristol.ac.uk/external-estate/fenswoodfarm/better-cider/,,https://www.instagram.com/bettercider/,,,
Open Class Dry,🥈 Silver,Orchard 101,Herakles,,,,,,
Open Class Dry,🥈 Silver,W-G Cider,W-G Farmhouse Cider,,https://www.facebook.com/WGFarmhouseCider/,,,,https://untappd.com/w/w-g-farmhouse-cider/558921
Open Class Dry,🥈 Silver,North Down Orchard,Dry,,,,,,
Open Class Dry,🥈 Silver,Dr Rob Whale,Festival Dry,,,,,,
Open Class Dry,🥈 Silver,Pips Cider,Pips Dry Cider,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027
Open Class Dry,🥈 Silver,Hitchcox Cider,Hitchcox Cider,https://hitchcoxcider.co.uk/,https://www.facebook.com/HitchcoxCider/,https://www.instagram.com/hitchcox_cider/,https://maps.google.com/?cid=6038804049112704578,,https://untappd.com/w/hitchcox-cider-orchard-cottage-cider-company/130683
Open Class Dry,🥈 Silver,Abbey Orchards,Abbott's Secret 2022,,,,,,
Open Class Dry,🥈 Silver,Dinnington Cider Press,Dragonfly Cider,,,,,,
Open Class Dry,🥈 Silver,Wild West Cider,A Day At The Races,https://www.wildwestcider.co.uk/,https://www.facebook.com/Wildwestcider1,https://www.instagram.com/wildwestcider/,,,https://untappd.com/w/wild-west-cidery/539141
Open Class Dry,🥉 Bronze,Dowding's,Dowding's Tower Brue Dry Carbonated Cider,,,,,,
Open Class Dry,🥉 Bronze,Palmers Upland Cyder,Cwn Annwn,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238
Open Class Dry,🥉 Bronze,Jonathan Marsden,Draycott Farm Cider,,,,,,
Open Class Dry,🥉 Bronze,Loader's Cider,Loader's Dry 2021,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285
Open Class Dry,🥉 Bronze,Loader's Cider,Loader's Drycider,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285
Open Class Dry,🥉 Bronze,Artistraw Cider,Jury,https://www.artistraw.co.uk/,,https://www.instagram.com/artistrawcider/,https://maps.google.com/?cid=12066394488060764321,,https://untappd.com/w/artistraw-cider/438538
Open Class Dry,🥉 Bronze,Martin Pagett,Pagetts Traditional Cider,,,,,,
Open Class Dry,🥉 Bronze,Camilla Humphries,Camilla’s Crush Red Hill Cider,,,,,,
Open Class Dry,🥉 Bronze,Chapel Sider,Witham Sunrise,https://chapelsider.co.uk/,https://www.facebook.com/chapelsider,https://www.instagram.com/chapel_sider/,,,https://untappd.com/w/chapel-sider/484323
Open Class Dry,🥉 Bronze,Northleigh Cider,Northleigh Cider,,,,,,
Open Class Dry,🥉 Bronze,Rawlins Family Cider,Dry,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Open Class Dry,🥉 Bronze,Crest Cyder,Traditional,,,,,,
Open Class Dry,🥉 Bronze,Wolds Wine Estate,Still Wild,https://woldswineestate.com/,https://www.facebook.com/woldswineestate,https://www.instagram.com/woldswineestate,https://maps.google.com/?cid=16032812922317610608,https://www.tripadvisor.com/Hotel_Review-g504074-d23448632,
Open Class Dry,🥉 Bronze,Showerings,Showerings Dry Cider,https://brotherscider.co.uk/,https://www.facebook.com/BrothersCider,https://www.instagram.com/brotherscider,https://maps.google.com/?cid=1454211960614674654,,https://untappd.com/BrothersCider
Open Class Dry,🥉 Bronze,Rennie's Winslow Cider,Rennie's Winslow Dry Cider,,https://www.facebook.com/winslowcider/,https://www.instagram.com/rennies_winslow_cider/,,,https://untappd.com/w/winslow-cider/407208
Open Class Dry,🥉 Bronze,Seven Trees Cider,Kingston Black,,,,,,
Open Class Dry,🥉 Bronze,Sweeting's Cider,Vintage Dry,,,,,,
Open Class Dry,🥉 Bronze,Lower Rydon,Farmhouse,,,,,,
Open Class Dry,🥉 Bronze,Lower Rydon,Farmhouse,,,,,,
Open Class Dry,🥉 Bronze,Abbey Orchards,Abbott's Secret 2023,,,,,,
Open Class Dry,🥉 Bronze,The Hayloft,Orchard Blend,,,,,,
Open Class Medium,🏆 Best in Class,Rawlins Family Cider,Medium,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Open Class Medium,🥇 Gold,James and Becky Gerlis-Gray,Crowded Rooms,,,,,,
Open Class Medium,🥇 Gold,Hitchcox Cider,Hitchcox Medium,https://hitchcoxcider.co.uk/,https://www.facebook.com/HitchcoxCider/,https://www.instagram.com/hitchcox_cider/,https://maps.google.com/?cid=6038804049112704578,,https://untappd.com/w/hitchcox-cider-orchard-cottage-cider-company/130683
Open Class Medium,🥈 Silver,Kentish Pip,Craftsman,https://www.kentishpip.co.uk/,https://www.facebook.com/kentishpip,https://www.instagram.com/kentishpip,https://maps.google.com/?cid=10171179408012212368,https://www.tripadvisor.com/Attraction_Review-g186311-d19116139,https://untappd.com/w/kentish-pip/56097
Open Class Medium,🥈 Silver,Glastonbury Abbey,Glastonbury Abbey Cider,,,,,,
Open Class Medium,🥈 Silver,Loader's Cider,Loader's Sweetings Mill,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285
Open Class Medium,🥈 Silver,Courtneys of Whimple,Silly Cow Cider,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,,
Open Class Medium,🥈 Silver,Chris Conroy,"Colonels Cider, White Top",,,,,,
Open Class Medium,🥈 Silver,Cranborne Chase Cider,General Pitt Rivers,https://cranbornechasecider.co.uk/,https://www.facebook.com/cranbornechasecider,https://www.instagram.com/cranborne_chase_cider/,https://maps.google.com/?cid=11691295207635124730,,https://untappd.com/w/cranborne-chase/146534
Open Class Medium,🥈 Silver,Bere Cider Company,5 Acres,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Open Class Medium,🥈 Silver,Broadpool Cider,Broadpool Medium Cider,,,,,,
Open Class Medium,🥈 Silver,William Barnes,Padfield Cider,,,,,,
Open Class Medium,🥈 Silver,Showerings,Showerings Medium Cider,https://brotherscider.co.uk/,https://www.facebook.com/BrothersCider,https://www.instagram.com/brotherscider,https://maps.google.com/?cid=1454211960614674654,,https://untappd.com/BrothersCider
Open Class Medium,🥈 Silver,Broadpool Cider,Broadpool Medium Cider,,,,,,
Open Class Medium,🥈 Silver,North Down Orchard,Medium,,,,,,
Open Class Medium,🥈 Silver,Dr Rob Whale,Premium Medium,,,,,,
Open Class Medium,🥈 Silver,Steve Faulkner,Jasmine's Meduim,,,,,,
Open Class Medium,🥉 Bronze,Kentish Pip,Skylark,https://www.kentishpip.co.uk/,https://www.facebook.com/kentishpip,https://www.instagram.com/kentishpip,https://maps.google.com/?cid=10171179408012212368,https://www.tripadvisor.com/Attraction_Review-g186311-d19116139,https://untappd.com/w/kentish-pip/56097
Open Class Medium,🥉 Bronze,Dowding's,Dowding's Tower Brue Medium Still Cider,,,,,,
Open Class Medium,🥉 Bronze,Dowding's,Dowding's Tower Brue Medium Carbonated Cider,,,,,,
Open Class Medium,🥉 Bronze,Jonathan Marsden,Draycott Farm Cider,,,,,,
Open Class Medium,🥉 Bronze,Hartpury University Cider Project,Hartpury Cider 2023 Crop,,,,,,
Open Class Medium,🥉 Bronze,Dee Ciders,Richard's Medium Cider,,,,,,
Open Class Medium,🥉 Bronze,Chris Conroy,"Colonels Cider, Red Stripe",,,,,,
Open Class Medium,🥉 Bronze,Tricky Cider,Wizard,https://trickycider.com/,https://www.facebook.com/trickycider,https://www.instagram.com/trickycider,https://maps.google.com/?cid=9525501189343767202,,https://untappd.com/brewery/17152
Open Class Medium,🥉 Bronze,Paul Rendell,Northleigh Cider,,,,,,
Open Class Medium,🥉 Bronze,Woodredding Cider and Perry,Jack's Tipple,https://www.woodreddingcider.co.uk/,https://www.facebook.com/woodreddingcider,,https://maps.google.com/?cid=13540344738396319268,,https://untappd.com/w/woodredding/156024
Open Class Medium,🥉 Bronze,Little Pomona,Little Miracle,https://littlepomona.com/,https://www.facebook.com/LittlePomona/,https://www.instagram.com/littlepomona/,https://maps.google.com/?cid=1246096540068808621,https://www.tripadvisor.com/Attraction_Review-g503860-d24036981,https://untappd.com/w/little-pomona/328882
Open Class Medium,🥉 Bronze,BetterCider - Bristol University,Falstaff Blend,https://www.bristol.ac.uk/external-estate/fenswoodfarm/better-cider/,,https://www.instagram.com/bettercider/,,,
Open Class Medium,🥉 Bronze,Alan Berry,Blackmore Vale Cider,,,,,,
Open Class Medium,🥉 Bronze,Shed Cider,Medium Sweet Sparkling,https://www.shedcider.com/,https://www.facebook.com/p/Shed-Cider-100054294351085/,https://www.instagram.com/shed.cider/,,,https://untappd.com/w/shed-cider/415161
Open Class Medium,🥉 Bronze,Rennie's Winslow Cider,Rennie's Winslow Cider,,https://www.facebook.com/winslowcider/,https://www.instagram.com/rennies_winslow_cider/,,,https://untappd.com/w/winslow-cider/407208
Open Class Medium,🥉 Bronze,Seven Trees Cider,Reading Press,,,,,,
Open Class Medium,🥉 Bronze,Dr Rob Whale,Festival Medium,,,,,,
