Region,🏆 Platinum,🥇🥇 Double Gold,🥇 Gold,🥈 Silver,🥉 Bronze,Judges' Pick,Total
Washington,23,27,35,36,10,84,215
Oregon,13,21,30,21,12,45,142
Colorado,11,15,9,7,0,16,58
New York,7,6,9,4,2,24,52
California,2,4,3,13,4,12,38
Michigan,3,4,5,5,1,12,30
Vermont,0,6,3,4,3,12,28
North Carolina,3,4,3,4,1,10,25
Quebec,1,6,4,3,0,9,23
Pennsylvania,2,0,2,3,4,9,20
Nebraska,3,5,2,1,0,7,18
Massachusetts,0,1,3,2,1,11,18
Minnesota,0,3,5,0,0,7,15
Virginia,2,3,2,0,2,5,14
Idaho,1,3,6,1,1,2,14
Wisconsin,2,1,1,4,0,4,12
Tennessee,0,2,1,1,1,7,12
British Columbia,0,2,1,2,2,4,11
Ontario,0,0,2,3,1,4,10
Texas,0,2,1,2,0,4,9
Georgia,1,1,0,3,0,3,8
Arkansas,2,3,1,0,0,1,7
Delaware,1,0,2,0,0,4,7
Nova Scotia,0,1,1,2,0,3,7
New Jersey,0,1,1,1,0,4,7
Normandy,2,1,1,2,0,0,6
Asturias,1,1,2,1,0,1,6
Ohio,1,0,1,1,0,1,4
Brittany,0,2,2,0,0,0,4
Utah,0,1,0,0,0,3,4
Kentucky,1,0,0,1,0,1,3
Connecticut,0,1,0,2,0,0,3
Arizona,0,1,0,0,0,2,3
Missouri,0,0,1,0,0,2,3
New Mexico,0,0,0,1,0,1,2
Alaska,0,0,0,0,1,1,2
Basque Country,0,0,0,0,0,2,2
Hawaii,0,0,0,0,0,2,2
Herefordshire,0,1,0,0,0,0,1
Indiana,0,1,0,0,0,0,1
Luxembourg,0,1,0,0,0,0,1
Cantabria,0,0,0,1,0,0,1
Montana,0,0,0,1,0,0,1
West Virginia,0,0,0,1,0,0,1
Florida,0,0,0,0,0,1,1
Total,82,131,139,133,46,320,851
