Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,First,Last,Years,City,Region,Country,Status,Results
Uncle John's,19,28,91,73,211,2005,2023,17,St Johns,Michigan,USA,Active,https://ciderguide.com/uncle-johns/
2 Towns Ciderhouse,5,20,104,77,206,2012,2024,12,Corvallis,Oregon,USA,Active,https://ciderguide.com/2-towns-ciderhouse/
Seattle Cider Company,10,15,72,58,155,2015,2024,9,Seattle,Washington,USA,Active,https://ciderguide.com/seattle-cider-company/
Angry Orchard,5,8,59,75,147,2013,2024,11,Walden,New York,USA,Active,https://ciderguide.com/angry-orchard/
Haykin Family Cider,16,14,70,28,128,2017,2024,7,Aurora,Colorado,USA,Active,https://ciderguide.com/haykin-family-cider/
Snow Capped Cider,17,17,51,37,122,2017,2024,7,Cedaredge,Colorado,USA,Active,https://ciderguide.com/snow-capped-cider/
Bauman's Cider,11,20,58,21,110,2016,2024,8,Gervais,Oregon,USA,Active,https://ciderguide.com/baumans-cider/
Vander Mill,2,10,52,37,101,2008,2024,15,Grand Rapids,Michigan,USA,Active,https://ciderguide.com/vander-mill/
Vermont Cider Company,7,8,39,46,100,2005,2024,14,Middlebury,Vermont,USA,Active,https://ciderguide.com/vermont-cider-company/
Tandem Ciders,6,9,59,21,95,2009,2024,14,Suttons Bay,Michigan,USA,Active,https://ciderguide.com/tandem-ciders/
Twin Pines Orchards & Cider House,3,12,36,43,94,2011,2023,12,Thedford,Ontario,Canada,Active,https://ciderguide.com/twin-pines-orchards-cider-house/
Blake's Hard Cider Co.,1,11,38,30,80,2014,2024,10,Armada,Michigan,USA,Active,https://ciderguide.com/blakes-hard-cider-co/
Farmhaus Cider Co.,0,9,42,24,75,2015,2024,9,Hudsonville,Michigan,USA,Active,https://ciderguide.com/farmhaus-cider-co/
1911 Established,2,6,43,23,74,2015,2024,8,Marietta,New York,USA,Active,https://ciderguide.com/1911-established/
Thornbury Craft Co.,6,6,46,14,72,2013,2024,11,Thornbury,Ontario,Canada,Active,https://ciderguide.com/thornbury-craft-co/
Eden Ciders,10,12,31,17,70,2009,2024,14,Newport,Vermont,USA,Active,https://ciderguide.com/eden-ciders/
AeppelTreow Winery & Distillery,4,8,22,36,70,2005,2024,18,Burlington,Wisconsin,USA,Active,https://ciderguide.com/aeppeltreow-winery-distillery/
Gypsy Circus,1,5,35,29,70,2017,2023,4,Kingsport,Tennessee,USA,Active,https://ciderguide.com/gypsy-circus/
Northville Winery and Brewing Company,4,4,30,31,69,2008,2024,15,Northville,Michigan,USA,Active,https://ciderguide.com/northville-winery-and-brewing-company/
