Year,Style,Medalist,Entry,Region,Award,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2014,Common Dry Cider,Blue Mountain Cider Company,Estate Winesap,Oregon,🥇 Gold,https://drinkcider.com/,https://www.facebook.com/DrinkCider/,https://www.instagram.com/bluemtncider,https://maps.google.com/?cid=2440645858088809767,https://www.yelp.com/biz/blue-mountain-cider-company-milton-freewater,https://www.tripadvisor.com/Attraction_Review-g51971-d734659,https://untappd.com/w/blue-mountain-cider-company/17953
2014,Common Dry Cider,Cider Riot!,Burncider,Oregon,🥈 Silver,,,,,,,
2014,Common Dry Cider,Wandering Aengus Ciderworks,Wandering Aengus Wickson,Oregon,🥉 Bronze,,,,,,,
2014,Common Sweet Cider,Apple Outlaw,Apple Bandit Original,Oregon,🥇 Gold,http://www.appleoutlaw.com/,https://www.facebook.com/appleoutlaw/,https://www.instagram.com/appleoutlaw/,https://maps.google.com/?cid=5850813650004409160,,,https://untappd.com/w/apple-outlaw-cider/167265
2014,Common Sweet Cider,Wandering Aengus Ciderworks,Wandering Aengus Bloom,Oregon,🥉 Bronze,,,,,,,
2014,Wood/Oaked Cider,Rogue Ales & Spirits,Rogue Pink Gin Cider,Oregon,🥇 Gold,http://www.rogue.com/,,,https://maps.google.com/?cid=15972873389957435766,https://www.yelp.com/biz/rogue-brewing-newport,https://www.tripadvisor.com/Attraction_Review-g51992-d6539306,https://untappd.com/w/rogue-ales-and-spirits/4565
2014,Wood/Oaked Cider,Finnriver Farm & Cidery,Finnriver Fire Barrel Cider,Washington,🥈 Silver,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008
2014,Fruit Cider,Finnriver Farm & Cidery,Finnriver Black Currant Cider,Washington,🥇 Gold,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008
2014,Fruit Cider,Tieton Cider Works,Cherry Blend,Washington,🥈 Silver,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
2014,Specialty Cider,Bull Run Cider,Pear Wine,Oregon,🥇 Gold,http://www.bullruncider.com/,https://www.facebook.com/Cider,https://www.instagram.com/bullruncider/,https://maps.google.com/?cid=13917891364878698013,https://www.yelp.com/biz/bull-run-cider-forest-grove,,https://untappd.com/w/bull-run-cider/58380
2014,Specialty Cider,Tieton Cider Works,Tieton Frost,Washington,🥈 Silver,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
