Region,Year,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
British Columbia,2013,3,2,2,7
Washington,2013,2,3,2,7
Oregon,2013,1,2,3,6
Montana,2013,1,1,0,2
Oregon,2014,4,3,3,10
Washington,2014,1,3,2,6
British Columbia,2014,0,1,0,1
Oregon,2015,4,6,4,14
Washington,2015,2,1,3,6
British Columbia,2015,1,0,1,2
Oregon,2016,5,6,4,15
Washington,2016,1,1,3,5
British Columbia,2016,0,1,3,4
Montana,2016,1,0,1,2
Oregon,2017,6,4,7,17
Washington,2017,0,4,3,7
Montana,2017,2,1,0,3
British Columbia,2017,0,1,2,3
Idaho,2017,0,1,0,1
Oregon,2018,12,8,10,30
Washington,2018,2,5,3,10
Montana,2018,1,2,2,5
British Columbia,2018,1,0,0,1
Idaho,2018,0,1,0,1
Oregon,2019,8,11,7,26
Washington,2019,6,4,8,18
British Columbia,2019,0,2,0,2
Idaho,2019,0,1,0,1
Montana,2019,0,1,0,1
Oregon,2021,10,6,6,22
Washington,2021,4,7,6,17
British Columbia,2021,2,1,1,4
Montana,2021,0,2,0,2
Washington,2022,10,10,11,31
Oregon,2022,7,9,5,21
British Columbia,2022,3,2,2,7
Montana,2022,0,1,0,1
Washington,2023,8,6,8,22
Oregon,2023,7,9,4,20
Idaho,2023,2,1,2,5
British Columbia,2023,1,1,2,4
Washington,2024,9,7,9,25
Oregon,2024,6,12,7,25
British Columbia,2024,2,2,2,6
Idaho,2024,0,1,0,1
<b>Total</b>,<b>2013</b>,<b>7</b>,<b>8</b>,<b>7</b>,<b>22</b>
<b>Total</b>,<b>2014</b>,<b>5</b>,<b>7</b>,<b>5</b>,<b>17</b>
<b>Total</b>,<b>2015</b>,<b>7</b>,<b>7</b>,<b>8</b>,<b>22</b>
<b>Total</b>,<b>2016</b>,<b>7</b>,<b>8</b>,<b>11</b>,<b>26</b>
<b>Total</b>,<b>2017</b>,<b>8</b>,<b>11</b>,<b>12</b>,<b>31</b>
<b>Total</b>,<b>2018</b>,<b>16</b>,<b>16</b>,<b>15</b>,<b>47</b>
<b>Total</b>,<b>2019</b>,<b>14</b>,<b>19</b>,<b>15</b>,<b>48</b>
<b>Total</b>,<b>2021</b>,<b>16</b>,<b>16</b>,<b>13</b>,<b>45</b>
<b>Total</b>,<b>2022</b>,<b>20</b>,<b>22</b>,<b>18</b>,<b>60</b>
<b>Total</b>,<b>2023</b>,<b>18</b>,<b>17</b>,<b>16</b>,<b>51</b>
<b>Total</b>,<b>2024</b>,<b>17</b>,<b>22</b>,<b>18</b>,<b>57</b>
