Year,Award,Producer,Entry,Category
2013,🏆 Best of Show,Merridale Ciderworks,Cyser,Specialty
2013,🏆 Runner-Up,Montana CiderWorks,Darby Pub Cider,Common Sweet Cider
2013,🏆 Small Cidery,Montana CiderWorks,,
2013,🏆 Large Cidery,Merridale Ciderworks,,
2014,🏆 Best of Show,Apple Outlaw,Original,Common Sweet Cider
2014,🏆 Runner-Up,Finnriver,Black Currant Cider,Fruit Cider
2015,🏆 Best of Show,Left Field Cider Co.,Pear Dry,Modern Perry
2015,🏆 Runner-Up,2 Towns Ciderhouse,Afton Field 2013,Wild/Non-Sac Cider
2015,🏆 Small Cidery,Apple Outlaw,,
2015,🏆 Large Cidery,2 Towns Ciderhouse,,
2016,🏆 Best of Show,Montana CiderWorks,Darby Pub Cider,Modern Sweet Cider
2016,🏆 Runner-Up,Cider Riot!,1763,English Dry Cider
2016,🏆 Small Cidery,Apple Outlaw,,
2016,🏆 Large Cidery,2 Towns Ciderhouse,,
2017,🏆 Best of Show,Western Cider Company,McIntosh,Heritage Dry Cider
2017,🏆 Runner-Up,Montana CiderWorks,North Fork Traditional,English Sweet Cider
2017,🏆 New Cidery,Western Cider Company,,
2017,🏆 Small Cidery,Montana CiderWorks,,
2017,🏆 Large Cidery,2 Towns Ciderhouse,,
2018,🏆 Best of Show,Montana CiderWorks,Darby Pub Cider,Heritage Sweet
2018,🏆 Runner-Up,Sea Cider Farm & Ciderhouse,Bittersweet,English Sweet
2018,🏆 New Cidery,Draper Girls Cider Co.,,
2018,🏆 Small Cidery,Montana CiderWorks,,
2018,🏆 Medium Cidery,Swift Cider,,
2018,🏆 Large Cidery,2 Towns Ciderhouse,,
2019,🏆 Best of Show,2 Towns Ciderhouse,8th Anniversary,Heritage Dry
2019,🏆 Runner-Up,Liberty Ciderworks,Kingston Black SV,Single Varietal - Bittersweet/Bittersharp
2019,🏆 Runner-Up,Snowdrift Cider Co.,Red,Specialty
2019,🏆 New Cidery,Independent Perry,,
2019,🏆 Small Cidery,Liberty Ciderworks,,
2019,🏆 Small Cidery,Snowdrift Cider Co.,,
2019,🏆 Medium Cidery,Bauman's Cider,,
2019,🏆 Large Cidery,2 Towns Ciderhouse,,
2021,🏆 Best of Show,Sea Cider Farm & Ciderhouse,Bittersweet,English Sweet Cider
2021,🏆 Runner-Up,2 Towns Ciderhouse,11th Anniversary,Modern Sweet Cider
2021,🏆 Small Cidery,Puget Sound Cider Company,,
2021,🏆 Medium Cidery,Bauman's Cider,,
2021,🏆 Large Cidery,2 Towns Ciderhouse,,
2022,🏆 Best of Show,Seattle Cider Company,Honeycrisp,Modern Sweet Cider
2022,🏆 Runner-Up,Peak Light Cider Company,Orchard Reserve Quince Cider,Specialty
2022,🏆 New Cidery,RAW Cider Co.,,
2022,🏆 Small Cidery,Puget Sound Cider Company,,
2022,🏆 Medium Cidery,Bauman's Cider,,
2022,🏆 Large Cidery,Seattle Cider Company,,
2023,🏆 Best of Show,Alpenfire Cider,Glow Airlie Red Flesh Single Varietal,Red-Fleshed Ciders Dry
2023,🏆 Runner-Up,Yonder Cider,Barrel Aged Perry,High-Tannin Perries
2023,🏆 New Cidery,Empyrical Orchard & Cidery,,
2023,🏆 New Cidery,Heartland Ciderworks,,
2023,🏆 Small Cidery,Puget Sound Cider Company,,
2023,🏆 Medium Cidery,Bauman's Cider,,
2023,🏆 Large Cidery,2 Towns Ciderhouse,,
2024,🏆 Best of Show,Bauman's Cider,Mountain Rose SV,Red Fleshed
2024,🏆 Runner-Up,Bauman's Cider,Endless Harvest,High-Tannin Ciders - Dry
2024,🏆 Runner-Up,Rootwood Cider Company,Golden Russet,Single Varietal
2024,🏆 New Cidery,Endless Orchard,,
2024,🏆 Small Cidery,Rootwood Cider Company,,
2024,🏆 Small Cidery,Kristof Farms,,
2024,🏆 Small Cidery,Union Hill Cider Co.,,
2024,🏆 Medium Cidery,Bauman's Cider,,
2024,🏆 Large Cidery,2 Towns Ciderhouse,,
