Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,City,Region,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2 Towns Ciderhouse,Oregon,20,19,13,52,2015,2024,9,Corvallis,Oregon,Active,"<a href=""http://www.2townsciderhouse.com/"">Website</a>","<a href=""https://www.facebook.com/2townsciderhouse"">Facebook</a>","<a href=""https://www.instagram.com/2townscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10429935694700508047"">Google</a>","<a href=""https://www.yelp.com/biz/2-towns-ciderhouse-corvallis"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51817-d3417221"">TripAdvisor</a>","<a href=""https://untappd.com/w/2-towns-ciderhouse/12975"">Untappd</a>"
Bauman's Cider,Oregon,14,14,10,38,2017,2024,7,Gervais,Oregon,Active,"<a href=""https://baumanscider.com/"">Website</a>","<a href=""https://www.facebook.com/Baumanscider/"">Facebook</a>","<a href=""https://www.instagram.com/baumanscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10038644588886302965"">Google</a>","<a href=""https://www.yelp.com/biz/baumans-farm-and-garden-gervais"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51881-d6848567"">TripAdvisor</a>","<a href=""https://untappd.com/w/baumans-cider-company/253872"">Untappd</a>"
Seattle Cider Company,Washington,8,7,9,24,2015,2024,7,Seattle,Washington,Active,"<a href=""http://www.seattlecidercompany.com/"">Website</a>","<a href=""https://www.facebook.com/SeattleCiderCo"">Facebook</a>","<a href=""https://www.instagram.com/seattleciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10339393864619567754"">Google</a>","<a href=""https://www.yelp.com/biz/seattle-cider-company-seattle"">Yelp</a>",,"<a href=""https://untappd.com/w/seattle-cider-company/75923"">Untappd</a>"
Tieton Cider Works,Washington,3,9,10,22,2013,2022,7,Yakima,Washington,Active,"<a href=""https://tietonciderworks.com/"">Website</a>","<a href=""https://www.facebook.com/tietonciderworks/"">Facebook</a>","<a href=""https://www.instagram.com/tietonciderworks/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9208093896298438407"">Google</a>","<a href=""https://www.yelp.com/biz/tieton-cider-works-yakima"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58838-d7991577"">TripAdvisor</a>","<a href=""https://untappd.com/w/tieton-cider-works/10804"">Untappd</a>"
Puget Sound Cider Company,Washington,8,4,5,17,2021,2024,4,Renton,Washington,Active,"<a href=""https://www.shopantiques4u.com/puget-sound-cider-co"">Website</a>","<a href=""https://www.facebook.com/PugetSoundCiderCo/"">Facebook</a>","<a href=""https://www.instagram.com/pugetsoundcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8204287304413477076"">Google</a>",,,"<a href=""https://untappd.com/w/puget-sound-cider-company/436269"">Untappd</a>"
Finnriver Farm & Cidery,Washington,6,7,4,17,2013,2024,10,Chimacum,Washington,Active,"<a href=""https://www.finnriver.com/"">Website</a>","<a href=""https://www.facebook.com/finnriver"">Facebook</a>","<a href=""https://www.instagram.com/finnriver/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1802892066987578987"">Google</a>","<a href=""https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58399-d10595866"">TripAdvisor</a>","<a href=""https://untappd.com/w/finnriver-farm-and-cidery/3008"">Untappd</a>"
Swift Cider,Oregon,5,5,2,12,2017,2023,6,Portland,Oregon,Active,"<a href=""https://www.swiftcider.com/"">Website</a>","<a href=""https://www.facebook.com/SwiftCider/"">Facebook</a>","<a href=""https://www.instagram.com/swiftcider/"">Instagram</a>",,"<a href=""https://www.yelp.com/biz/swift-cider-portland"">Yelp</a>",,"<a href=""https://untappd.com/w/swift-cider/138445"">Untappd</a>"
Montana CiderWorks,Montana,4,4,2,10,2013,2019,5,Darby,Montana,Active,"<a href=""http://montanacider.com/"">Website</a>","<a href=""https://www.facebook.com/Montana-CiderWorks-208483272577248/"">Facebook</a>",,,,,"<a href=""https://untappd.com/w/montana-ciderworks/33843"">Untappd</a>"
Sea Cider Farm & Ciderhouse,British Columbia,4,3,3,10,2018,2024,6,Saanichton,British Columbia,Active,"<a href=""https://www.seacider.ca/"">Website</a>","<a href=""https://www.facebook.com/seacider"">Facebook</a>","<a href=""https://www.instagram.com/seaciderhouse/"">Instagram</a>","<a href=""https://maps.google.com/?cid=689108951249608790"">Google</a>","<a href=""https://www.yelp.com/biz/sea-cider-farm-and-ciderhouse-saanichton"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g184850-d2392234"">TripAdvisor</a>","<a href=""https://untappd.com/w/sea-cider-farm-and-ciderhouse/4780"">Untappd</a>"
Liberty Ciderworks,Washington,4,2,4,10,2016,2022,6,Spokane,Washington,Active,"<a href=""http://libertycider.com/"">Website</a>","<a href=""https://www.facebook.com/LibertyCider"">Facebook</a>","<a href=""https://www.instagram.com/libertycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14868081944798289423"">Google</a>","<a href=""https://www.yelp.com/biz/liberty-ciderworks-spokane-3"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965"">TripAdvisor</a>","<a href=""https://untappd.com/w/liberty-ciderworks/106336"">Untappd</a>"
Rootwood Cider Co.,Washington,4,4,1,9,2018,2024,6,Manson,Washington,Active,"<a href=""http://www.rootwoodcider.com/"">Website</a>","<a href=""https://www.facebook.com/rootwoodciderco/"">Facebook</a>","<a href=""https://www.instagram.com/rootwoodcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1905642347995959494"">Google</a>","<a href=""https://www.yelp.com/biz/rootwood-cider-taproom-manson"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58587-d10522833"">TripAdvisor</a>","<a href=""https://untappd.com/w/rootwood-cider-co/223706"">Untappd</a>"
Apple Outlaw,Oregon,3,4,1,8,2014,2017,4,Jacksonville,Oregon,Active,"<a href=""http://www.appleoutlaw.com/"">Website</a>","<a href=""https://www.facebook.com/appleoutlaw/"">Facebook</a>","<a href=""https://www.instagram.com/appleoutlaw/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5850813650004409160"">Google</a>",,,"<a href=""https://untappd.com/w/apple-outlaw-cider/167265"">Untappd</a>"
Square Mile Cider,Oregon,4,2,1,7,2013,2019,6,Portland,Oregon,Active,"<a href=""https://www.squaremilecider.com/"">Website</a>","<a href=""https://www.facebook.com/SquareMileCider"">Facebook</a>","<a href=""https://www.instagram.com/squaremilecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1334101927022279814"">Google</a>",,,"<a href=""https://untappd.com/w/square-mile-cider-co/62094"">Untappd</a>"
Merridale Ciderworks,British Columbia,3,2,2,7,2013,2014,2,Cobble Hill,British Columbia,Active,"<a href=""https://www.merridale.ca/"">Website</a>","<a href=""https://www.facebook.com/merridalecider"">Facebook</a>","<a href=""https://www.instagram.com/merridalecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14311203607332957022"">Google</a>","<a href=""https://www.yelp.com/biz/merridale-cobble-hill"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1392612-d1735378"">TripAdvisor</a>","<a href=""https://untappd.com/w/merridale-ciderworks/11650"">Untappd</a>"
Yonder Cider,Washington,2,2,3,7,2021,2024,3,Seattle,Washington,Active,"<a href=""http://www.yondercider.com/"">Website</a>","<a href=""https://www.facebook.com/yondercider"">Facebook</a>","<a href=""https://www.instagram.com/yondercider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11002201593648505227"">Google</a>","<a href=""https://www.yelp.com/biz/yonder-cider-seattle"">Yelp</a>",,"<a href=""https://untappd.com/w/yonder-cider/474448"">Untappd</a>"
Wandering Aengus Ciderworks,Oregon,1,1,5,7,2013,2016,4,Salem,Oregon,Inactive,,,,,,,
Snowdrift Cider Co.,Washington,2,3,1,6,2016,2022,4,East Wenatchee,Washington,Active,"<a href=""https://www.snowdriftcider.com/"">Website</a>","<a href=""https://www.facebook.com/snowdriftcider"">Facebook</a>","<a href=""https://www.instagram.com/snowdriftciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18339570792633761066"">Google</a>","<a href=""https://www.yelp.com/biz/snowdrift-cider-east-wenatchee"">Yelp</a>",,"<a href=""https://untappd.com/w/snowdrift-cider-co/8545"">Untappd</a>"
Draper Girls Cider Co.,Oregon,1,3,2,6,2018,2019,2,Parkdale,Oregon,Active,"<a href=""http://www.drapergirlsfarm.com/"">Website</a>","<a href=""https://www.facebook.com/drapergirlscountryfarm"">Facebook</a>","<a href=""https://www.instagram.com/drapergirlsfarm/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6165797375002364096"">Google</a>","<a href=""https://www.yelp.com/biz/draper-girls-cider-company-parkdale"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g52014-d11823506"">TripAdvisor</a>","<a href=""https://untappd.com/w/draper-girls-cider-co/363577"">Untappd</a>"
Schilling Cider,Washington,0,2,4,6,2015,2023,3,Auburn,Washington,Active,"<a href=""https://schillingcider.com/"">Website</a>","<a href=""https://www.facebook.com/SchillingCider/"">Facebook</a>","<a href=""https://www.instagram.com/schillingcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281308087911884522"">Google</a>",,,"<a href=""https://untappd.com/w/schilling-cider/62413"">Untappd</a>"
Cider Riot!,Oregon,2,2,1,5,2014,2019,5,Portland,Oregon,Inactive,,,,,,,
Western Cider,Montana,1,3,1,5,2017,2021,3,Missoula,Montana,Active,"<a href=""http://www.westerncider.com/"">Website</a>","<a href=""https://www.facebook.com/westerncider/"">Facebook</a>","<a href=""https://www.instagram.com/westerncider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14623261427414740204"">Google</a>","<a href=""https://www.yelp.com/biz/western-cider-missoula"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g45277-d12473667"">TripAdvisor</a>","<a href=""https://untappd.com/w/western-cider/328334"">Untappd</a>"
Portland Cider Company,Oregon,1,1,3,5,2017,2024,3,Clackamas,Oregon,Active,"<a href=""http://portlandcider.com/"">Website</a>","<a href=""https://www.facebook.com/portlandcider"">Facebook</a>","<a href=""https://www.instagram.com/portlandcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5897814277091816079"">Google</a>","<a href=""https://www.yelp.com/biz/portland-cider-company-clackamas"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793"">TripAdvisor</a>","<a href=""https://untappd.com/w/portland-cider-company/56260"">Untappd</a>"
Incline Cider Company,Washington,0,2,3,5,2019,2024,4,Auburn,Washington,Active,"<a href=""http://www.inclinecider.com/"">Website</a>","<a href=""https://www.facebook.com/inclinecider/"">Facebook</a>","<a href=""https://www.instagram.com/inclinecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=504944612388443997"">Google</a>","<a href=""https://www.yelp.com/biz/incline-cider-house-tacoma"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58775-d22266571"">TripAdvisor</a>","<a href=""https://untappd.com/w/incline-cider-company/249584"">Untappd</a>"
Bull Run Cider,Oregon,3,0,1,4,2013,2016,4,Forest Grove,Oregon,Active,"<a href=""http://www.bullruncider.com/"">Website</a>","<a href=""https://www.facebook.com/Cider"">Facebook</a>","<a href=""https://www.instagram.com/bullruncider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13917891364878698013"">Google</a>","<a href=""https://www.yelp.com/biz/bull-run-cider-forest-grove"">Yelp</a>",,"<a href=""https://untappd.com/w/bull-run-cider/58380"">Untappd</a>"
Peak Light Cider,Oregon,2,2,0,4,2021,2024,3,Sauvie Island,Oregon,Active,"<a href=""https://peaklightcider.com/"">Website</a>","<a href=""https://www.facebook.com/peaklightcider"">Facebook</a>","<a href=""https://www.instagram.com/peaklightcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10958770531628316703"">Google</a>",,,"<a href=""https://untappd.com/PeakLightCider"">Untappd</a>"
Avid Cider,Oregon,2,1,1,4,2022,2024,2,Bend,Oregon,Active,"<a href=""https://avidcider.com/"">Website</a>","<a href=""https://www.facebook.com/AVIDCider/"">Facebook</a>","<a href=""https://www.instagram.com/avidcidercompany/"">Instagram</a>",,"<a href=""https://www.yelp.com/biz/atlas-cider-co-bend-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51766-d6870614"">TripAdvisor</a>","<a href=""https://untappd.com/w/atlas-cider-company/65739"">Untappd</a>"
Shuswap Cider Co.,British Columbia,2,1,1,4,2023,2024,2,Salmon Arm,British Columbia,Active,"<a href=""https://shuswapcider.com/"">Website</a>","<a href=""https://www.facebook.com/shuswapcider"">Facebook</a>","<a href=""https://www.instagram.com/shuswapcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7673276959575565826"">Google</a>",,,"<a href=""https://untappd.com/w/shuswap-cider-co/503328"">Untappd</a>"
Alpenfire Cider,Washington,1,1,2,4,2017,2023,2,Port Townsend,Washington,Active,"<a href=""https://www.alpenfirecider.com/"">Website</a>","<a href=""https://www.facebook.com/alpenfirecider"">Facebook</a>","<a href=""https://www.instagram.com/alpenfirecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13194604853315575065"">Google</a>","<a href=""https://www.yelp.com/biz/alpenfire-cider-and-orchard-port-townsend"">Yelp</a>",,"<a href=""https://untappd.com/w/alpenfire-cider/12510"">Untappd</a>"
Victoria Cider Co.,British Columbia,1,1,2,4,2022,2024,3,Victoria,British Columbia,Active,"<a href=""https://www.victoriaciderco.ca/"">Website</a>","<a href=""https://www.facebook.com/victoriaciderco"">Facebook</a>","<a href=""https://www.instagram.com/victoriaciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4973668223480997484"">Google</a>","<a href=""https://www.yelp.ca/biz/victoria-cider-north-saanich"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g154945-d24170707"">TripAdvisor</a>","<a href=""https://untappd.com/w/victoria-cider-co/523117"">Untappd</a>"
Empyrical Orchard & Cidery,Washington,1,0,3,4,2023,2024,2,Snohomish,Washington,Active,,"<a href=""https://www.facebook.com/profile.php?id=100068960115984"">Facebook</a>","<a href=""https://www.instagram.com/empyricalcider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/empyrical-orchard-cidery/507102"">Untappd</a>"
19 Acres Cider Co.,Oregon,0,2,2,4,2022,2024,3,Sherwood,Oregon,Active,"<a href=""https://19acres.com/"">Website</a>","<a href=""https://www.facebook.com/19AcresCiderCo/"">Facebook</a>","<a href=""https://www.instagram.com/19acresciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4476171369322689525"">Google</a>","<a href=""https://www.yelp.com/biz/19-acres-cider-co-sherwood"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g52068-d25236157"">TripAdvisor</a>","<a href=""https://untappd.com/19AcresHardCider"">Untappd</a>"
WildCraft Cider Works,Oregon,0,0,4,4,2015,2018,4,Eugene,Oregon,Active,"<a href=""https://wildcraftciderworks.com/"">Website</a>","<a href=""https://www.facebook.com/WildCraftCiderWorks/"">Facebook</a>","<a href=""https://www.instagram.com/wildcraftcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15001881032430403771"">Google</a>","<a href=""https://www.yelp.com/biz/wildcraft-cider-works-eugene"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g51862-d8277583"">TripAdvisor</a>","<a href=""https://untappd.com/w/wildcraft-cider-works/159780"">Untappd</a>"
Runcible Cider,Oregon,2,1,0,3,2019,2023,3,Mosier,Oregon,Active,"<a href=""https://www.runciblecider.com/"">Website</a>","<a href=""https://www.facebook.com/runciblecider/"">Facebook</a>","<a href=""https://www.instagram.com/runciblecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15182592417091165603"">Google</a>","<a href=""https://www.yelp.com/biz/runcible-cider-mosier-2"">Yelp</a>",,"<a href=""https://untappd.com/w/runcible-cider/332214"">Untappd</a>"
Union Hill Cider Co.,Washington,2,1,0,3,2023,2024,2,East Wenatchee,Washington,Active,"<a href=""https://www.unionhillciderco.com/"">Website</a>","<a href=""https://www.facebook.com/UnionHillCiderCo/"">Facebook</a>","<a href=""https://www.instagram.com/unionhillciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15999164221517255413"">Google</a>","<a href=""https://www.yelp.com/biz/union-hill-cider-east-wenatchee"">Yelp</a>",,"<a href=""https://untappd.com/UnionHillCiderCo"">Untappd</a>"
Elk Horn Brewery & Ciderhouse,Oregon,2,0,1,3,2016,2018,2,Eugene,Oregon,Active,"<a href=""http://www.elkhornbrewery.com/"">Website</a>","<a href=""https://www.facebook.com/elkhornbrewery/"">Facebook</a>","<a href=""https://www.instagram.com/elk_horn_brewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3806213339852533020"">Google</a>","<a href=""https://www.yelp.com/biz/elk-horn-brewery-eugene-7"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g51862-d7099011"">TripAdvisor</a>","<a href=""https://untappd.com/w/elk-horn-brewery-and-ciderhouse/153381"">Untappd</a>"
Kristof Farms,Oregon,1,2,0,3,2023,2024,2,Yamhill,Oregon,Active,"<a href=""https://www.kristoffarms.com/"">Website</a>","<a href=""https://www.facebook.com/KristofFarms/"">Facebook</a>","<a href=""https://www.instagram.com/kristoffarms/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/kristof-farms/524122"">Untappd</a>"
Dragon's Head Cider,Washington,1,1,1,3,2018,2021,3,Vashon,Washington,Active,"<a href=""http://www.dragonsheadcider.com/"">Website</a>",,"<a href=""https://www.instagram.com/dragonsheadcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2526574753760904159"">Google</a>","<a href=""https://www.yelp.com/biz/dragons-head-cider-vashon"">Yelp</a>",,"<a href=""https://untappd.com/w/dragons-head-cider/36168"">Untappd</a>"
Left Field Cider Co.,British Columbia,1,1,1,3,2013,2015,2,Logan Lake,British Columbia,Active,"<a href=""http://www.leftfieldcider.com/"">Website</a>","<a href=""https://www.facebook.com/leftfieldcider"">Facebook</a>","<a href=""https://www.instagram.com/leftfieldcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2952880485422961840"">Google</a>","<a href=""https://www.yelp.com/biz/left-field-cider-company-logan-lake-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1579868-d14910348"">TripAdvisor</a>","<a href=""https://untappd.com/w/left-field-cider-co/34132"">Untappd</a>"
Scenic Road Cider Co.,British Columbia,1,0,2,3,2017,2022,2,Kelowna,British Columbia,Active,"<a href=""https://scenicroadcider.com/"">Website</a>","<a href=""https://www.facebook.com/scenicroadcider/"">Facebook</a>","<a href=""https://www.instagram.com/scenicroadcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1733637164282947547"">Google</a>","<a href=""https://www.yelp.com/biz/scenic-road-cider-kelowna"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g154933-d12829198"">TripAdvisor</a>","<a href=""https://untappd.com/w/scenic-road-cider-co/271530"">Untappd</a>"
North Idaho Cider,Idaho,0,3,0,3,2017,2019,3,Hayden,Idaho,Inactive,,,,,,,
Alter Ego Cider,Oregon,0,2,1,3,2015,2019,3,Portland,Oregon,Inactive,,,,,,,
Slake Cider,Oregon,0,2,1,3,2016,2018,2,McMinnville,Oregon,Inactive,,,,,,,
Hopworks Urban Brewery,Oregon,0,1,2,3,2015,2016,2,Portland,Oregon,Inactive,,,,,,,
Reverend Nat's Hard Cider,Oregon,0,1,2,3,2013,2013,1,Portland,Oregon,Inactive,,,,,,,
Cockrell Cider Farm,Washington,0,0,3,3,2024,2024,1,Puyallup,Washington,Active,"<a href=""http://www.cockrellbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/cockrellcider/"">Facebook</a>","<a href=""https://www.instagram.com/cockrellhardcider"">Instagram</a>","<a href=""https://maps.google.com/?cid=6832353082997005018"">Google</a>","<a href=""https://www.yelp.com/biz/cockrell-brewing-puyallup"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58693-d13155999"">TripAdvisor</a>","<a href=""https://untappd.com/w/cockrell-brewing/157444"">Untappd</a>"
EdenVale Winery,Oregon,1,1,0,2,2017,2018,2,Medford,Oregon,Active,"<a href=""http://www.edenvalewines.com/"">Website</a>","<a href=""https://www.facebook.com/EdenValeWinery"">Facebook</a>","<a href=""https://www.instagram.com/edenvalewinery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1337477973398359922"">Google</a>","<a href=""https://www.yelp.com/biz/edenvale-winery-medford-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51965-d534330"">TripAdvisor</a>","<a href=""https://untappd.com/w/edenvale-winery/343164"">Untappd</a>"
Fraser Valley Cider Company,British Columbia,1,1,0,2,2021,2022,2,Langley Township,British Columbia,Active,"<a href=""https://www.fraservalleycider.ca/"">Website</a>","<a href=""https://www.facebook.com/fraservalleycider/"">Facebook</a>","<a href=""https://www.instagram.com/fraservalleycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1355617416961303454"">Google</a>","<a href=""https://www.yelp.com/biz/fraser-valley-cider-company-langley"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g181724-d10538342"">TripAdvisor</a>","<a href=""https://untappd.com/w/fraser-valley-cider-company/272748"">Untappd</a>"
Meriwether Cider Company,Idaho,1,1,0,2,2023,2023,1,Garden City,Idaho,Active,"<a href=""https://www.meriwethercider.com/"">Website</a>","<a href=""https://www.facebook.com/meriwethercider"">Facebook</a>","<a href=""https://www.instagram.com/meriwethercider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7830741432069672416"">Google</a>","<a href=""https://www.yelp.com/biz/meriwether-cider-company-garden-city-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g35459-d10034505"">TripAdvisor</a>","<a href=""https://untappd.com/w/meriwether-cider-company/222316"">Untappd</a>"
Cedar Draw Cider,Idaho,1,0,1,2,2023,2023,1,Buhl,Idaho,Active,"<a href=""https://www.cedardrawcider.com/"">Website</a>","<a href=""https://www.facebook.com/cedardrawcider"">Facebook</a>","<a href=""https://www.instagram.com/cedardrawcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3792911876978867046"">Google</a>",,,"<a href=""https://untappd.com/CedarDrawCider"">Untappd</a>"
